dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Shuffled,10.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69],"[0.46121194332829984, 0.6636649989568344, 0.7492776572763723, 0.8283605738719213, 0.8790043086724619, 0.9239706317421299, 0.9703164481201655, 1.0024531235711478, 1.0327082760956354, 1.0609851166440059, 1.081105788667668, 1.1011558615872752, 1.1258326977364965, 1.1456361406016666, 1.1666621855785222, 1.1944611093253623, 1.2204282889941476]","[0.52414796 0.6371116  0.71985191 0.78691549 0.84411159 0.89442195
 0.93960499 0.98079503 1.01877145 1.05409555 1.08718652 1.11836667
 1.14788979 1.1759597  1.20274283 1.22837709 1.25297817]",$r$,dfa (short)
Trace,11.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73],"[0.4244641587955231, 0.6373149108343904, 0.7649983694618872, 0.8334103292574512, 0.8654179276074462, 0.9036031367140297, 0.944171031025697, 0.9730339199554288, 1.0078209896840697, 1.0422288516845764, 1.0723923810137972, 1.1045985811957144, 1.1356533944368155, 1.1618302661685374, 1.187216710532949, 1.2069488090728449, 1.2275782229178709, 1.2427668372170149]","[0.49883773 0.61370534 0.69865877 0.76796444 0.82736339 0.87981813
 0.92708308 0.97029383 1.01023296 1.04746546 1.08241428 1.11540527
 1.14669546 1.17649164 1.20496295 1.23224972 1.25846983 1.28372336]",$r$,dfa (short)
Shuffled,11.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73],"[0.47370484536234725, 0.679719068277087, 0.8186347372259121, 0.955376747510204, 1.0747183081351606, 1.17451938046301, 1.279437419638763, 1.380217310146743, 1.4653519219957296, 1.5341414465672414, 1.5937736376675382, 1.6491822071144437, 1.6991854211332535, 1.7401592974849196, 1.7728751809616248, 1.7981008460686139, 1.8244195192483592, 1.8450375461635904]","[0.50588554 0.68254888 0.82321627 0.94380599 1.05110713 1.14876888
 1.23902222 1.32334963 1.40279577 1.47812977 1.54993739 1.61867703
 1.6847154  1.74835139 1.80983241 1.86936601 1.92712838 1.98327056]",$r$,dfa (short)
Trace,12.0,[ 5  9 13 17],"[0.5778466104773489, 0.7088057220367409, 0.7373707211598135, 0.7802788513582777]",[0.58977966 0.67949985 0.74244463 0.79201295],$r$,dfa (short)
Shuffled,12.0,[ 5  9 13 17],"[0.4962756631556483, 0.700699161923994, 0.7793975210700624, 0.8718488662609664]",[0.50899365 0.66500244 0.78607372 0.88808783],$r$,dfa (short)
Trace,13.0,[ 5  9 13 17],"[0.4856802749425903, 0.6081000969493352, 0.6830456718812465, 0.7608995160714329]",[0.48701958 0.60276033 0.6887712  0.75916561],$r$,dfa (short)
Shuffled,13.0,[ 5  9 13 17],"[0.5521570111923667, 0.7386641417950132, 0.8041188913444328, 0.837665721080601]",[0.57019589 0.69845357 0.79297983 0.86991506],$r$,dfa (short)
Trace,14.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85],"[0.42808904889155625, 0.5936530106349975, 0.675376371697429, 0.7120226144624244, 0.7464507352522586, 0.7710236143812008, 0.7878148079492124, 0.8107975721778709, 0.8281212060976253, 0.8437063814197043, 0.8636968282429321, 0.8793712115443387, 0.8955107800364033, 0.9169588285294725, 0.9341022042528532, 0.9520073658695574, 0.9732418317072468, 0.9875193541637791, 1.0023304383753795, 1.018778877709532, 1.0323967677711736]","[0.48832229 0.57063805 0.62905093 0.67540296 0.71430651 0.74808796
 0.77810067 0.80520793 0.82999727 0.85288827 0.87419202 0.89414611
 0.91293649 0.93071167 0.94759232 0.96367794 0.97905163 0.99378357
 1.00793361 1.02155326 1.03468719]",$r$,dfa (short)
Shuffled,14.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85],"[0.47552716929365746, 0.6794222615116698, 0.8189242235527789, 0.9729013991008336, 1.094442742378312, 1.2022440879483474, 1.319049802473635, 1.4192938834980338, 1.5037116435459987, 1.5898841893481843, 1.6543834617779392, 1.7083642061077906, 1.7634160308908482, 1.8098122318937562, 1.846512226766295, 1.8836400501456685, 1.9111013560783745, 1.9317438730791094, 1.9570748098124886, 1.9803896471543097, 2.0027257029958174]","[0.51562072 0.69518054 0.83807174 0.96052032 1.06944347 1.16855807
 1.2601359  1.34568622 1.42627243 1.50267728 1.57549686 1.64519758
 1.71215253 1.77666575 1.83898889 1.89933308 1.95787746 2.01477567
 2.07016057 2.12414806 2.17683992]",$r$,dfa (short)
Trace,15.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69],"[0.4768240711938097, 0.6513815538477146, 0.7613304195668839, 0.8610744472624967, 0.9232634281395853, 0.9297363796554502, 0.9405120812307635, 0.9472142326307373, 0.9532593187873466, 0.9645321819899108, 0.9728190696735142, 0.9799740899834649, 0.9902528115366246, 0.9972418863947078, 1.002491551701981, 1.0082725951439042, 1.0129656821879032]","[0.57510516 0.66347889 0.72554581 0.77445802 0.81529648 0.85060929
 0.88187228 0.9100234  0.93569898 0.95935226 0.98131846 1.00185304
 1.02115555 1.03938507 1.05667066 1.07311854 1.08881732]",$r$,dfa (short)
Shuffled,15.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69],"[0.4233034226943008, 0.6501486685251952, 0.8042826471768426, 0.9499931371032286, 1.0944317756936808, 1.2276121379398794, 1.3464581371564148, 1.4481702034656805, 1.5331893157373884, 1.6154943160626065, 1.6899581504766423, 1.75366516365754, 1.8125275371628875, 1.864180370180123, 1.9074900111657924, 1.9503438316371702, 1.9985664645706083]","[0.45894203 0.64731265 0.80269906 0.93911437 1.06270325 1.17683373
 1.28359657 1.38439868 1.48024221 1.57187189 1.65985967 1.74465647
 1.82662551 1.90606466 1.98322192 2.05830645 2.13149667]",$r$,dfa (short)
Trace,16.0,[ 5  9 13 17 21 25],"[0.48975923574548474, 0.6404186879064628, 0.7238250189511208, 0.7848248703963655, 0.8599484114200837, 0.9403807675064881]",[0.4960468  0.62401603 0.72036426 0.7999128  0.86871054 0.92990979],$r$,dfa (short)
Shuffled,16.0,[ 5  9 13 17 21 25],"[0.4795201645860949, 0.6746428771294531, 0.7987956196702832, 0.8538046899053312, 0.8659343249370504, 0.8888150164996738]",[0.51317805 0.6429965  0.74042507 0.82069325 0.89000091 0.95157332],$r$,dfa (short)
Trace,17.0,[ 5  9 13 17 21 25 29 33 37 41 45],"[0.18979108235056738, 0.2774490479646495, 0.36874211212260893, 0.5291534975971769, 0.6349411873388113, 0.7302731704908269, 0.8667641649843907, 0.9610878567309064, 1.0473048111232235, 1.1673381103947587, 1.2536980420026231]","[0.17379632 0.29456732 0.40976905 0.52133844 0.63022688 0.73699953
 0.84203003 0.9455832  1.04785628 1.14900159 1.24914022]",$r$,dfa (short)
Shuffled,17.0,[ 5  9 13 17 21 25 29 33 37 41 45],"[0.09703084078002444, 0.27989347186146424, 0.3743927950972607, 0.4582729668514856, 0.5406548469011674, 0.5360276537114935, 0.5355010963568946, 0.5378214044051658, 0.5408065476322569, 0.5432285077657429, 0.5433806718769189]","[0.15628779 0.23319809 0.29954069 0.35956513 0.41520118 0.46753306
 0.51724696 0.56481207 0.61056716 0.65476698 0.69760928]",$r$,dfa (short)
Trace,19.0,[ 5  9 13 17 21],"[0.45887238554553955, 0.5465420060972962, 0.5859121661811358, 0.6518983714372347, 0.6952384942713269]",[0.45788553 0.54131239 0.60106876 0.64878399 0.68902111],$r$,dfa (short)
Shuffled,19.0,[ 5  9 13 17 21],"[0.4595257202521018, 0.6464683967106115, 0.8233611431645631, 0.9796558379573358, 1.1059431591616906]",[0.45617186 0.65592739 0.82324937 0.97166741 1.10718586],$r$,dfa (short)
Trace,20.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89],"[0.4194485795111944, 0.6153331592002562, 0.7594764811946054, 0.8398701552096138, 0.8913750665224016, 0.961636208737216, 1.0219617818856614, 1.0648483507505717, 1.1161546564423617, 1.1652221610055544, 1.208829514385607, 1.252428114372784, 1.2896343916537898, 1.3173825736304678, 1.3418309395325143, 1.3642157022152124, 1.382313813334901, 1.396897577509597, 1.4003133330700432, 1.4033559521157595, 1.403493396864225, 1.4007780428435086]","[0.49001479 0.61879031 0.71604314 0.7965038  0.86619865 0.92827359
 0.98460849 1.03642923 1.08458596 1.12969586 1.17222319 1.21252722
 1.2508925  1.28754877 1.32268459 1.35645688 1.38899786 1.42042011
 1.45082039 1.48028255 1.50887983 1.53667661]",$r$,dfa (short)
Shuffled,20.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89],"[0.3927572097988582, 0.625449217685559, 0.8039183996524286, 0.9817587662761861, 1.1070013429752683, 1.213393188683069, 1.322244743585458, 1.410261501355734, 1.4851933187120572, 1.5496401662279093, 1.6031222986011515, 1.6518828493578726, 1.6969334120787287, 1.7335661037669103, 1.7664281232161938, 1.800240877098433, 1.829174084762193, 1.8506283429833048, 1.8652436945298294, 1.867984074161291, 1.861043589849359, 1.851473741506611]","[0.48811045 0.65995041 0.79700648 0.91463273 1.01938618 1.1147946
 1.20301627 1.28548621 1.36321617 1.43695136 1.50725957 1.57458526
 1.63928415 1.70164622 1.76191158 1.82028171 1.87692767 1.93199618
 1.98561416 2.03789237 2.08892807 2.13880728]",$r$,dfa (short)
