time division length width area intensity CMx CMy
0 0 37.1338 13.8418 514 122.967 889.21 516.08
1 0 37.0367 12.8791 477 126.266 891.562 517.912
2 0 37.0348 12.9608 480 168.033 893.565 517.858
3 0 41.3177 14.4732 598 116.967 890.778 515.674
4 0 40.1691 13.5926 546 121.223 891.504 517.663
5 0 42.1798 14.6041 616 117.615 891.179 517.239
6 0 44.1446 14.747 651 116.034 890.042 518.103
7 0 44.1058 15.2587 673 116.177 889.106 518.275
8 0 45.1312 14.8456 670 116.979 887.81 517.364
9 0 46.1731 14.0558 649 120.379 886.233 518.222
10 0 46.145 14.8445 685 119.369 884.946 519.067
11 0 48.0411 15.7365 756 117.126 883.046 518.372
12 0 49.1657 15.824 778 116.978 881.262 519.243
13 0 51.1073 16.4164 839 115.336 878.973 521.108
14 0 52.0869 16.1269 840 117.311 877.668 519.96
15 0 54.1978 16.3291 885 117.224 875.487 518.606
16 0 53.0486 15.5329 824 121.576 873.609 519.149
17 0 56.1989 15.1604 852 120.507 871.312 518.819
18 0 59.1237 18.5543 1097 109.191 868.597 515.808
19 0 58.2835 16.2996 950 118.744 867.573 514.263
20 0 63.0294 16.8493 1062 118.847 864.419 512.158
21 0 63.0447 16.2742 1026 120.813 864.242 509.828
22 0 65.109 16.8487 1097 119.923 864.769 509.215
23 0 68.1355 16.6726 1136 117.68 864.967 505.817
24 0 70.1101 17.6437 1237 115.991 865.792 504.502
25 0 74.0683 17.4569 1293 114.896 867.413 503.579
26 0 74.0837 16.1304 1195 121.46 869.413 501.849
27 0 76.081 17.0608 1298 118.721 871.328 501.609
28 0 81.048 17.5822 1425 116.587 872.961 500.554
29 1 41.0139 11.9228 489 127.315 875.632 520.411
30 0 41.0227 12.8466 527 125.243 877.989 520.649
31 0 43.02 13.5518 583 126.242 880.118 519.17
32 0 44.0966 13.1756 581 126.423 881.702 520.709
33 0 47.0189 14.2921 672 123.28 882.277 520.347
34 0 48.0349 15.2389 732 119.874 883.307 519.788
35 0 52.0717 16.4773 858 117.244 883.175 521.889
