time division length width area intensity CMx CMy
0 0 30.0814 11.6018 349 126.138 1258.63 487.441
1 0 31.0206 11.7019 363 116.129 1258.28 486.95
2 0 31.0903 12.1903 379 122.522 1258.11 485.026
3 0 31.2021 11.6659 364 123.629 1259 483.245
4 0 31.0467 11.8531 368 122.378 1258.9 481.886
5 0 35.0433 12.8983 452 119.865 1256.58 480.188
6 0 35.0098 14.1389 495 115.899 1260.62 479.824
7 0 35.0258 13.904 487 115.343 1260.69 478.06
8 0 36.1423 14.0555 508 115.803 1262.75 476.433
9 0 37.1286 12.5241 465 120.731 1264.13 474.839
10 0 38.0367 14.118 537 118.516 1264.32 473.233
11 0 40.2495 14.6834 591 113.034 1267.1 473.875
12 0 38.0557 13.8219 526 119.593 1267.93 473.892
13 0 42.1259 14.5991 615 114.953 1268.85 471.078
14 0 43.1089 15.1245 652 114.04 1271.42 471.1
15 0 43.061 14.1892 611 118.118 1272.86 469.268
16 0 46.1166 14.3766 663 116.677 1275.89 470.178
17 0 48.1098 14.9658 720 115.712 1278.72 469.518
18 0 48.0765 16.4529 791 113.488 1280.73 469.979
19 0 50.1754 15.8046 793 115.049 1280.41 468.599
20 0 51.0837 15.2691 780 119.351 1282.86 469.781
21 0 53.1174 16.2659 864 116.406 1282.5 469.889
22 0 55.0983 16.6248 916 116.052 1282.56 469.331
23 0 56.0542 16.27 912 117.409 1281.92 470.123
24 0 56.0768 16.6736 935 119.714 1280.98 469.829
25 0 57.1079 17.6158 1006 117.133 1279.17 468.936
26 0 59.205 16.3837 970 119.797 1277.45 469.914
27 0 62.1509 16.4278 1021 119.859 1274.47 465.634
28 0 63.086 16.3428 1031 122.113 1272.38 465.038
29 0 66.1383 16.8435 1114 119.145 1270.55 463.592
30 0 66.1547 16.7637 1109 157.504 1268.54 463.528
31 0 66.1441 16.7059 1105 157.283 1266.53 463.444
32 0 72.2019 18.9884 1371 111.947 1263.93 459.501
33 0 73.1138 16.7821 1227 116.282 1263.79 456.536
34 0 77.0899 18.3941 1418 111.112 1264.2 453.297
35 0 78.0615 16.9482 1323 116.23 1263.38 451.218
36 0 79.1765 15.838 1254 119.866 1264.26 450.192
37 0 82.1498 16.2021 1331 118.221 1265.91 450.155
38 0 87.2083 15.87 1384 118.753 1267.69 446.34
39 0 89.2178 16.6895 1489 115.868 1269.53 444.122
40 0 91.1842 16.4941 1504 117.661 1271.57 441.767
41 0 92.3843 15.8144 1461 120.196 1273.7 437.131
42 0 94.3215 15.9137 1501 120.776 1274.64 434.927
43 0 97.2844 15.7888 1536 121.679 1276.89 435.007
44 1 45.0742 10.5382 475 127.065 1278.64 461.451
45 0 47.0752 11.1311 524 133.622 1280.71 462.416
46 0 52.1507 13.1542 686 120.52 1282.8 457.344
47 0 56.2411 12.1619 684 121.038 1284.54 457.89
48 0 57.1581 14.3637 821 115.587 1287.08 457.114
49 0 61.1182 14.5947 892 114.274 1288.46 458.423
50 0 61.1466 15.3402 938 111.48 1289.96 456.649
51 0 66.1561 16.4157 1086 106.967 1291.97 456.34
52 0 68.1547 15.4942 1056 109.196 1291.94 456.676
53 0 68.1885 16.0584 1095 110.574 1292.66 454.778
54 0 73.1846 17.1757 1257 104.918 1292.65 459.834
