Ensemble,CV,variable
Pooled,1,div_and_fold
Pooled,1,fold_growth
Pooled,1,division_ratio
Pooled,1,added_length
Pooled,1,generationtime
Pooled,1,length_birth
Pooled,1,length_final
Pooled,1,growth_rate
Exp,0.8397906551418741,div_and_fold
Exp,0.891863809395122,fold_growth
Exp,0.5541346368690464,division_ratio
Exp,0.8388779210424241,added_length
Exp,0.9663739672033492,generationtime
Exp,0.8875805069332137,length_birth
Exp,0.8045080473758847,length_final
Exp,0.5267493272439315,growth_rate
Env,0.685455845840279,div_and_fold
Env,0.6757430405960857,fold_growth
Env,0.45637737062486805,division_ratio
Env,0.6181610647720416,added_length
Env,0.7626527044764315,generationtime
Env,0.6854396915241259,length_birth
Env,0.6408968002567605,length_final
Env,0.5026480563089272,growth_rate
Lin,0.6190771095260973,div_and_fold
Lin,0.6340535726105747,fold_growth
Lin,0.38423160588981287,division_ratio
Lin,0.6163011631296159,added_length
Lin,0.8322528782239491,generationtime
Lin,0.5982556089337194,length_birth
Lin,0.5615373432299581,length_final
Lin,0.46299338763312303,growth_rate
Lin,0.7577909140667405,div_and_fold
Lin,0.7252234093897549,fold_growth
Lin,0.526213019702556,division_ratio
Lin,0.5601772152980664,added_length
Lin,0.7027079613024922,generationtime
Lin,0.6705017181363958,length_birth
Lin,0.5608084795240534,length_final
Lin,0.5440564887242403,growth_rate
Env,0.8298455277485287,div_and_fold
Env,1.0057906481597771,fold_growth
Env,0.8197702623777081,division_ratio
Env,0.7290799575851438,added_length
Env,0.9736552193996406,generationtime
Env,0.8940733127517005,length_birth
Env,0.5980720154158273,length_final
Env,0.4515248899275618,growth_rate
Lin,1.0917754149771504,div_and_fold
Lin,1.2518083220303946,fold_growth
Lin,0.9247592280759164,division_ratio
Lin,0.9258971535260925,added_length
Lin,1.2294410990146498,generationtime
Lin,1.1940406552510996,length_birth
Lin,0.8271920157980777,length_final
Lin,0.3760142291930765,growth_rate
Lin,0.4904653995492454,div_and_fold
Lin,0.7307642432495148,fold_growth
Lin,0.7265819218181618,division_ratio
Lin,0.49509650970780844,added_length
Lin,0.6720583783849198,generationtime
Lin,0.484241819752485,length_birth
Lin,0.24004369721858743,length_final
Lin,0.5236434454831995,growth_rate
