fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,dataset,trap_ID,trace,lineage_ID,generation
-0.10132596208224287,,-0.127803536210628,-0.0944444444444445,0.3826164031146013,0.2562639904948121,0.0882402934278852,CTRL,216,A,431.0,0
-0.03521240016848426,-0.0009355101905006435,-0.06284408642797956,-0.04444444444444451,0.02963353366058863,-0.031759429176553056,0.05925766098223173,CTRL,216,A,431.0,1
0.16432227460535365,-0.019910030222823394,0.739168403011297,0.10555555555555585,-0.21327334015057797,0.5273461864515578,0.006098070008823786,CTRL,216,A,431.0,2
-0.19290818000020682,0.00701243015634101,-0.687834258102362,-0.09444444444444433,0.2131106496277373,-0.47327248488378615,-0.1734231863377269,CTRL,216,A,431.0,3
0.05619305463473079,0.004288574390327371,0.059217512721219556,0.005555555555555258,-0.32133007621220955,-0.26066143990015167,0.09291981994551612,CTRL,216,A,431.0,4
0.043813330261120886,0.04935268307375973,0.3233320601670102,0.05555555555555558,0.004165385002564026,0.3289485687604117,-0.08772081123750719,CTRL,216,A,431.0,5
0.015925709816877576,0.01393642355786473,0.30942410673056964,0.05555555555555558,0.14674900285166803,0.45762423317307643,-0.1434960521259938,CTRL,216,A,431.0,6
-0.01209731176199691,-0.015032275584344945,0.0771449268332276,0.005555555555555758,0.055651151621786354,0.13424720204585228,-0.0588365498249912,CTRL,216,A,431.0,7
0.28702764496618316,0.01023043991990813,,0.20555555555555594,0.024669101044256347,,-0.03158444857779785,CTRL,216,A,431.0,8
-0.14076002672246712,-0.07124039676066218,-0.34206635663851426,-0.09444444444444478,0.367891181369437,0.027275948321761945,-0.024428462687040353,CTRL,216,A,431.0,9
-0.045913483561080604,0.0240982443213289,-0.1086378984956875,0.05555555555555558,0.03872323059685501,-0.06846354430799284,-0.26717443888191017,CTRL,216,A,431.0,10
-0.004309831697725142,0.05142754078841272,0.17794734882735286,0.00555555555555487,0.12287634453537111,0.3022748169535623,-0.041531038571051004,CTRL,216,A,431.0,11
0.0673566222933718,0.01017626828221796,0.5637980055760803,0.00555555555555487,0.11257936466875673,0.6778284938356753,0.11772774807583142,CTRL,216,A,431.0,12
-0.09068154508943249,-0.04647733224244455,-0.36513890009441585,-0.09444444444444478,-0.013968591867009383,-0.37765636837058736,0.11865291340734441,CTRL,216,A,431.0,13
-0.055959545288888246,-0.003349392920217076,-0.436038845591743,-0.04444444444444584,-0.3072819598129013,-0.7418696818138049,0.007389798181226537,CTRL,216,A,431.0,14
0.24878057049333213,-0.011079933231365025,0.7764612361465386,0.20555555555555594,-0.5267044719059353,0.251207887831443,-0.09042610161295372,CTRL,216,A,431.0,15
-0.09746645141777532,0.025996762851373867,-0.2628668884257017,-0.094444444444443,0.16940902781358957,-0.09200673702127293,0.0992674667549287,CTRL,216,A,431.0,16
-0.10678446928067153,-0.028494496189177154,-0.6332628300262593,-0.1444444444444437,-0.28551593595858327,-0.917327642394004,0.32906731907318454,CTRL,216,A,431.0,17
-0.18558454906272392,,-0.09450563709055304,-0.21944444444444478,,1.0963717061219747,0.20225733522296152,CTRL,216,B,431.0,0
-0.1552232255459276,-0.024063801647102145,-0.47611495374344504,-0.16944444444444468,0.4254935126132713,-0.12067304955443969,0.1021254959733564,CTRL,216,B,431.0,1
-0.012033681002957763,-0.02956650600915095,-0.27728407709792346,-0.01944444444444471,-0.18305805511109252,-0.5303937406332828,0.00570211921062147,CTRL,216,B,431.0,2
0.04997686007635582,0.006762691920224384,-0.008331837591224023,-0.01944444444444493,-0.20826712982818352,-0.28665057584367215,0.11844855753664651,CTRL,216,B,431.0,3
0.07058049017791768,0.019315674385401604,0.2993064584477567,0.08055555555555516,-0.02329008196668747,0.20596476805680286,-0.05361853563732799,CTRL,216,B,431.0,4
-0.10684716219066148,0.019968952784698457,-0.37209522869398715,-0.11944444444444458,0.23668509929867287,-0.20546173781958021,0.06427793175359642,CTRL,216,B,431.0,5
0.09250414785645378,-0.01973988286036571,0.2426021082356309,0.0805555555555556,-0.17440134522336503,-0.0018508454120000906,-0.019889831516503698,CTRL,216,B,431.0,6
0.00879114645257939,0.0014255129170934744,0.03336408345993913,0.0805555555555556,0.032761514289347815,-0.003926010674978997,-0.14867906444554113,CTRL,216,B,431.0,7
-0.1739967989325064,0.005360568293501178,-0.8148456966164483,-0.16944444444444529,0.051995443916543316,-0.8329018611241708,0.05519156250691126,CTRL,216,B,431.0,8
0.12751734453006125,0.0026453418307255117,0.1718566711584173,-0.01944444444444493,-0.37976880184596595,-0.27796373911181327,0.25943125654338384,CTRL,216,B,431.0,9
0.21015180012686863,-0.03351079441709354,0.7400058186426302,0.13055555555555542,-0.27650394481186424,0.39345026540650085,0.0634543847559963,CTRL,216,B,431.0,10
-0.1690858426815619,-0.009555077059983097,-0.714804072029209,-0.11944444444444458,0.1705502425930323,-0.6143054378604429,-0.07403024711507111,CTRL,216,B,431.0,11
0.23533523391143374,-0.021096715492043006,0.7307544414666975,0.23055555555555596,-0.37745472680892433,0.2832481062335077,-0.06375110224652314,CTRL,216,B,431.0,12
-0.15095018266849958,0.03917443777096574,-0.48514634839779314,-0.11944444444444369,0.38145234952255036,-0.17374560729950872,-0.033728780419379545,CTRL,216,B,431.0,13
-0.014231886595350018,0.04077158160281125,0.019484675711483934,0.1305555555555563,0.14240986857399518,0.09184293586121406,-0.2570937391328887,CTRL,216,B,431.0,14
0.056829575494023565,0.002872557106176288,0.3463569843647032,0.0805555555555556,0.08746053062010839,0.36376590656054564,-0.07477378899716558,CTRL,216,B,431.0,15
