dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,267.0,[ 5  7  9 11],"[0.07170649972250409, 0.07738696134527961, 0.08804102119917454, 0.09687553489007636]",[0.0702902  0.08005432 0.08822217 0.09533847],$\phi$,mean (short)
Artificial,267.0,[ 5  7  9 11],"[0.05688380028065362, 0.08814997843260006, 0.09948290563911004, 0.10598707596279493]",[0.0608666  0.07933086 0.09669052 0.11324188],$\phi$,dfa (short)
Artificial,267.0,[ 5  7  9 11],"[0.11912909722330103, 0.15937951751510882, 0.1727137815623545, 0.18319192570956036]",[0.12420225 0.14898313 0.17066664 0.19022539],$\phi$,mean (short)
White Noise,267.0,[ 5  7  9 11],"[0.523149140711936, 0.5620594311889647, 0.6856978579358242, 0.6966751730712166]",[0.51519866 0.58999303 0.65285852 0.70783201],$\phi$,dfa (short)
White Noise,267.0,[ 5  7  9 11],"[0.6027685470345078, 0.6859351469359811, 0.7663184195723362, 0.7531594025895209]",[0.61270197 0.67949307 0.73408778 0.78081384],$\phi$,mean (short)
Trace,268.0,[ 5  7  9 11],"[0.05078095262826715, 0.0680783433196252, 0.07356308119054594, 0.08223089344703569]",[0.05245077 0.06404227 0.07434211 0.08374353],$\phi$,dfa (short)
Trace,268.0,[ 5  7  9 11],"[0.0957480256054399, 0.10912264188515482, 0.1251376196363509, 0.14075417357864906]",[0.09448634 0.11136902 0.12591871 0.13888974],$\phi$,mean (short)
Artificial,268.0,[ 5  7  9 11],"[0.04818459610736425, 0.05450809728564629, 0.0693297493963325, 0.08018769673161646]",[0.04652754 0.05816635 0.06872164 0.07850931],$\phi$,dfa (short)
Artificial,268.0,[ 5  7  9 11],"[0.09028576841967778, 0.10872709286310188, 0.12015209041636216, 0.12997103707432053]",[0.09135617 0.10666949 0.11975924 0.13135538],$\phi$,mean (short)
White Noise,268.0,[ 5  7  9 11],"[0.42346129786814884, 0.6305703661094235, 0.7983756332508748, 0.9149541782513837]",[0.43564786 0.60709616 0.77786378 0.94810683],$\phi$,dfa (short)
White Noise,268.0,[ 5  7  9 11],"[0.9043844880550563, 1.068395884372219, 1.2529730590587715, 1.3597496955694384]",[0.90302147 1.07904934 1.23256469 1.37068264],$\phi$,mean (short)
Trace,271.0,[5 7 9],"[0.06034154839276296, 0.07235397288823656, 0.07782480184060007]",[0.06095783 0.07065468 0.07889081],$\phi$,dfa (short)
Trace,271.0,[5 7 9],"[0.08391041172038204, 0.09490935871389176, 0.093346650207992]",[0.08540006 0.09108246 0.095572  ],$\phi$,mean (short)
Artificial,271.0,[5 7 9],"[0.04835083827660972, 0.054263368675842714, 0.057709806864196]",[0.04854387 0.05376003 0.05801849],$\phi$,dfa (short)
Artificial,271.0,[5 7 9],"[0.06785773382466813, 0.06868328881216014, 0.07749226883215259]",[0.06664125 0.07165155 0.07563801],$\phi$,mean (short)
White Noise,271.0,[5 7 9],"[0.6135717256625522, 0.6451879042466443, 0.7104696207416711]",[0.60774803 0.65974061 0.70145577],$\phi$,dfa (short)
White Noise,271.0,[5 7 9],"[0.7923720259474324, 0.7423116208272376, 0.8167600318967366]",[0.77405739 0.78404241 0.79158427],$\phi$,mean (short)
Trace,272.0,[5 7 9],"[0.07562690607047196, 0.14892200189946964, 0.15447069908829944]",[0.08160517 0.12464651 0.17103441],$\phi$,dfa (short)
Trace,272.0,[5 7 9],"[0.17031631680867534, 0.190506100477934, 0.19237305626610632]",[0.17236861 0.18524324 0.19548293],$\phi$,mean (short)
Artificial,272.0,[5 7 9],"[0.0943907334730656, 0.12335277519119865, 0.14121631254592382]",[0.09538446 0.12036806 0.14321031],$\phi$,dfa (short)
Artificial,272.0,[5 7 9],"[0.14403681359222686, 0.17118865124778648, 0.1889787776687155]",[0.14474152 0.16924564 0.19021768],$\phi$,mean (short)
White Noise,272.0,[5 7 9],"[0.6345786162121915, 0.6632768839502777, 0.7837976807955923]",[0.62095663 0.69780899 0.76135365],$\phi$,dfa (short)
White Noise,272.0,[5 7 9],"[0.8181523382355146, 0.8599302970597007, 0.9093848427409923]",[0.81567456 0.86605231 0.90569944],$\phi$,mean (short)
Trace,273.0,[ 5  7  9 11],"[0.05347821064963538, 0.05220837620766703, 0.05481452952572956, 0.05649594153503852]",[0.05251916 0.05385582 0.05487633 0.05570505],$\phi$,dfa (short)
Trace,273.0,[ 5  7  9 11],"[0.05770995950536624, 0.05868598003192093, 0.05875540522143354, 0.06034183541862048]",[0.05761584 0.0585958  0.05933861 0.05993848],$\phi$,mean (short)
Artificial,273.0,[ 5  7  9 11],"[0.05801789996870483, 0.07873155801264865, 0.0841971584312755, 0.09763859544482122]",[0.0597472  0.07387981 0.08657589 0.09826289],$\phi$,dfa (short)
Artificial,273.0,[ 5  7  9 11],"[0.09037004767163823, 0.11061387839581785, 0.12929902131283963, 0.13058788961286796]",[0.09226937 0.10893733 0.12332276 0.13616165],$\phi$,mean (short)
White Noise,273.0,[ 5  7  9 11],"[0.5570525928034546, 0.6673848127223654, 0.6981609293275067, 0.7428347549879318]",[0.56922512 0.64142389 0.7012626  0.75302677],$\phi$,dfa (short)
White Noise,273.0,[ 5  7  9 11],"[0.7293302816430433, 0.8363855293792446, 0.8747521818565581, 0.9147312632584209]",[0.7405925  0.81446544 0.87440992 0.92542721],$\phi$,mean (short)
Trace,274.0,[ 5  7  9 11],"[0.06697904943726804, 0.07765178724479359, 0.07498927150796533, 0.07661648895630596]",[0.0692634  0.07290901 0.07575658 0.07810997],$\phi$,dfa (short)
Trace,274.0,[ 5  7  9 11],"[0.08161407259131016, 0.08509938221220065, 0.08677652568134955, 0.0852587435358023]",[0.08242954 0.08418181 0.08551486 0.08659442],$\phi$,mean (short)
Artificial,274.0,[ 5  7  9 11],"[0.056579291679861726, 0.06988539084363561, 0.08018337213349239, 0.09703501252212804]",[0.05603132 0.07007212 0.08280965 0.09462362],$\phi$,dfa (short)
Artificial,274.0,[ 5  7  9 11],"[0.13155887556654342, 0.15399494049178197, 0.17861212814519056, 0.19183775209191847]",[0.13156307 0.15517707 0.17554003 0.19370191],$\phi$,mean (short)
White Noise,274.0,[ 5  7  9 11],"[0.6127250951152299, 0.6066497747467201, 0.6115369650310867, 0.607765256837724]",[0.61141489 0.6100386  0.60901267 0.60819471],$\phi$,dfa (short)
White Noise,274.0,[ 5  7  9 11],"[0.7120194689900639, 0.7208063445134633, 0.7355564158589021, 0.7273938638309709]",[0.71346217 0.72164572 0.72781927 0.73278666],$\phi$,mean (short)
Trace,279.0,[ 5  7  9 11],"[0.05914425550357137, 0.06563331788450424, 0.07325360832371215, 0.08072817165619507]",[0.05847604 0.06676292 0.07370983 0.07977235],$\phi$,dfa (short)
Trace,279.0,[ 5  7  9 11],"[0.0884919766594495, 0.08926935110014801, 0.09778737153267561, 0.10256121172179143]",[0.08672007 0.09265726 0.09735549 0.10127744],$\phi$,mean (short)
Artificial,279.0,[ 5  7  9 11],"[0.05568672993115211, 0.06645137127760889, 0.07430743223990169, 0.07763134319055111]",[0.05652026 0.06533859 0.0728114  0.07938744],$\phi$,dfa (short)
Artificial,279.0,[ 5  7  9 11],"[0.09315259212945888, 0.11081067506720281, 0.13397796776274698, 0.14946169708832133]",[0.09225776 0.11335862 0.13221079 0.14949116],$\phi$,mean (short)
White Noise,279.0,[ 5  7  9 11],"[0.3197213389371716, 0.3927465622445512, 0.510797394040181, 0.5410650609339472]",[0.31883559 0.40450593 0.48319682 0.55688616],$\phi$,dfa (short)
White Noise,279.0,[ 5  7  9 11],"[0.5175485286118294, 0.6456565297642239, 0.7246260463173207, 0.7799041859346207]",[0.52716146 0.62839653 0.71649907 0.79563661],$\phi$,mean (short)
Trace,280.0,[ 5  7  9 11],"[0.06630450658116743, 0.0722923371080993, 0.08406510856511998, 0.09633950738361459]",[0.06442928 0.07557488 0.08514007 0.09363986],$\phi$,dfa (short)
Trace,280.0,[ 5  7  9 11],"[0.1101071931631548, 0.13913087342535221, 0.1478996686601853, 0.169242511448733]",[0.11199457 0.13341696 0.15205009 0.16878008],$\phi$,mean (short)
Artificial,280.0,[ 5  7  9 11],"[0.09078292854849514, 0.11743692611289977, 0.13981927583802561, 0.13934464379029557]",[0.09383349 0.11388003 0.13159973 0.14770859],$\phi$,dfa (short)
Artificial,280.0,[ 5  7  9 11],"[0.12253219884443863, 0.1528278316214664, 0.1679174961009678, 0.16298017425948075]",[0.12771961 0.14527109 0.1599365  0.17270266],$\phi$,mean (short)
White Noise,280.0,[ 5  7  9 11],"[0.37473461498647076, 0.4631723709334765, 0.5338209321000663, 0.6097985061530835]",[0.37511001 0.46092166 0.53759101 0.6078699 ],$\phi$,dfa (short)
White Noise,280.0,[ 5  7  9 11],"[0.7385127747879349, 0.8966852698404582, 0.9875029742988536, 1.0830803488134149]",[0.74698095 0.87788177 0.99040815 1.09052938],$\phi$,mean (short)
Trace,281.0,[5 7 9],"[0.05991826021027439, 0.0663961416287928, 0.06839911315913748]",[0.06037588 0.06522509 0.06909942],$\phi$,dfa (short)
Trace,281.0,[5 7 9],"[0.07652507991773481, 0.09301183540305531, 0.09612782834213503]",[0.07793633 0.08912033 0.09850867],$\phi$,mean (short)
Artificial,281.0,[5 7 9],"[0.10126364949919091, 0.13392960141475188, 0.15341123748596228]",[0.10246887 0.1302743  0.15586071],$\phi$,dfa (short)
Artificial,281.0,[5 7 9],"[0.16171365728169115, 0.19595389399030524, 0.21001298114182865]",[0.1636685  0.19052364 0.21341885],$\phi$,mean (short)
White Noise,281.0,[5 7 9],"[0.4854894546322677, 0.5117007537714202, 0.6135365704228628]",[0.47442906 0.5400382  0.59489532],$\phi$,dfa (short)
White Noise,281.0,[5 7 9],"[0.6211574564420442, 0.7984894642593346, 0.9098519063054544]",[0.62692273 0.78142085 0.92117595],$\phi$,mean (short)
Trace,282.0,[ 5  7  9 11],"[0.06020170783978218, 0.07962011077052665, 0.09436201661444957, 0.09882059672521305]",[0.0619708  0.07705234 0.0906656  0.10324304],$\phi$,dfa (short)
Trace,282.0,[ 5  7  9 11],"[0.09312322688910359, 0.10195310852765901, 0.11712004269457137, 0.11776582010169101]",[0.09306669 0.10383005 0.11267377 0.12027318],$\phi$,mean (short)
Artificial,282.0,[ 5  7  9 11],"[0.06674432637202106, 0.07637851469245159, 0.08544197653290231, 0.08952292383609926]",[0.06707553 0.076296   0.08400055 0.09070749],$\phi$,dfa (short)
Artificial,282.0,[ 5  7  9 11],"[0.11120453535029887, 0.13521909106710742, 0.14320741463549239, 0.15873890534567342]",[0.11290711 0.13066566 0.14572886 0.15899411],$\phi$,mean (short)
White Noise,282.0,[ 5  7  9 11],"[0.41621434856993256, 0.6383136477884488, 0.7655028638270194, 0.8624821695537515]",[0.43575903 0.59459807 0.74996193 0.9026908 ],$\phi$,dfa (short)
White Noise,282.0,[ 5  7  9 11],"[0.8722420059483289, 0.9814837809215915, 1.0665425966118816, 1.1269207255819456]",[0.87546502 0.97737944 1.06116694 1.1331985 ],$\phi$,mean (short)
Trace,284.0,[5 7 9],"[0.06990692581362536, 0.07199158075785762, 0.07422212001468452]",[0.06980997 0.07222565 0.07408433],$\phi$,dfa (short)
Trace,284.0,[5 7 9],"[0.07404486698736674, 0.07948872532928393, 0.08112067869313368]",[0.07443783 0.07851075 0.08169759],$\phi$,mean (short)
Artificial,284.0,[5 7 9],"[0.06914541726045349, 0.07234704398460508, 0.08241788421779361]",[0.06807242 0.07504241 0.08071006],$\phi$,dfa (short)
Artificial,284.0,[5 7 9],"[0.08537947544988679, 0.10550055738365531, 0.10694003036055194]",[0.08740217 0.09987842 0.11034551],$\phi$,mean (short)
White Noise,284.0,[5 7 9],"[0.29939785492959636, 0.44680269994800326, 0.544488205790599]",[0.30435234 0.42997633 0.55658532],$\phi$,dfa (short)
White Noise,284.0,[5 7 9],"[0.6690887875493375, 0.8676305403147216, 0.9346833929411176]",[0.6821864  0.82916955 0.95926082],$\phi$,mean (short)
Trace,291.0,[ 5  7  9 11 13 15],"[0.051244018901768704, 0.05632161425645866, 0.0623972320289615, 0.06816179269285166, 0.0722781984851817, 0.07758976002240013]",[0.05039477 0.05729036 0.06304949 0.06806103 0.07253555 0.07660168],$\phi$,dfa (short)
Trace,291.0,[ 5  7  9 11 13 15],"[0.06970027607282922, 0.07907194671964454, 0.08753580807001683, 0.09331231226771157, 0.09924611953811224, 0.10302273775091364]",[0.07009421 0.07912044 0.08661259 0.09310122 0.09887211 0.10409917],$\phi$,mean (short)
Artificial,291.0,[ 5  7  9 11 13 15],"[0.07197481694374316, 0.10566535364382768, 0.12845286018449772, 0.13119933926825336, 0.14149687484699264, 0.15539577163961968]",[0.07889399 0.09826911 0.11578495 0.13198732 0.14719183 0.1616016 ],$\phi$,dfa (short)
Artificial,291.0,[ 5  7  9 11 13 15],"[0.1254064690699153, 0.15103373583190452, 0.1710314125269249, 0.17345356864012237, 0.18911381780993866, 0.20365900075657242]",[0.12848156 0.14783638 0.16417173 0.17850199 0.19138119 0.20315013],$\phi$,mean (short)
White Noise,291.0,[ 5  7  9 11 13 15],"[0.4696211540158004, 0.5823492353110701, 0.743464479936593, 0.8642932001709063, 1.0135498203443989, 1.1319818502028367]",[0.45826467 0.60341841 0.74109848 0.87326599 1.00110084 1.12538682],$\phi$,dfa (short)
White Noise,291.0,[ 5  7  9 11 13 15],"[0.8441564387835299, 1.1001574104489549, 1.216407867576965, 1.333034180341434, 1.4609363427450004, 1.4986868691160131]",[0.88207594 1.04952981 1.19502807 1.32555981 1.44503556 1.55590739],$\phi$,mean (short)
