index division length width area intensity CMx CMy
113 0 76.1415 12.8314 977 155.114 640.669 482.796
114 0 80.1928 12.9313 1037 154.751 640.556 481.072
115 0 82.1425 13.0018 1068 151.449 640.701 480.637
116 0 84.18 13.0316 1097 164.158 641.607 478.78
117 0 87.2157 12.7615 1113 151.059 641.242 477.406
118 0 90.1089 13.5503 1221 163.92 641.482 475.958
119 0 93.1973 13.6807 1275 166.376 641.463 474.125
120 0 95.1787 13.627 1297 164.171 641.311 471.879
121 0 98.1797 13.6586 1341 171.176 642.896 471.284
122 0 100.19 13.8337 1386 164.375 643.189 469.183
123 0 105.095 13.6638 1436 161.025 642.247 467.526
124 1 55.1707 11.9266 658 162.334 642.546 492.836
125 0 58.0971 12.2209 710 163.387 642.611 491.232
126 0 59.132 12.2945 727 164.158 641.928 491.04
127 0 61.0848 12.6709 774 163.807 641.032 490.606
128 0 62.1878 12.816 797 163.399 641.322 489.473
129 0 64.1694 12.7163 816 160.581 641.364 488.651
130 0 65.0881 13.305 866 157.368 640.955 487.234
131 0 67.108 13.143 882 161.847 643.09 486.177
132 0 71.3295 13.1643 939 160.439 642.256 484.739
133 0 73.2469 13.1746 965 165.036 641.317 483.848
134 0 76.3562 13.1227 1002 167.601 641.958 481.624
135 0 76.2837 13.2663 1012 165.263 641.394 481.961
136 0 81.2804 13.0905 1064 158.196 642.113 480.016
137 0 83.2092 13.4841 1122 171.519 641.376 478.875
138 0 87.1188 13.2807 1157 171.184 639.868 477.688
139 0 90.1856 13.1285 1184 165.94 641.078 476.597
140 0 92.1333 13.5999 1253 164.265 640.312 474.64
141 0 94.1702 13.6137 1282 160.764 641.663 473.175
142 0 100.262 13.365 1340 165.636 639.372 471.431
143 0 102.161 13.4298 1372 164.905 640.005 469.91
144 0 105.166 13.474 1417 159.295 640.251 467.888
145 1 65.2033 12.254 799 158.244 643.952 486.867
146 0 66.1262 12.5064 827 159.138 642.687 486.178
147 0 68.1352 12.3871 844 158.604 642.364 485.935
148 0 69.1136 12.5012 864 160.09 641.534 485.399
149 0 71.1825 12.5031 890 156.033 641.685 484.842
150 0 73.0858 12.8205 937 157.703 640.853 483.66
151 0 76.1604 12.5131 953 160.03 640.761 483.373
152 0 78.2446 12.7804 1000 162.184 639.841 482.049
153 0 81.1922 12.8091 1040 162.027 641.114 480.57
154 0 82.1862 13.0314 1071 160.055 641.516 479.119
155 0 87.2084 12.5676 1096 159.893 643.503 477.83
156 0 90.2252 12.8013 1155 161.461 642.112 476.121
157 1 46.0642 11.2886 520 161.788 641.179 497.858
158 0 47.1207 12.139 572 152.822 640.019 497.182
159 0 48.1649 11.9589 576 157.253 640.559 495.714
160 0 49.1609 12.3472 607 158.499 640.997 495.494
161 0 51.1357 12.4179 635 159.734 640.772 495.135
162 0 52.2453 12.4604 651 157.84 642.058 494.594
163 0 55.1893 12.3393 681 150.066 643.261 494.063
164 0 56.129 12.4535 699 156.797 640.376 494.036
165 0 58.241 12.5856 733 165.944 639.37 493.389
166 0 58.232 13.1886 768 162.516 639.521 492.534
167 0 61.3282 12.8978 791 160.986 640.028 492.302
168 0 62.3046 13.1451 819 164.922 640.937 491.56
169 0 63.1577 13.4109 847 162.009 639.828 490.514
170 0 66.3268 13.1621 873 158.979 638.75 489.669
171 0 69.2021 13.1065 907 164.809 640.265 488.634
172 0 72.1318 13.1287 947 165.139 640.554 487.499
173 0 73.2478 13.4612 986 167.006 641.249 486.451
174 0 77.1894 12.9422 999 168.087 640.563 485.087
175 0 79.4434 13.1162 1042 171.103 642.286 483.688
176 0 83.1936 12.9337 1076 166.629 642.144 482.34
177 0 84.2363 13.3315 1123 161.638 642.101 480.755
178 0 88.2108 13.377 1180 161.465 642.533 479.351
179 0 91.2533 13.2598 1210 171.219 641.289 478.19
180 0 95.2071 13.0663 1244 163.039 640.863 476.322
181 1 48.1228 12.572 605 161.456 640.998 497.704
182 0 50.1089 12.5726 630 162.94 641.217 497.087
183 0 51.1738 12.5455 642 162.657 640.871 496.534
184 0 52.1105 12.7997 667 168.178 641.075 496.307
185 0 54.0567 12.5794 680 157.032 641.707 495.315
186 0 55.1331 12.8235 707 165.909 641.955 494.045
187 0 57.2076 12.7605 730 168.278 640.305 493.773
188 0 58.0664 12.9163 750 166.288 642.716 493.221
189 0 62.2814 12.3793 771 162.245 640.01 491.767
190 0 63.2241 12.7799 808 159.526 642.203 490.618
191 0 65.1791 12.7955 834 163.855 642.266 489.434
192 0 66.3764 12.5496 833 158.185 642.72 488.327
193 0 70.3645 12.7053 894 159.472 643.009 487.103
194 0 70.2193 12.9167 907 157.057 642.889 485.871
195 0 73.3526 12.733 934 150.094 642.564 484.545
196 0 77.3039 12.4703 964 156.202 641.935 482.648
197 0 77.2317 12.5985 973 154.513 644.2 481.757
198 0 82.3309 12.4862 1028 157.366 643.279 479.935
199 0 82.2971 12.4306 1023 151.627 642.751 478.583
200 0 88.2914 12.1869 1076 159.023 643.503 477.502
201 1 45.1664 11.0037 497 149.666 642.101 497.785
202 0 47.0651 11.176 526 140.386 642.327 497.643
203 0 49.0281 11.4016 559 143.377 642.025 496.243
204 0 50.0366 11.5915 580 142.628 642.826 495.967
205 0 52.0762 11.5024 599 144.576 642.871 494.918
206 0 54.1237 11.3074 612 144.683 642.868 494.408
207 0 54.0249 11.9945 648 142.628 642.679 493.123
208 0 56.063 11.8795 666 143.71 642.446 492.153
209 0 58.0422 11.819 686 139.305 642.499 490.636
210 0 60.0716 11.8359 711 141.075 642.239 489.865
211 0 62.0716 12.1312 753 140.234 641.352 488.669
212 0 64.0737 12.1423 778 143.91 645.087 487.099
213 0 65.0519 12.3132 801 140.029 642.062 485.325
214 0 68.0802 12.2209 832 151.365 644.482 484.4
215 0 70.1176 12.094 848 148.051 644.222 483.94
216 0 71.0835 12.3798 880 149.38 643.157 482.911
217 0 73.149 12.7001 929 151.004 643.871 480.526
218 0 76.0338 12.5865 957 152.48 642.443 479.928
219 0 80.0828 12.7118 1018 157.674 642.182 478.173
220 0 83.1516 12.4832 1038 153.331 643.803 476.46
221 0 85.358 12.6057 1076 154.48 643.947 475.607
222 1 46.0809 11.2411 518 150.095 645.459 494.251
223 0 48.0838 11.376 547 150.543 644.002 493.96
224 0 49.0278 11.9524 586 146.961 644.227 492.582
225 0 52.1003 11.8042 615 160.537 645.185 491.797
226 0 53.0596 12.0808 641 151.396 644.106 490.49
227 0 54.1176 12.3804 670 160.284 642.899 489.819
228 0 54.1176 12.3804 670 168.404 641.899 489.819
229 0 59.044 12.1943 720 162.119 645.033 488.117
230 0 61.0313 12.4198 758 152.931 643.327 487.121
231 0 64.0315 12.6032 807 158.75 643.996 485.004
232 0 65.0747 12.5855 819 164.811 643.697 484.508
233 0 66.0778 12.9242 854 149.827 643.201 482.92
234 0 69.0999 13.343 922 157.392 642.676 481.993
235 0 72.1244 12.8944 930 159.363 645.723 481.21
236 0 74.1377 12.7735 947 164.662 643.239 479.988
237 0 76.1622 13.1299 1000 165.282 642.568 479.108
238 0 79.2704 13.1827 1045 169.579 641.265 477.614
239 0 81.175 13.243 1075 162.438 643.597 476.377
240 0 84.185 12.9358 1089 168.232 646.374 475.623
241 0 86.1749 12.9156 1113 167.235 646.49 473.53
242 0 90.0999 12.7858 1152 163.497 646.253 471.924
243 0 93.1037 12.8781 1199 159.178 643.807 470.582
244 1 48.0236 11.4319 549 160.962 643.778 492.548
245 0 51.0324 11.6005 592 161.387 643.247 491.569
246 0 50.0726 12.0026 601 160.454 641.889 490.767
247 0 53.0931 11.7529 624 161.135 642.843 490.071
248 0 54.0272 12.1976 659 158.041 645.807 488.531
