time,length,lineage_ID,filename
0.0,1.830987076,1,pos17-1
13.3,3.972882158,1,pos17-1
13.4,4.79363521,1,pos17-1
13.5,4.945877469,1,pos17-1
13.6,6.10225497,1,pos17-1
13.7,7.29107024,1,pos17-1
13.8,3.636367675,1,pos17-1
13.9,4.30562741,1,pos17-1
14.0,4.92752124,1,pos17-1
14.1,5.201700566,1,pos17-1
14.2,6.4364636729999996,1,pos17-1
13.2,3.382641248,1,pos17-1
14.3,3.2657877999999996,1,pos17-1
14.5,4.5852154469999995,1,pos17-1
14.6,2.512524308,1,pos17-1
14.7,2.737957324,1,pos17-1
14.8,3.297563652,1,pos17-1
14.9,2.825588935,1,pos17-1
15.0,4.48550569,1,pos17-1
15.1,4.722086481,1,pos17-1
15.2,6.199047845,1,pos17-1
15.3,3.0146115,1,pos17-1
15.4,3.237906011,1,pos17-1
14.4,3.774411709,1,pos17-1
15.5,4.175596971,1,pos17-1
13.1,6.916357497999999,1,pos17-1
12.9,4.922692763,1,pos17-1
10.7,5.689809768,1,pos17-1
10.8,3.234016862,1,pos17-1
10.9,3.3666839719999997,1,pos17-1
11.0,3.8609430160000002,1,pos17-1
11.1,4.470084357,1,pos17-1
11.2,4.8099378360000005,1,pos17-1
11.3,6.051101115,1,pos17-1
11.4,6.9913142939999995,1,pos17-1
11.5,8.052891758,1,pos17-1
11.6,4.3867145999999995,1,pos17-1
13.0,5.205418715,1,pos17-1
11.7,5.036195262,1,pos17-1
11.9,6.4203756389999995,1,pos17-1
12.0,3.150462485,1,pos17-1
12.1,3.541886377,1,pos17-1
12.2,4.06903549,1,pos17-1
12.3,4.507310157,1,pos17-1
12.4,5.403546011,1,pos17-1
12.5,6.323203099,1,pos17-1
12.6,3.25771557,1,pos17-1
12.7,3.758047017,1,pos17-1
12.8,4.22996251,1,pos17-1
11.8,5.69176491,1,pos17-1
15.6,4.622200187,1,pos17-1
15.7,4.825394998999999,1,pos17-1
15.8,5.498584895,1,pos17-1
19.4,10.02989751,1,pos17-1
19.5,6.894745322,1,pos17-1
19.6,4.786526342,1,pos17-1
19.7,7.081613849,1,pos17-1
19.8,4.850787501,1,pos17-1
19.9,3.562945963,1,pos17-1
20.0,4.757658996,1,pos17-1
20.1,4.73133196,1,pos17-1
20.2,3.3538668310000004,1,pos17-1
20.3,3.636935708,1,pos17-1
19.3,9.068379039,1,pos17-1
20.4,1.743543736,1,pos17-1
20.6,1.8053975919999998,1,pos17-1
20.7,2.001059342,1,pos17-1
20.8,2.076304496,1,pos17-1
20.9,2.101370995,1,pos17-1
21.0,1.711754842,1,pos17-1
21.1,2.1691394859999997,1,pos17-1
21.2,2.165063509,1,pos17-1
21.3,2.179940233,1,pos17-1
21.4,1.9578900209999999,1,pos17-1
21.5,2.137855626,1,pos17-1
20.5,1.639180773,1,pos17-1
18.5,31.30619861,1,pos17-1
18.4,30.54045549,1,pos17-1
18.3,32.00914322,1,pos17-1
15.9,6.506801277,1,pos17-1
16.0,7.379360804,1,pos17-1
16.1,8.010019341,1,pos17-1
16.2,9.144614025,1,pos17-1
16.4,11.57222129,1,pos17-1
16.5,12.740225,1,pos17-1
16.6,14.41487515,1,pos17-1
16.7,16.10291815,1,pos17-1
16.8,17.31145982,1,pos17-1
16.9,18.40318339,1,pos17-1
17.0,20.68209958,1,pos17-1
17.1,21.10918369,1,pos17-1
17.2,24.95194005,1,pos17-1
17.3,26.41702465,1,pos17-1
17.4,28.8052938,1,pos17-1
17.5,30.92937414,1,pos17-1
17.6,32.78208074,1,pos17-1
17.7,35.6645648,1,pos17-1
17.8,26.17387885,1,pos17-1
17.9,27.51364188,1,pos17-1
18.0,28.80121266,1,pos17-1
18.1,30.53088069,1,pos17-1
18.2,31.31761246,1,pos17-1
10.6,4.644688932,1,pos17-1
10.5,4.433282444,1,pos17-1
16.3,10.62415813,1,pos17-1
10.3,6.794423537,1,pos17-1
2.7,3.713829187,1,pos17-1
2.8,4.16014935,1,pos17-1
2.9,4.545336974,1,pos17-1
3.0,5.055377453,1,pos17-1
3.1,5.912352006,1,pos17-1
3.2,3.063323617,1,pos17-1
3.3,3.333974458,1,pos17-1
3.4,4.090037042,1,pos17-1
3.5,4.340636143,1,pos17-1
3.6,5.013394162,1,pos17-1
2.6,3.5536629669999997,1,pos17-1
3.7,2.6186147969999998,1,pos17-1
3.9,3.235989445,1,pos17-1
4.0,3.564697753,1,pos17-1
4.1,3.9545611989999996,1,pos17-1
4.2,4.10381183,1,pos17-1
4.3,4.834539943,1,pos17-1
4.4,5.395521405,1,pos17-1
4.5,5.9433151760000005,1,pos17-1
4.6,7.163111497999999,1,pos17-1
4.7,3.9205237669999997,1,pos17-1
4.8,4.038840933,1,pos17-1
3.8,3.065120265,1,pos17-1
4.9,5.071791166000001,1,pos17-1
2.5,6.358186296,1,pos17-1
2.2,4.7066008660000005,1,pos17-1
10.4,3.7237539610000003,1,pos17-1
0.1,2.395785935,1,pos17-1
0.2,2.503252496,1,pos17-1
0.3,3.0073312619999997,1,pos17-1
0.4,3.6095280819999997,1,pos17-1
0.5,4.0834708719999995,1,pos17-1
0.6,4.332160717,1,pos17-1
0.7,4.831873792,1,pos17-1
0.8,2.38249124,1,pos17-1
0.9,2.736089925,1,pos17-1
2.4,5.561112294,1,pos17-1
1.0,3.063323617,1,pos17-1
1.2,3.565829455,1,pos17-1
1.3,3.9138336110000003,1,pos17-1
1.4,4.17213529,1,pos17-1
1.5,4.770183488,1,pos17-1
1.6,5.279592699,1,pos17-1
1.7,2.906559145,1,pos17-1
1.8,3.324512535,1,pos17-1
1.9,3.6434713910000003,1,pos17-1
2.0,3.77389901,1,pos17-1
2.1,4.173760185,1,pos17-1
1.1,3.1871632830000003,1,pos17-1
5.0,5.832565786,1,pos17-1
2.3,5.027549658,1,pos17-1
5.2,3.491298946,1,pos17-1
7.9,4.12187129,1,pos17-1
8.0,4.080029597,1,pos17-1
8.1,3.786592147,1,pos17-1
8.2,5.356906497,1,pos17-1
8.3,6.249938379,1,pos17-1
8.4,6.816566902000001,1,pos17-1
8.5,3.534488371,1,pos17-1
8.6,4.232968429,1,pos17-1
8.7,4.835999909,1,pos17-1
8.8,5.087014977,1,pos17-1
9.0,3.774986684,1,pos17-1
9.1,3.557752877,1,pos17-1
9.2,4.013796246,1,pos17-1
9.3,4.174234982,1,pos17-1
9.4,5.08373875,1,pos17-1
9.5,5.883184407000001,1,pos17-1
9.6,5.564707038,1,pos17-1
9.7,7.048997891,1,pos17-1
9.8,7.59218039,1,pos17-1
9.9,8.80468575,1,pos17-1
10.1,5.503933269,1,pos17-1
5.1,3.03965396,1,pos17-1
10.2,6.1680180920000005,1,pos17-1
7.8,3.061481137,1,pos17-1
7.7,3.097004838,1,pos17-1
8.9,3.1074787560000003,1,pos17-1
7.5,2.771691319,1,pos17-1
5.3,4.159399908999999,1,pos17-1
5.4,3.4454499960000002,1,pos17-1
7.6,3.013207663,1,pos17-1
5.5,5.045108636,1,pos17-1
5.6,5.80492132,1,pos17-1
5.7,3.5166928360000003,1,pos17-1
5.8,3.655583922,1,pos17-1
6.0,4.782288112,1,pos17-1
6.1,5.002143063,1,pos17-1
6.2,3.077561545,1,pos17-1
6.3,2.995798777,1,pos17-1
6.4,3.154765107,1,pos17-1
5.9,3.78444336,1,pos17-1
6.5,3.51946316,1,pos17-1
7.4,4.234077217,1,pos17-1
7.2,3.567871295,1,pos17-1
7.1,3.202002994,1,pos17-1
7.0,3.1469515180000003,1,pos17-1
7.3,4.006625937,1,pos17-1
6.8,4.973752632,1,pos17-1
6.7,4.411636891000001,1,pos17-1
6.6,3.866036642,1,pos17-1
6.9,5.61449414,1,pos17-1
16.1,8.012028647000001,2,pos17-3
16.0,7.3338988910000005,2,pos17-3
15.9,6.184277367000001,2,pos17-3
15.8,5.247212009,2,pos17-3
15.0,3.5736698239999996,2,pos17-3
15.7,4.6677711319999995,2,pos17-3
15.5,7.339668538,2,pos17-3
15.4,6.458205146,2,pos17-3
15.1,4.22345145,2,pos17-3
15.3,5.321467378,2,pos17-3
15.2,4.6037251910000005,2,pos17-3
15.6,4.177232665,2,pos17-3
16.2,9.300349591,2,pos17-3
17.2,8.889024057,2,pos17-3
16.4,5.774934437000001,2,pos17-3
16.5,7.082169179,2,pos17-3
16.6,3.774629525,2,pos17-3
16.7,4.141246616,2,pos17-3
16.8,4.995723518999999,2,pos17-3
16.9,5.581627117999999,2,pos17-3
17.0,7.009944948999999,2,pos17-3
17.1,7.792670746000001,2,pos17-3
17.3,5.456016102,2,pos17-3
17.5,7.1327873539999995,2,pos17-3
14.9,6.499623777,2,pos17-3
17.4,5.924905559,2,pos17-3
16.3,5.164125935,2,pos17-3
14.8,5.704474423,2,pos17-3
