div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation,trap_ID,trace,dataset,start_time,end_time
,0.015416887783113675,,0.12951300825022916,-0.045000000000000095,0.0798493624081118,0.20936237065834273,0.14382474941486523,1.0,0.0,1,A,SL,0.45,0.9
-0.009899180962389398,0.00887715640244835,-0.007728948950382675,0.05003051889001853,-0.09500000000000008,0.0771654501434833,0.1271959690335036,0.29712180590470205,1.0,1.0,1,A,SL,0.95,1.35
-0.01549469786476143,0.03215686242369764,-0.021964364586620988,0.09115971565864323,-0.04500000000000004,-0.040924291977618044,0.05023542368102696,0.17730469869603294,1.0,2.0,1,A,SL,1.4,1.85
-0.21374173186343548,-0.1324068401160322,-0.041946595415154775,-0.7715338521691923,-0.09499999999999986,-0.1846244364039049,-0.9561582885730955,-0.016842630803033387,1.0,3.0,1,A,SL,1.9,2.3
0.012557009697173882,0.1071343878296368,-0.04548060238594753,-0.17874461597820313,0.10499999999999987,-0.6748573120332515,-0.8536019280114528,-0.06364097421090786,1.0,4.0,1,A,SL,2.35,2.95
0.2547351590299174,0.18852059553519807,0.013610001452553977,0.5810429164970583,0.10499999999999987,-0.3672517362133738,0.21379118028368627,0.06156857610534017,1.0,5.0,1,A,SL,3.0,3.6
-0.05546280604878806,0.009201894262079402,-0.02943718289251762,0.020073151717312054,0.0050000000000002265,-0.03911715110794267,-0.01904399939062884,-0.004790523898092314,1.0,6.0,1,A,SL,3.65,4.15
-0.0531176074455697,-0.01289746033040573,-0.01747578329475702,-0.13099424388058534,0.004999999999999782,-0.08941754807360436,-0.22041179195418792,-0.044971168611700474,1.0,7.0,1,A,SL,4.2,4.7
0.0013067100275456767,0.021592749785973364,-0.008892502173080241,0.0016853777890863952,0.054999999999999605,-0.1462646816007105,-0.14457930381162232,-0.09762683658400761,1.0,8.0,1,A,SL,4.75,5.3
-0.030591826212542417,-0.09205581191744483,0.03521164015306,-0.3440230183311508,-0.04500000000000004,0.11703749522037388,-0.22698552311077513,-0.071120649986252,1.0,9.0,1,A,SL,5.35,5.8
0.014083048028086242,-0.008269638837691606,0.012566219621465091,-0.03634304327480198,0.05500000000000049,-0.04188116035759837,-0.07822420363239857,-0.1473974842901178,1.0,10.0,1,A,SL,5.85,6.4
0.13328463715843308,0.08431564459075369,0.01828631630610489,0.6009003806340139,0.15500000000000014,0.06601240990579305,0.6669127905398087,-0.18931077972331734,1.0,11.0,1,A,SL,6.45,7.1
-0.1579562473352445,-0.2766874290482539,0.0664264721029586,-0.8888420326081401,-0.1950000000000004,0.7472928387773492,-0.14154919383078912,-0.043415526093967705,1.0,12.0,1,A,SL,7.15,7.45
-0.016564912580887325,-0.015040833349560967,0.0012969239419851064,-0.1081353770474549,0.005000000000000671,-0.054418015291680444,-0.16255339233913357,-0.048868210464712236,1.0,13.0,1,A,SL,7.5,8.0
0.1427699292751936,0.11865830276862488,0.0043364408922494935,0.6237969574944864,0.10499999999999854,-0.049789874094105624,0.5740070834003825,-0.04591187430476973,1.0,14.0,1,A,SL,8.05,8.65
-0.11203555175599245,-0.0637870509420353,-0.021521418849496987,-0.12822945985069323,0.005000000000000671,0.1815009528925846,0.05327149304189316,-0.13749769699648362,1.0,15.0,1,A,SL,8.7,9.2
0.08148882708364802,0.03963273435986159,0.018853244272546865,0.38433525717454176,0.054999999999999605,0.13901021286741644,0.52334547004196,-0.06756019562752735,1.0,16.0,1,A,SL,9.25,9.8
-0.10393294145013698,-0.022052630920588623,-0.0376989748095628,-0.10813958299907567,-0.09499999999999897,0.06321549785646985,-0.04492408514260404,0.22838894518683817,1.0,17.0,1,A,SL,9.85,10.25
-0.04072132403963491,-0.12453311165461345,0.0478665136521198,-0.4340650425276169,-0.09500000000000075,0.2375896912440134,-0.19647535128360172,0.0006545435556777335,1.0,18.0,1,A,SL,10.3,10.7
0.16929350725938397,0.1222235913752373,0.01369260096247471,0.6465129845615261,0.054999999999999605,-0.02012770416181464,0.6263852803997132,0.07009123273143225,1.0,19.0,1,A,SL,10.75,11.3
,0.017076499304688575,,0.10210591455658946,-0.044999999999999984,0.04598702172962055,0.14809293628621045,0.1495487407712781,2.0,0.0,1,B,SL,0.45,0.9
-0.00028420449512478463,0.0008649425348575823,-3.131407631051797e-05,-0.01775606057498491,-0.09499999999999997,0.057332266436685764,0.0395762058617013,0.2789508629831723,2.0,1.0,1,B,SL,0.95,1.35
0.04514364258513193,0.0405008286022297,0.0010860305743928267,0.22891689109101154,0.0050000000000001155,0.00795548581469907,0.23687237690571106,0.056788409011928165,2.0,2.0,1,B,SL,1.4,1.9
-0.09897910140002564,-0.06542815280301362,-0.015737043017293117,-0.3423502970537813,-0.04499999999999971,0.010365899392549505,-0.33198439766123133,-0.015460563444127162,2.0,3.0,1,B,SL,1.95,2.4
-0.0585514465475474,0.013478275684069674,-0.034246870900304094,-0.2787605700760265,0.004999999999999893,-0.37147329989222966,-0.6502338699682557,0.007656494615274179,2.0,4.0,1,B,SL,2.45,2.95
0.15761549239850337,0.14770730173707114,-0.004364724233744899,0.4370211400872588,0.10499999999999998,-0.3744426986206135,0.0625784414666457,0.006938382520250919,2.0,5.0,1,B,SL,3.0,3.6
-0.10801909294412793,-0.09139292689580047,-0.007424183882002167,-0.495662315971908,-0.044999999999999485,-0.028879298219213645,-0.5245416141911212,-0.06739011162970132,2.0,6.0,1,B,SL,3.65,4.1
