div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,dataset,trap_ID,trace,lineage_ID,generation
,-0.14398122498261084,,-0.27114088799923364,-0.07999999999999996,0.6126818808604959,0.23903204332621808,-0.08708068633758703,SL,1,A,1,0
0.02013159283357019,0.021376465331060412,0.008701371558819004,0.1634455329323674,-0.02999999999999997,0.1614442274129706,0.22238081081029382,0.15525971234687486,SL,1,A,1,1
0.029691994372471053,0.11389015034079797,-0.049519476101727466,0.3024997838948944,-0.030000000000000082,-0.11994763150252741,0.0800432028573228,0.386543924871219,SL,1,A,1,2
0.06212864652023192,0.12240984819034506,-0.011816396667144957,0.4762534753430163,0.020000000000000184,-0.02162672745772598,0.35211779835024615,0.20080378364726315,SL,1,A,1,3
-0.02592353676321807,-0.06954154574456184,0.01863806432419457,-0.1682977271549535,-0.0799999999999999,0.2732717039084305,0.0024650272184327804,0.12560411148540984,SL,1,A,1,4
-0.00896832375113471,-0.062248352614738156,0.041373209039260006,-0.15898973571117114,-0.030000000000000082,0.17272697452906938,-0.08877171071714596,-0.05380233251762134,SL,1,A,1,5
-0.014386930945042897,-0.06552558842545919,0.03517805994879497,-0.22284804937875968,-0.030000000000000082,0.0910014255236109,-0.23435557339019297,-0.061995422044423876,SL,1,A,1,6
0.010422451190273518,0.11378601225249652,-0.0756034826308088,0.11301790469546225,0.17000000000000054,-0.4622681577471264,-0.4517592025867083,-0.2276480479447971,SL,1,A,1,7
0.07823189057278673,0.20081276922724334,-0.04428466803106379,0.44054657510654893,0.11999999999999983,-0.442039046213619,-0.10400142064211426,0.042206351572064316,SL,1,A,1,8
0.07787492144559932,0.2298898769125508,-0.0622299451061718,0.6388401947612357,0.07,-0.34123884175956354,0.19509240346662793,0.25013233241341704,SL,1,A,1,9
0.0863691088312693,0.1391631807932725,0.00797696065419673,0.7785697154085165,0.12000000000000072,0.13316480587788027,0.8092255717513526,-0.06988380921697579,SL,1,A,1,10
-0.10618004007354612,-0.22626408951923493,0.044272848398521525,-0.5664254700198463,-0.08000000000000035,0.6717953734763116,0.00286095392142105,-0.3221745850136546,SL,1,A,1,11
-0.052414926575659215,-0.13977362495882933,0.047677754556685215,-0.4300389905752784,-0.029999999999999638,0.20102901743110868,-0.3315189226792139,-0.2476155133778506,SL,1,A,1,12
-0.0062218350751712115,-0.04853041771261801,0.03183232769055255,-0.20469514776430842,0.07,-0.06684743552454409,-0.3740515328238967,-0.3067082568369206,SL,1,A,1,13
-0.09282768573933603,-0.14411308204853646,-0.031230967381619013,-0.7100338672596505,0.020000000000000184,-0.3489049638943307,-1.1614477806890253,-0.3914693946613623,SL,1,A,1,14
0.11767732015794602,0.2332521055838641,-0.01769001990653274,0.213832375804353,0.07,-0.7194347608955627,-0.6081113346262539,0.25685678975604365,SL,1,A,1,15
0.17063182988590925,0.3811236198165884,-0.04457277151192829,1.13043309367119,0.16999999999999965,-0.5235186881747997,0.5044054559613462,0.2179146313286915,SL,1,A,1,16
0.06281856264472668,0.15540298953804854,-0.03409667003746697,0.7403843071386231,0.019999999999999296,0.09994108932916568,0.7378164469327446,0.27412187553105194,SL,1,A,1,17
-0.0506193961303551,-0.10460644452535472,0.010025160733824312,-0.12433152617964272,0.019999999999999296,0.4511398740967745,0.22429939838208757,-0.3036768668320673,SL,1,A,1,18
0.07612954274866429,0.0888750813484932,0.03360088056247035,0.47583487808442326,-0.08000000000000035,0.26944379863267187,0.6427697271820509,0.5782230460369981,SL,1,A,1,19
0.006091557505672862,0.09128962626024573,-0.06646224984906524,0.26534180898947746,-0.07999999999999857,0.007691246796118545,0.1705241062505518,0.5851217457848521,SL,1,A,1,20
-0.05098811581774909,-0.040391140989097796,-0.05326013645015837,-0.24143312649995075,0.07,-0.16361190228507283,-0.5075539783200678,-0.29042970338988017,SL,1,A,1,21
-0.11553980373092501,-0.2810330819480005,0.11342946983843738,-0.9262304429818622,-0.029999999999999638,0.15084228348911521,-0.8778971090277912,-0.6007641558507781,SL,1,A,1,22
-0.1846188799477933,-0.38239337949940033,0.10931940917671668,-1.3436077410436624,-0.18,-0.11261772194985298,-1.5587344125285596,-0.4933570576856524,SL,1,A,1,23
,,-0.033989720461987005,,,-0.9813309404225388,1.5813927979535443,0.07908007712999865,SL,1,A,1,24
-0.08950994415918889,-0.18286975262656824,0.02273098765320325,-0.37092693326178683,-0.18,1.0072131164635443,0.5337772336667133,0.3047374498056761,SL,1,A,1,25
,-0.13852259833785996,,-0.14327433874728812,-0.11199999999999988,0.6703145870888481,0.5270402483415602,0.05948605623676739,SL,1,B,2,0
-0.0476718966039687,-0.03524452171435377,-0.043780446516342275,-0.06416083336190659,-0.011999999999999844,0.07008823137866704,0.005927398016760677,-0.05098760370484712,SL,1,B,2,1
0.06873625482007673,0.11055186717381982,0.010996506837476216,0.47628950745243803,-0.011999999999999955,0.03541339925101594,0.5117029067034542,0.2730043716022055,SL,1,B,2,2
-0.05086360131324946,-0.040821401400363166,-0.04438502136084055,-0.12876084512239117,-0.062,0.0595433280771025,-0.06921751704528845,0.1125000190839689,SL,1,B,2,3
-0.06418473610343783,-0.1479045731422799,0.032690936148749294,-0.5159418144626782,-0.11199999999999982,0.08203661016692676,-0.4339052042957512,0.032680413938424246,SL,1,B,2,4
0.12754481352923258,0.20909202184965658,0.015275977004258645,0.7433139085084879,0.13799999999999973,-0.19429544192300297,0.5490184665854851,0.0013803248941597346,SL,1,B,2,5
