dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Shuffled,3.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.04959010498245846, 0.06400386563531182, 0.07356729933541029, 0.08824824266850848, 0.09641693294183834, 0.10223772499504023, 0.1080561483744801, 0.10985680372468809, 0.11112972512137063, 0.11413241304923356, 0.11400185338879373, 0.11424912073886317, 0.11529702941355592, 0.11479506584986145, 0.11496313007409444]","[0.05799161 0.06690697 0.07444904 0.08107724 0.08704301 0.09250123
 0.09755515 0.10227754 0.10672194 0.11092906 0.11493067 0.11875214
 0.12241409 0.12593351 0.12932466]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,3.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.08169199611021354, 0.09735617240160872, 0.10631856608815439, 0.12335619647827926, 0.13020172433179636, 0.1360298353180198, 0.14232550938767183, 0.14367424933854703, 0.14716318229759484, 0.1511100571905399, 0.15297895305178338, 0.1561926648823052, 0.1601019691427802, 0.16194591030021302, 0.16444957131628044]","[0.08794533 0.099044   0.10823812 0.11618859 0.12325083 0.12964082
 0.13550084 0.14093024 0.14600145 0.15076912 0.15527562 0.15955456
 0.1636331  0.16753352 0.1712744 ]",$f_n e^{\phi_{n}}$,mean (short)
Trace,4.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.03850950420140159, 0.04930534321710089, 0.0538376458899535, 0.057554876539783396, 0.06309450166555135, 0.06431967015819127, 0.06596118327141623, 0.06894542446926653, 0.07022410667631139, 0.07182084936670986, 0.07411441746245744, 0.07548560029625434, 0.07606418726676409, 0.07740014348089118, 0.07788488779024215]","[0.04289319 0.04808414 0.05236711 0.05605933 0.05933082 0.06228463
 0.06498848 0.0674896  0.06982233 0.07201257 0.07408036 0.07604158
 0.07790905 0.07969327 0.081403  ]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,4.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.05162685796829791, 0.06424175191162049, 0.06769527235342049, 0.07043041431439297, 0.07418449736298903, 0.07574894597909325, 0.07660088448999053, 0.07915221806013718, 0.08051273729892162, 0.08136319330801473, 0.08321612933298524, 0.08422136473346506, 0.08479582629614796, 0.08633311770077204, 0.0864193546837597]","[0.05705872 0.06177285 0.06554625 0.06872409 0.07148678 0.07394148
 0.07615749 0.07818241 0.08005046 0.08178713 0.08341198 0.08494034
 0.08638451 0.08775446 0.08905846]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,4.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.038291703562921525, 0.04479819691959414, 0.05024170110891266, 0.05453511401024724, 0.058846744552241766, 0.06156759003704617, 0.06382791070209803, 0.06771160147545138, 0.07062658674221438, 0.07379227552564259, 0.07782236711694036, 0.08048434598982472, 0.08281407061898974, 0.08465583036261787, 0.08586359369261493]","[0.03862764 0.04461332 0.04968164 0.054139   0.0581532  0.06182768
 0.06523141 0.06841305 0.0714084  0.07424467 0.07694315 0.07952079
 0.08199141 0.08436639 0.08665528]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,4.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.05200403917139194, 0.061333977592456665, 0.06689684009419271, 0.07328118742412994, 0.08058011540485338, 0.08410913446489716, 0.08701559851596917, 0.08989138582799651, 0.09176933232284035, 0.0932004372766117, 0.09441639331372052, 0.09496453918980108, 0.09531549792639069, 0.09540719052086838, 0.09518146007209864]","[0.05602975 0.062414   0.06765263 0.07214957 0.07612035 0.07969511
 0.08295913 0.0859717  0.08877588 0.09140404 0.0938812  0.09622715
 0.09845785 0.10058634 0.10262348]",$f_n e^{\phi_{n}}$,mean (short)
Trace,5.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.046909056467441944, 0.05822620664802335, 0.06420620957036721, 0.06955532490192959, 0.07415022636730387, 0.07507899700176633, 0.07678099811924201, 0.0789523516316168, 0.07901772301201647, 0.08045858732985564, 0.08201367239152481, 0.08172805096106171, 0.08270663285677736, 0.08394421148364008, 0.08357951072221105]","[0.05319963 0.0582648  0.06236019 0.06583604 0.06887693 0.07159324
 0.07405674 0.07631697 0.07840968 0.08036161 0.08219333 0.08392104
 0.08555773 0.087114   0.08859865]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,5.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.06477048301973239, 0.0744796291373682, 0.07859816648562029, 0.08006835861031872, 0.08294183490820756, 0.08231086174959636, 0.08368663392439714, 0.08580743407668696, 0.08532216499033247, 0.08655987003521125, 0.0879579865460622, 0.08760503988561176, 0.08864237306203324, 0.08990855477456515, 0.08982910340156276]","[0.06975934 0.07322178 0.07591957 0.07814491 0.08004713 0.08171337
 0.08319917 0.08454217 0.08576915 0.08689987 0.08794933 0.08892923
 0.08984885 0.09071569 0.09153591]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,5.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.047143045614098315, 0.052890891621557405, 0.0584055578345096, 0.06497206163869994, 0.06847578659673631, 0.07117142004582631, 0.0754864506988152, 0.07711510533617555, 0.07896607834223733, 0.0816127074994335, 0.08243556562790945, 0.08406325357160417, 0.0865023677970943, 0.08799404955484488, 0.0894698819926464]","[0.0483454  0.05416076 0.0589562  0.06308839 0.06674841 0.07005202
 0.0730753  0.07587124 0.07847841 0.08092588 0.08323612 0.08542696
 0.08751277 0.08950533 0.09141446]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,5.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33],"[0.06325222202515109, 0.0724333671804103, 0.07939440164170543, 0.08622063788872726, 0.09134996671905839, 0.09490077471915206, 0.09806929646251684, 0.1001028742284445, 0.1019687211223891, 0.10389128140439592, 0.10503565703712749, 0.10617515416907058, 0.1073214890779442, 0.10799935424649237, 0.10883409520882283]","[0.06719936 0.07381917 0.07918557 0.08374934 0.08774857 0.09132588
 0.09457414 0.09755751 0.10032238 0.10290346 0.10532748 0.10761548
 0.10978438 0.111848   0.11381777]",$f_n e^{\phi_{n}}$,mean (short)
