div_then_fold,div_and_fold,fold_then_div,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation
,,0.23397408602770087,0.42786736850390616,,0.7733159110414323,0.14444444444444438,-1.6463859360638076,-1.7254247092622998,0.2964803542853245,1,0
,0.09617748785334074,0.20005527035028248,0.23393079188356536,-0.06066015840047728,0.4087970485237964,0.24444444444444446,-1.1739647919189409,-1.6175224276350688,-0.11565796657895722,1,1
0.05005598396312849,0.15159702918612816,0.15788339003859142,0.21603107181921188,0.025989561796606275,0.8659836129503748,0.24444444444444446,-0.6711670909327019,-0.6575381622222514,-0.13803261665939903,1,2
-0.012083419872832124,0.016308880259220004,-0.11822316136589872,-0.014116594054604636,0.01606083570591632,-0.08217484461711999,-0.05555555555555558,-0.18913309096816056,-1.1236626198252049,-0.04439125054735982,1,3
-0.03669278118729791,0.00033152780193668185,-0.14415129347896272,-0.022918725822333008,-0.0061227508302251765,-0.3820316831823991,-0.15555555555555567,-0.5747239230987482,-1.8091102905210716,0.18782071900285935,1,4
0.4109519509800754,0.22407057916148193,0.428650273925562,0.41559200880592106,-0.017135550334831273,1.7228896322593408,0.3444444444444439,-0.9958269941799998,-0.12529204616058376,-0.018879112203734838,1,5
-0.1527023494378238,-0.027323723530994326,-0.20374561528291102,-0.09672173454924271,0.021446310167491878,-0.3578414399651568,-0.25555555555555576,0.14285161017867898,-1.0673445140264022,0.3581710783892871,1,6
0.06271577298764863,0.044294025957836436,0.11440078183429381,0.07043903676791619,-0.016022600068243076,0.08684598415263256,-0.05555555555555558,-0.6016459826594396,-1.3671546827467314,0.12472001109768183,1,7
-0.17973419298935378,-0.02533480903693211,-0.18266033279040716,-0.1332095451165391,0.07916299792715753,-0.7460162914963124,-0.1555555555555561,-0.23935852221234288,-1.8377294979485796,-0.08790632923265473,1,8
0.23714223581678584,0.09810960725495654,0.0956916577371778,0.13105152743170945,0.017731195158761426,0.2107275759272218,0.1444444444444446,-0.8369550675552029,-1.4785821758679054,-0.12754227581781408,1,9
-0.17961691624915377,-0.07898574728662403,-0.16673050788687782,-0.19549706369012493,0.03302222075558592,-1.1691821612489939,-0.15555555555555522,-0.5549530066911066,-2.576489852180025,-0.24362512566662142,1,10
0.4618333186202963,0.28052153245216105,0.41280201473787526,0.3814472600624559,0.06505584359697991,1.4214759020181593,0.3444444444444448,-1.0479345295974007,-0.47881331181916575,-0.05681772191869716,1,11
