lineage_ID,dataset,variable,slope,intercept,std_err,kind
0.0,Trace,$\phi$,-3.202320688970147,2.3650783989308386,0.7629155334683846,ebp
0.0,Trace,$\phi$,-3.1864615993893497,-0.27143428089641475,0.773618669614551,cv
0.0,Artificial,$\phi$,-0.9179745000353416,-0.26750161577618137,0.3534460091735705,ebp
0.0,Artificial,$\phi$,-0.8661991953454676,-3.9395925495147233,0.35750756310191817,cv
0.0,White Noise,$\phi$,-2.2307967022510593,1.6507231207780682,0.6418527524079459,ebp
0.0,White Noise,$\phi$,-1.952668236232198,2.885592799273501,0.5727432480961315,cv
1.0,Trace,$\phi$,-1.1652458098571905,-0.4427503893124731,0.7503949067505399,ebp
1.0,Trace,$\phi$,-1.1920084292371103,-3.5132186487757155,0.7667554480011001,cv
1.0,Artificial,$\phi$,-2.053527541460045,1.176337927680902,0.6426775862027742,ebp
1.0,Artificial,$\phi$,-1.965971743186516,-2.144543853449248,0.6043785559613377,cv
1.0,White Noise,$\phi$,-0.5269787334528414,-0.24424425990219975,0.2851344095351001,ebp
1.0,White Noise,$\phi$,-1.2241289609026953,2.7485547470329856,0.6899198959011575,cv
2.0,Trace,$\phi$,-1.4290606405742932,-0.2816191769340919,0.5311053896669182,ebp
2.0,Trace,$\phi$,-1.441640296776879,-3.7970384820504,0.5288957069375885,cv
2.0,Artificial,$\phi$,-2.4824530352359626,1.560605835150754,0.3166503958653901,ebp
2.0,Artificial,$\phi$,-2.4251034993390697,-1.3945604689519977,0.30618767280567266,cv
2.0,White Noise,$\phi$,-1.895769385178074,0.8799985176915041,0.4248870011664663,ebp
2.0,White Noise,$\phi$,-2.0375562639315965,3.6490513158417226,0.4131249941584316,cv
3.0,Trace,$\phi$,-4.024007852903411,4.111448133643353,1.5721245531407968,ebp
3.0,Trace,$\phi$,-4.0029237512411635,1.107932107749467,1.6050893978978664,cv
3.0,Artificial,$\phi$,-1.8937099373821047,1.3105744476417729,0.7411932045679781,ebp
3.0,Artificial,$\phi$,-1.8291965651156696,-1.6816249083302726,0.7382251013520023,cv
3.0,White Noise,$\phi$,-1.052995287570757,-0.19050032866037506,0.3521251804902715,ebp
3.0,White Noise,$\phi$,-0.8134467414417772,1.5885479656076853,0.4691320802763061,cv
4.0,Trace,$\phi$,-1.225365595959,-0.8285221775649823,0.3826006210290406,ebp
4.0,Trace,$\phi$,-1.181651900561273,-4.0129680354903945,0.3681661740541839,cv
4.0,Artificial,$\phi$,-2.1727123471748637,1.4716994184253855,0.2913801674519381,ebp
4.0,Artificial,$\phi$,-2.3457611804509053,-1.7864084938334424,0.3432389139351208,cv
4.0,White Noise,$\phi$,-0.6850828420964649,-0.9831729984621832,0.2271668376120075,ebp
4.0,White Noise,$\phi$,-0.8502057938842691,-0.2335954864379661,0.2863432851985289,cv
5.0,Trace,$\phi$,-1.4453725652630482,0.16740553030720484,0.08796725141282476,ebp
5.0,Trace,$\phi$,-1.4231088386593458,-2.547814312670142,0.08690704772901245,cv
5.0,Artificial,$\phi$,-2.3113996087153863,2.8118604309392854,0.1504242326496285,ebp
5.0,Artificial,$\phi$,-2.2912024907821777,-0.09558800462088612,0.1505110686291474,cv
5.0,White Noise,$\phi$,-0.922165041179638,-0.11798698415202358,0.07203048708688377,ebp
5.0,White Noise,$\phi$,-0.8526489035023893,2.476517626639967,0.08533575421575926,cv
6.0,Trace,$\phi$,-1.5922369423896732,-0.10120083732914907,0.18875318088107965,ebp
6.0,Trace,$\phi$,-1.5628334317720656,-3.0883455304611744,0.18850060713918698,cv
6.0,Artificial,$\phi$,-1.6840815600517385,1.0322277239325643,0.2179907190177888,ebp
6.0,Artificial,$\phi$,-1.6530892793550518,-2.0659830067398484,0.21419691718510248,cv
6.0,White Noise,$\phi$,-1.4226073574897615,0.29708842723961393,0.21076701855678548,ebp
6.0,White Noise,$\phi$,-1.160089913496502,2.382216189828912,0.2419778681171254,cv
7.0,Trace,$\phi$,-1.7020699124552319,0.7070207555777429,0.8751366603532605,ebp
7.0,Trace,$\phi$,-2.2427765133591833,-0.00883730997396137,1.469992107978218,cv
7.0,Artificial,$\phi$,-4.050030950958731,3.9366616882337584,1.072550287057136,ebp
7.0,Artificial,$\phi$,-4.018770831198572,1.0723983416624412,1.042201125032082,cv
7.0,White Noise,$\phi$,-3.4501269787821762,2.49226568004363,2.0807404592613565,ebp
7.0,White Noise,$\phi$,-3.742273739331875,4.522303431099451,2.4509270228359954,cv
8.0,Trace,$\phi$,-1.2022523408523345,-1.0715889089767967,0.20275522935305546,ebp
8.0,Trace,$\phi$,-1.1411873629457654,-3.344375460231412,0.20559621340549689,cv
