lineage_ID,dataset,variable,ws,length,num_of_ind_means,ebp,cv_means,var_means
0.0,Trace,fold_growth,3,36,12,0.1705205063842469,0.01238544840013461,0.007290945447524
0.0,Trace,fold_growth,4,36,9,0.06899808055575464,0.005011550719336697,0.0029501509934663646
0.0,Trace,fold_growth,5,35,7,0.12631644332034708,0.009438516504687884,0.005537585051594377
0.0,Trace,fold_growth,6,36,6,0.07733027973847453,0.005616744928675231,0.0033064108415471753
0.0,Trace,fold_growth,7,35,5,0.06327574311992079,0.004728039597102572,0.0027739445476688595
0.0,Trace,fold_growth,8,32,4,0.00791467995464799,0.0005912802499788277,0.0003531800168380769
0.0,Trace,fold_growth,9,36,4,0.006960993908119554,0.0005055991956087159,0.00029763122289985875
0.0,Trace,fold_growth,10,30,3,0.015338967613928176,0.0011786497916321703,0.0007132954615560582
0.0,Trace,fold_growth,11,33,3,0.0011977322927335288,8.680606698464341e-05,5.206804385747883e-05
0.0,Artificial,fold_growth,3,36,12,0.42472264229860524,0.011636037151064952,0.00829992794184107
0.0,Artificial,fold_growth,4,36,9,0.25182025328033114,0.006899066663134056,0.004921070242950357
0.0,Artificial,fold_growth,5,35,7,0.09760180237140129,0.002670007837780511,0.0019143212617127841
0.0,Artificial,fold_growth,6,36,6,0.16494042559398495,0.004518838245912785,0.0032232650459077463
0.0,Artificial,fold_growth,7,35,5,0.07981850750458329,0.0021835256671410203,0.0015655270935752447
0.0,Artificial,fold_growth,8,32,4,0.08115141365099084,0.0023487399987909665,0.0016841190870649715
0.0,Artificial,fold_growth,9,36,4,0.10341818182664428,0.002833326236900684,0.0020209976383455544
0.0,Artificial,fold_growth,10,30,3,0.09420554056789257,0.002868461327463094,0.0020459011377349135
0.0,Artificial,fold_growth,11,33,3,0.16483385032906067,0.004699737769504144,0.0033869602335311814
0.0,White Noise,fold_growth,3,36,12,0.1991986594458949,0.957663133350389,0.11373677493449053
0.0,White Noise,fold_growth,4,36,9,0.22633240589904988,1.0881107413822153,0.1292293732383975
0.0,White Noise,fold_growth,5,35,7,0.21696116106699787,1.4504249225641395,0.11542548947887446
0.0,White Noise,fold_growth,6,36,6,0.1361138485710881,0.6543779716066507,0.07771714028327624
0.0,White Noise,fold_growth,7,35,5,0.15982358631729932,1.0684498168619596,0.08502773302935425
0.0,White Noise,fold_growth,8,32,4,0.08943987767289382,0.41894876879438947,0.04433500211754352
0.0,White Noise,fold_growth,9,36,4,0.06901508996213522,0.3317954422256001,0.03940565551968003
0.0,White Noise,fold_growth,10,30,3,0.00847994289375601,0.07160879136854768,0.004164682299306727
0.0,White Noise,fold_growth,11,33,3,0.013187928363527727,0.10048194913143396,0.00691655203945742
1.0,Trace,fold_growth,3,30,10,0.24181830407940524,0.010937291397171414,0.006954977732243098
1.0,Trace,fold_growth,4,28,7,0.10334722425988983,0.004531933434141244,0.002883072569371112
1.0,Trace,fold_growth,5,30,6,0.11371698550603868,0.0051433484823343,0.003270633730491322
1.0,Trace,fold_growth,6,30,5,0.09654035884136093,0.004366460348215568,0.0027766138240054214
1.0,Trace,fold_growth,7,28,4,0.0187147485265957,0.0008206702711815531,0.0005220844440294015
1.0,Trace,fold_growth,8,24,3,0.054176574700271325,0.0022439964759966486,0.001401410304083784
1.0,Trace,fold_growth,9,27,3,0.12077505179238597,0.00548764405556,0.0034798054262265327
1.0,Artificial,fold_growth,3,30,10,0.2785528551362137,0.011144034157576452,0.0071477774746989495
1.0,Artificial,fold_growth,4,28,7,0.14347701471788088,0.00610096439274836,0.003920804398038385
1.0,Artificial,fold_growth,5,30,6,0.2292118863431469,0.009170055318519263,0.005881668516144407
1.0,Artificial,fold_growth,6,30,5,0.14236791069474128,0.005695697712195984,0.003653217428649962
1.0,Artificial,fold_growth,7,28,4,0.04583300058031474,0.0019489219587063705,0.0012524809677978226
1.0,Artificial,fold_growth,8,24,3,0.018451999638465128,0.0008435883384221642,0.0005365338273373261
1.0,Artificial,fold_growth,9,27,3,0.054278201616989756,0.0023749238169205205,0.001531309135545932
1.0,White Noise,fold_growth,3,30,10,0.45206978364195133,4.234732866894453,0.5605678591519961
1.0,White Noise,fold_growth,4,28,7,0.34063853390418786,1.6789668443176597,0.39607599793009424
1.0,White Noise,fold_growth,5,30,6,0.3645687964958381,3.4150733374116493,0.4520663781571242
1.0,White Noise,fold_growth,6,30,5,0.33476209002587,3.1358610473856,0.41510597461138393
1.0,White Noise,fold_growth,7,28,4,0.3067114050781219,1.5117440590121063,0.3566273740393322
1.0,White Noise,fold_growth,8,24,3,0.15925508698522803,0.4224265962473941,0.16494128120022628
1.0,White Noise,fold_growth,9,27,3,0.3337365139984068,1.7043280886877372,0.40242252657457495
2.0,Trace,fold_growth,3,45,15,0.27270957342457913,0.008077317943591528,0.005204666655545944
2.0,Trace,fold_growth,4,44,11,0.07417009790392842,0.002225431610281112,0.001437803543124009
2.0,Trace,fold_growth,5,45,9,0.0844768060485872,0.0025020977912323453,0.0016122412208961203
2.0,Trace,fold_growth,6,42,7,0.06791948824832506,0.0018742914898108914,0.0012136213080437418
2.0,Trace,fold_growth,7,42,6,0.07422337033321225,0.0020482520547267613,0.0013262624044201264
2.0,Trace,fold_growth,8,40,5,0.014600624943085129,0.000415949497934181,0.0002680398011210318
2.0,Trace,fold_growth,9,45,5,0.03677889737844583,0.0010893451374291096,0.0007019258561756471
2.0,Trace,fold_growth,10,40,4,0.0050241436611789545,0.00014313017706864053,9.22337552670089e-05
2.0,Trace,fold_growth,11,44,4,0.047309415023248896,0.00141949209495475,0.0009171033403738941
