distance,correlations,dataset,old_var,young_var
3.0,-0.040389656208718774,physical units,fold_growth,division_ratio
3.0,0.0028917422044160077,physical units,fold_growth,added_length
3.0,-0.007885637715332404,physical units,fold_growth,generationtime
3.0,0.06552793253011935,physical units,fold_growth,length_birth
3.0,0.0377929110055364,physical units,fold_growth,length_final
3.0,-0.020626404813484593,physical units,fold_growth,growth_rate
3.0,-0.1128928554777276,physical units,division_ratio,fold_growth
3.0,0.0920707648529799,physical units,division_ratio,division_ratio
3.0,-0.05258517411174033,physical units,division_ratio,added_length
3.0,-0.0776979106984099,physical units,division_ratio,generationtime
3.0,0.09824960536407813,physical units,division_ratio,length_birth
3.0,0.010296329203125664,physical units,division_ratio,length_final
3.0,-0.031034400498932656,physical units,division_ratio,growth_rate
3.0,-0.0687848592965886,physical units,added_length,fold_growth
3.0,-0.01892089550636194,physical units,added_length,division_ratio
3.0,0.08777831298695109,physical units,added_length,added_length
3.0,0.013061767593226355,physical units,added_length,generationtime
3.0,0.26527088932654563,physical units,added_length,length_birth
3.0,0.2149630209637086,physical units,added_length,length_final
3.0,-0.10510956578347085,physical units,added_length,growth_rate
3.0,0.008022248602165381,physical units,generationtime,fold_growth
3.0,-0.0806050721818684,physical units,generationtime,division_ratio
3.0,0.06421457005993218,physical units,generationtime,added_length
3.0,0.2116755585691704,physical units,generationtime,generationtime
3.0,0.09610967463806705,physical units,generationtime,length_birth
3.0,0.1042859043587132,physical units,generationtime,length_final
3.0,-0.2978690050370164,physical units,generationtime,growth_rate
3.0,-0.06297466426786284,physical units,length_birth,fold_growth
3.0,0.031029749292727775,physical units,length_birth,division_ratio
3.0,0.12535942011788648,physical units,length_birth,added_length
3.0,0.02728242198013791,physical units,length_birth,generationtime
3.0,0.31287111841610493,physical units,length_birth,length_birth
3.0,0.2713191811884333,physical units,length_birth,length_final
3.0,-0.13592574112038547,physical units,length_birth,growth_rate
3.0,-0.0898399393885081,physical units,length_final,fold_growth
3.0,0.0014995847184546534,physical units,length_final,division_ratio
3.0,0.1390397564985365,physical units,length_final,added_length
3.0,0.02536721076155199,physical units,length_final,generationtime
3.0,0.3844219467993071,physical units,length_final,length_birth
3.0,0.32115780341122957,physical units,length_final,length_final
3.0,-0.15880241871285036,physical units,length_final,growth_rate
3.0,-0.049579698841297246,physical units,growth_rate,fold_growth
3.0,0.07192385956671155,physical units,growth_rate,division_ratio
3.0,-0.09708430573210935,physical units,growth_rate,added_length
3.0,-0.32268134419028527,physical units,growth_rate,generationtime
3.0,-0.06969029075625086,physical units,growth_rate,length_birth
3.0,-0.11677458787852703,physical units,growth_rate,length_final
3.0,0.42788242950764677,physical units,growth_rate,growth_rate
4.0,0.020513722986738273,physical units,fold_growth,fold_growth
4.0,-0.04421020932853458,physical units,fold_growth,division_ratio
4.0,0.034309593353369354,physical units,fold_growth,added_length
