variable_a,variable_b,AB_parameter_pair,covariance,correlation,kind,cov difference between data and modeldataset,generation,corr difference between data and model,cov difference between data and model,dataset
fold_growth,division_ratio,"$\overline{\phi}$, $\overline{f}$",-0.00010665898087279696,-0.02015125674839466,time_averages,,4,-3.7947076036992655e-19,-1.9058241313221758e-21,SP
fold_growth,division_ratio,"$\phi$, $f$",-1.0824229958787083e-06,-0.00020450395758358044,model,,4,-3.7947076036992655e-19,-1.9058241313221758e-21,SP
fold_growth,division_ratio,"$\phi$, $f$",0.00039203114818611083,0.07406708985798235,physical_units,,5,-1.3877787807814457e-17,-5.421010862427522e-20,SP
fold_growth,division_ratio,"$\delta \phi$, $\delta f$",0.0004986901290589078,0.094218346606377,trace_centered,,5,-1.3877787807814457e-17,-5.421010862427522e-20,SP
fold_growth,division_ratio,"$\overline{\phi}$, $\overline{f}$",-0.00010665898087279696,-0.02015125674839466,time_averages,,5,-1.3877787807814457e-17,-5.421010862427522e-20,SP
fold_growth,division_ratio,"$\phi$, $f$",0.0003920311481861108,0.07406708985798234,model,,5,-1.3877787807814457e-17,-5.421010862427522e-20,SP
fold_growth,added_length,"$\phi$, $\Delta$",0.022332786301826283,0.18581716720694208,physical_units,,0,0.0,0.0,SP
fold_growth,added_length,"$\delta \phi$, $\delta \Delta$",0.02140985043590391,0.17813799427251262,trace_centered,,0,0.0,0.0,SP
fold_growth,added_length,"$\overline{\phi}$, $\overline{\Delta}$",0.0009229358659223703,0.007679172934429441,time_averages,,0,0.0,0.0,SP
fold_growth,added_length,"$\phi$, $\Delta$",0.022332786301826283,0.18581716720694208,model,,0,0.0,0.0,SP
fold_growth,added_length,"$\phi$, $\Delta$",0.011033736897984004,0.09180483377134353,physical_units,,1,0.0,0.0,SP
fold_growth,added_length,"$\delta \phi$, $\delta \Delta$",0.010110801032061634,0.0841256608369141,trace_centered,,1,0.0,0.0,SP
fold_growth,added_length,"$\overline{\phi}$, $\overline{\Delta}$",0.0009229358659223703,0.007679172934429441,time_averages,,1,0.0,0.0,SP
fold_growth,added_length,"$\phi$, $\Delta$",0.011033736897984004,0.09180483377134353,model,,1,0.0,0.0,SP
fold_growth,added_length,"$\phi$, $\Delta$",0.006319696481438016,0.052582247549311,physical_units,,2,0.0,0.0,SP
fold_growth,added_length,"$\delta \phi$, $\delta \Delta$",0.005396760615515646,0.04490307461488156,trace_centered,,2,0.0,0.0,SP
fold_growth,added_length,"$\overline{\phi}$, $\overline{\Delta}$",0.0009229358659223703,0.007679172934429441,time_averages,,2,0.0,0.0,SP
fold_growth,added_length,"$\phi$, $\Delta$",0.006319696481438016,0.052582247549311,model,,2,0.0,0.0,SP
