value,variable,trap_ID,dataset
0.0037241966939475027,fold_growth,130,CTRL
0.003969090143923444,fold_growth,130,CTRL
0.009778540293531826,fold_growth,131,CTRL
0.008945971444804302,fold_growth,131,CTRL
0.03666280722651999,fold_growth,132,CTRL
0.02950158703813599,fold_growth,132,CTRL
0.1891957592399725,fold_growth,133,CTRL
0.3685403540669052,fold_growth,133,CTRL
0.25013262236796685,fold_growth,134,CTRL
0.5582044958187169,fold_growth,134,CTRL
1.9833023186581706,fold_growth,135,CTRL
0.5383397265978431,fold_growth,135,CTRL
0.018636550635696955,fold_growth,136,CTRL
0.021968747008141082,fold_growth,136,CTRL
1.4409589009973514,fold_growth,137,CTRL
0.45109380191727727,fold_growth,137,CTRL
0.12296154276407303,fold_growth,138,CTRL
0.13736409603874825,fold_growth,138,CTRL
0.03588204588676039,fold_growth,139,CTRL
0.04290475257450088,fold_growth,139,CTRL
0.0876107103324393,fold_growth,140,CTRL
0.06896471733014481,fold_growth,140,CTRL
0.1230391078322306,fold_growth,141,CTRL
0.1800159994007341,fold_growth,141,CTRL
0.004057245863399374,fold_growth,142,CTRL
0.0037473649659154618,fold_growth,142,CTRL
0.07231793771798359,fold_growth,143,CTRL
0.05399740285110122,fold_growth,143,CTRL
0.037234710227287,fold_growth,144,CTRL
0.04776730021411213,fold_growth,144,CTRL
0.04184919459056782,fold_growth,145,CTRL
0.033265237150429255,fold_growth,145,CTRL
0.031748389011064915,fold_growth,146,CTRL
0.02536809281660793,fold_growth,146,CTRL
0.21170579099837372,fold_growth,147,CTRL
0.12431830556148848,fold_growth,147,CTRL
0.1334760468896543,fold_growth,148,CTRL
0.23215314950987276,fold_growth,148,CTRL
1.288116346056542,fold_growth,149,CTRL
0.4228695502878991,fold_growth,149,CTRL
0.002056536391884238,fold_growth,150,CTRL
0.0019376578163394984,fold_growth,150,CTRL
0.4631047104914586,fold_growth,151,CTRL
0.22008436493407402,fold_growth,151,CTRL
0.15111879115870586,fold_growth,152,CTRL
0.27449095310279725,fold_growth,152,CTRL
0.10364542361887415,fold_growth,153,CTRL
0.09545747747805328,fold_growth,153,CTRL
0.037965262771245484,fold_growth,154,CTRL
0.03380744342526895,fold_growth,154,CTRL
0.16426673857760632,fold_growth,155,CTRL
0.2914533822542602,fold_growth,155,CTRL
0.25388121008227954,fold_growth,156,CTRL
0.14798180764424046,fold_growth,156,CTRL
0.00015015936314204115,fold_growth,157,CTRL
0.0001525495490502793,fold_growth,157,CTRL
0.003154801695243299,fold_growth,158,CTRL
0.0034045293395735185,fold_growth,158,CTRL
0.43385075859859723,fold_growth,159,CTRL
1.3024929690660063,fold_growth,159,CTRL
0.13052876328811577,fold_growth,160,CTRL
0.20134885866850138,fold_growth,160,CTRL
0.2311836465668703,fold_growth,161,CTRL
0.39504605760451894,fold_growth,161,CTRL
0.3683443661074588,fold_growth,162,CTRL
0.18738953834767968,fold_growth,162,CTRL
0.007042894185549889,fold_growth,163,CTRL
0.006325912391762195,fold_growth,163,CTRL
0.02193486384762791,fold_growth,164,CTRL
0.026496453488402946,fold_growth,164,CTRL
0.35672507392411956,fold_growth,165,CTRL
0.9676798537011055,fold_growth,165,CTRL
0.11105732080601277,fold_growth,166,CTRL
0.08463380032483955,fold_growth,166,CTRL
0.24981937756614697,fold_growth,167,CTRL
0.1439333135207438,fold_growth,167,CTRL
0.10981215271257927,fold_growth,168,CTRL
0.07376975516130396,fold_growth,168,CTRL
0.055162521020168165,fold_growth,169,CTRL
0.07446413263798493,fold_growth,169,CTRL
1.0463528764103593,fold_growth,170,CTRL
0.37375844366596167,fold_growth,170,CTRL
0.2716562178079516,fold_growth,171,CTRL
0.492480517422891,fold_growth,171,CTRL
0.1233584160070656,fold_growth,172,CTRL
0.0822895121332673,fold_growth,172,CTRL
0.023244160515207973,fold_growth,173,CTRL
0.019181763380614836,fold_growth,173,CTRL
0.025173109144730088,fold_growth,174,CTRL
0.0282390602918621,fold_growth,174,CTRL
0.11860120718148368,fold_growth,175,CTRL
0.08020138849283637,fold_growth,175,CTRL
0.15188868988554555,fold_growth,176,CTRL
0.0959362123389117,fold_growth,176,CTRL
0.01788011660473146,fold_growth,177,CTRL
0.021548220247341626,fold_growth,177,CTRL
0.06669593801290082,fold_growth,178,CTRL
0.08026922482556988,fold_growth,178,CTRL
0.8701532544237796,fold_growth,179,CTRL
5.391757783142073,fold_growth,179,CTRL
0.21062016190539534,fold_growth,180,CTRL
0.12554626155033766,fold_growth,180,CTRL
0.021753652105511785,fold_growth,181,CTRL
0.022437563609665083,fold_growth,181,CTRL
0.3267736046233398,fold_growth,182,CTRL
0.5297329461538347,fold_growth,182,CTRL
0.04574076514875616,fold_growth,183,CTRL
0.037278809203644556,fold_growth,183,CTRL
0.7691137474541714,fold_growth,184,CTRL
0.3161969721862784,fold_growth,184,CTRL
0.15621553267166965,fold_growth,185,CTRL
0.28347016506074896,fold_growth,185,CTRL
7.662606386317642,fold_growth,186,CTRL
1.0057108262494725,fold_growth,186,CTRL
0.00886086473702849,fold_growth,187,CTRL
0.009995810226049992,fold_growth,187,CTRL
0.4036495595864329,fold_growth,188,CTRL
1.0828360813539963,fold_growth,188,CTRL
1.216214818103721,fold_growth,189,CTRL
0.4089910866349709,fold_growth,189,CTRL
0.2167347199639506,fold_growth,190,CTRL
0.1266972590476631,fold_growth,190,CTRL
1.6085810048216909,fold_growth,191,CTRL
0.4799560717456977,fold_growth,191,CTRL
0.0585419745336524,fold_growth,192,CTRL
0.07229618997249572,fold_growth,192,CTRL
0.1033760483581683,fold_growth,193,CTRL
0.0941620234628501,fold_growth,193,CTRL
0.03361459312990825,fold_growth,194,CTRL
0.026696632249417096,fold_growth,194,CTRL
0.06346148100669982,fold_growth,195,CTRL
0.08861009884952445,fold_growth,195,CTRL
0.05813801696681353,fold_growth,196,CTRL
0.08247298018967836,fold_growth,196,CTRL
0.264211339922505,fold_growth,197,CTRL
0.14698542655059044,fold_growth,197,CTRL
2.7723055975005595,fold_growth,198,CTRL
0.6395893685535765,fold_growth,198,CTRL
0.13202076321671552,fold_growth,199,CTRL
0.08639839488096251,fold_growth,199,CTRL
0.47652410458254046,fold_growth,200,CTRL
1.586723480616122,fold_growth,200,CTRL
0.18996971014764205,fold_growth,201,CTRL
0.13309241395357446,fold_growth,201,CTRL
0.2676659317084171,fold_growth,202,CTRL
0.6177156532980117,fold_growth,202,CTRL
0.035262231589009124,fold_growth,203,CTRL
0.028289566340699235,fold_growth,203,CTRL
0.008713984236587924,fold_growth,204,CTRL
0.008519184929763212,fold_growth,204,CTRL
0.012094902246001918,fold_growth,205,CTRL
0.014083828134058465,fold_growth,205,CTRL
1.4432558816871834,fold_growth,206,CTRL
0.45528825353452795,fold_growth,206,CTRL
0.2470558027110692,fold_growth,207,CTRL
0.14387136870032569,fold_growth,207,CTRL
0.13239328845193604,fold_growth,208,CTRL
0.08612904289652684,fold_growth,208,CTRL
0.19235385465663674,fold_growth,209,CTRL
0.11533354221241665,fold_growth,209,CTRL
0.03265275806180726,fold_growth,210,CTRL
