value,variable,trap_ID,trace,kind
0.0006148146280587907,fold_growth,0,A,Trace
0.0006356558083276953,fold_growth,0,A,Trace
0.36218828522975266,fold_growth,0,B,Trace
0.18506108643472663,fold_growth,0,B,Trace
0.18017513296350274,fold_growth,1,A,Trace
0.10960801444317969,fold_growth,1,A,Trace
0.019075846364722926,fold_growth,1,B,Trace
0.016116111584095094,fold_growth,1,B,Trace
0.19566035883020305,fold_growth,2,A,Trace
0.11717889279521343,fold_growth,2,A,Trace
0.053940220038225295,fold_growth,2,B,Trace
0.040457036762516,fold_growth,2,B,Trace
0.27478518717125044,fold_growth,3,A,Trace
0.15175901285942284,fold_growth,3,A,Trace
0.10460777701950186,fold_growth,3,B,Trace
0.07089997171373796,fold_growth,3,B,Trace
0.11708772462363837,fold_growth,4,A,Trace
0.1863075753780995,fold_growth,4,A,Trace
0.2586899615520388,fold_growth,4,B,Trace
0.15551196641553822,fold_growth,4,B,Trace
0.003538532015914586,fold_growth,5,A,Trace
0.003827734985072051,fold_growth,5,A,Trace
0.09443676311199012,fold_growth,5,B,Trace
0.1408481264687892,fold_growth,5,B,Trace
0.3206467972660786,fold_growth,6,A,Trace
0.1694551888572311,fold_growth,6,A,Trace
0.032212180038465044,fold_growth,6,B,Trace
0.029265545568636808,fold_growth,6,B,Trace
0.13770507730541137,fold_growth,7,A,Trace
0.08858835533462517,fold_growth,7,A,Trace
0.42436355272941384,fold_growth,7,B,Trace
0.20810074622813635,fold_growth,7,B,Trace
0.010488506262953834,fold_growth,8,A,Trace
0.011286159387641992,fold_growth,8,A,Trace
1.2284039508957534,fold_growth,8,B,Trace
0.41143501177971786,fold_growth,8,B,Trace
0.07057912139679856,fold_growth,9,A,Trace
0.05124282870457986,fold_growth,9,A,Trace
0.02691945683150776,fold_growth,9,B,Trace
0.022203265130941507,fold_growth,9,B,Trace
0.029734115731142596,fold_growth,10,A,Trace
0.023921876009124987,fold_growth,10,A,Trace
0.05279220148229857,fold_growth,10,B,Trace
0.03970974108106795,fold_growth,10,B,Trace
0.22188019551349725,fold_growth,11,A,Trace
0.12872778920687544,fold_growth,11,A,Trace
0.08340075323995066,fold_growth,11,B,Trace
0.06193344769819631,fold_growth,11,B,Trace
0.004937272153601846,fold_growth,12,A,Trace
0.005434367248780325,fold_growth,12,A,Trace
0.011082395096432718,fold_growth,12,B,Trace
0.012817085255220628,fold_growth,12,B,Trace
0.043437461392999754,fold_growth,13,A,Trace
0.05853466587322853,fold_growth,13,A,Trace
0.11292132445161451,fold_growth,13,B,Trace
0.07542857093585398,fold_growth,13,B,Trace
0.9387543898305408,fold_growth,14,A,Trace
0.3526840157535306,fold_growth,14,A,Trace
0.07780095088277639,fold_growth,14,B,Trace
0.055342733687309464,fold_growth,14,B,Trace
0.18515869971049903,fold_growth,15,A,Trace
0.1119760581132252,fold_growth,15,A,Trace
0.005248293134586746,fold_growth,15,B,Trace
0.004948828290953666,fold_growth,15,B,Trace
0.027786635096357593,fold_growth,16,A,Trace
0.033462324399822996,fold_growth,16,A,Trace
0.22788429815043054,fold_growth,16,B,Trace
