variable_a,variable_b,AB_parameter_pair,covariance,correlation,kind,correlation error of average from theory,dataset,corr difference between data and model,cov difference between data and model
fold_growth,fold_growth,$\phi$,0.0018731509836893505,0.08385288734493102,physical_units,,SP,0.0,0.0
fold_growth,fold_growth,$\delta \phi$,0.0016245947365145768,0.07272609661919117,trace_centered,,SP,0.0,0.0
fold_growth,fold_growth,$\overline{\phi}$,0.0002485562471747737,0.01112679072573984,time_averages,,SP,0.0,0.0
fold_growth,fold_growth,$\phi$,0.0018731509836893505,0.08385288734493102,model,,SP,0.0,0.0
division_ratio,division_ratio,$f$,9.30392708500811e-05,0.05547741151219042,physical_units,,SP,2.0816681711721685e-17,2.710505431213761e-20
division_ratio,division_ratio,$\delta f$,3.241302073939109e-05,0.019327220360635434,trace_centered,,SP,2.0816681711721685e-17,2.710505431213761e-20
division_ratio,division_ratio,$\overline{f}$,6.062625011069003e-05,0.036150191151555,time_averages,,SP,2.0816681711721685e-17,2.710505431213761e-20
division_ratio,division_ratio,$f$,9.303927085008112e-05,0.05547741151219044,model,,SP,2.0816681711721685e-17,2.710505431213761e-20
added_length,added_length,$\Delta$,0.05844484880452434,0.08606575132352802,physical_units,,SP,-1.3877787807814457e-17,-6.938893903907228e-18
added_length,added_length,$\delta \Delta$,0.027312659152522286,0.04022055970180375,trace_centered,,SP,-1.3877787807814457e-17,-6.938893903907228e-18
added_length,added_length,$\overline{\Delta}$,0.031132189652002044,0.04584519162172426,time_averages,,SP,-1.3877787807814457e-17,-6.938893903907228e-18
added_length,added_length,$\Delta$,0.05844484880452433,0.086065751323528,model,,SP,-1.3877787807814457e-17,-6.938893903907228e-18
generationtime,generationtime,$\tau$,0.004853096646646461,0.26152924008777695,physical_units,,SP,0.0,0.0
generationtime,generationtime,$\delta \tau$,0.0013475970039683446,0.07262085345774907,trace_centered,,SP,0.0,0.0
generationtime,generationtime,$\overline{\tau}$,0.003505499642678116,0.18890838663002785,time_averages,,SP,0.0,0.0
generationtime,generationtime,$\tau$,0.004853096646646461,0.26152924008777695,model,,SP,0.0,0.0
length_birth,length_birth,$x_0$,0.060727503687546425,0.22251293373061642,physical_units,,SP,1.1102230246251565e-16,2.7755575615628914e-17
length_birth,length_birth,$\delta x_0$,0.022725218448643426,0.08326795470951921,trace_centered,,SP,1.1102230246251565e-16,2.7755575615628914e-17
length_birth,length_birth,$\overline{x_0}$,0.038002285238903026,0.1392449790210973,time_averages,,SP,1.1102230246251565e-16,2.7755575615628914e-17
length_birth,length_birth,$x_0$,0.06072750368754645,0.22251293373061654,model,,SP,1.1102230246251565e-16,2.7755575615628914e-17
length_final,length_final,$x_\tau$,0.17549667541078634,0.17747689284779497,physical_units,,SP,0.0,0.0
length_final,length_final,$\delta x_\tau$,0.04637338949999148,0.046896643825386136,trace_centered,,SP,0.0,0.0
length_final,length_final,$\overline{x_\tau}$,0.12912328591079486,0.13058024902240883,time_averages,,SP,0.0,0.0
length_final,length_final,$x_\tau$,0.17549667541078634,0.17747689284779497,model,,SP,0.0,0.0
growth_rate,growth_rate,$\alpha$,0.017827662873309405,0.37507124156969146,physical_units,,SP,-1.1102230246251565e-16,-3.469446951953614e-18
growth_rate,growth_rate,$\delta \alpha$,0.002915993422292709,0.06134877471492998,trace_centered,,SP,-1.1102230246251565e-16,-3.469446951953614e-18
growth_rate,growth_rate,$\overline{\alpha}$,0.014911669451016692,0.31372246685476135,time_averages,,SP,-1.1102230246251565e-16,-3.469446951953614e-18
growth_rate,growth_rate,$\alpha$,0.0178276628733094,0.37507124156969135,model,,SP,-1.1102230246251565e-16,-3.469446951953614e-18
fold_growth,fold_growth,$\phi$,-9.301713195691781e-05,-0.0048383081636621025,physical_units,,NC,-4.336808689942018e-18,-8.131516293641283e-20
fold_growth,fold_growth,$\delta \phi$,-0.0002892767991968047,-0.015046801268396363,trace_centered,,NC,-4.336808689942018e-18,-8.131516293641283e-20
fold_growth,fold_growth,$\overline{\phi}$,0.0001962596672398868,0.010208493104734257,time_averages,,NC,-4.336808689942018e-18,-8.131516293641283e-20
fold_growth,fold_growth,$\phi$,-9.30171319569179e-05,-0.004838308163662107,model,,NC,-4.336808689942018e-18,-8.131516293641283e-20
division_ratio,division_ratio,$f$,6.731467801910335e-05,0.05067409434490739,physical_units,,NC,6.938893903907228e-17,9.486769009248164e-20
division_ratio,division_ratio,$\delta f$,4.285654201027345e-06,0.003226215317421215,trace_centered,,NC,6.938893903907228e-17,9.486769009248164e-20
division_ratio,division_ratio,$\overline{f}$,6.30290238180761e-05,0.04744787902748625,time_averages,,NC,6.938893903907228e-17,9.486769009248164e-20
division_ratio,division_ratio,$f$,6.731467801910344e-05,0.05067409434490746,model,,NC,6.938893903907228e-17,9.486769009248164e-20
added_length,added_length,$\Delta$,0.03908820700458774,0.07972065309765511,physical_units,,NC,2.7755575615628914e-17,1.3877787807814457e-17
added_length,added_length,$\delta \Delta$,0.0002838807293005841,0.0005789765987226021,trace_centered,,NC,2.7755575615628914e-17,1.3877787807814457e-17
added_length,added_length,$\overline{\Delta}$,0.03880432627528717,0.07914167649893253,time_averages,,NC,2.7755575615628914e-17,1.3877787807814457e-17
added_length,added_length,$\Delta$,0.039088207004587754,0.07972065309765514,model,,NC,2.7755575615628914e-17,1.3877787807814457e-17
generationtime,generationtime,$\tau$,0.003271929610712869,0.18296714447386017,physical_units,,NC,2.7755575615628914e-17,4.336808689942018e-19
generationtime,generationtime,$\delta \tau$,0.00024072193404094187,0.013461232399220213,trace_centered,,NC,2.7755575615628914e-17,4.336808689942018e-19
generationtime,generationtime,$\overline{\tau}$,0.0030312076766719274,0.16950591207463997,time_averages,,NC,2.7755575615628914e-17,4.336808689942018e-19
generationtime,generationtime,$\tau$,0.0032719296107128694,0.1829671444738602,model,,NC,2.7755575615628914e-17,4.336808689942018e-19
length_birth,length_birth,$x_0$,0.044295758923988716,0.18815707179755503,physical_units,,NC,2.7755575615628914e-17,6.938893903907228e-18
length_birth,length_birth,$\delta x_0$,0.002412857202828537,0.010249201209734589,trace_centered,,NC,2.7755575615628914e-17,6.938893903907228e-18
length_birth,length_birth,$\overline{x_0}$,0.04188290172116019,0.17790787058782048,time_averages,,NC,2.7755575615628914e-17,6.938893903907228e-18
length_birth,length_birth,$x_0$,0.04429575892398872,0.18815707179755506,model,,NC,2.7755575615628914e-17,6.938893903907228e-18
length_final,length_final,$x_\tau$,0.17032228695364598,0.22752493980577548,physical_units,,NC,-1.942890293094024e-16,-1.3877787807814457e-16
length_final,length_final,$\delta x_\tau$,0.01707869731773724,0.022814569065977675,trace_centered,,NC,-1.942890293094024e-16,-1.3877787807814457e-16
length_final,length_final,$\overline{x_\tau}$,0.15324358963590862,0.20471037073979764,time_averages,,NC,-1.942890293094024e-16,-1.3877787807814457e-16
length_final,length_final,$x_\tau$,0.17032228695364585,0.2275249398057753,model,,NC,-1.942890293094024e-16,-1.3877787807814457e-16
growth_rate,growth_rate,$\alpha$,0.012844137602917393,0.3226468357536023,physical_units,,NC,1.1102230246251565e-16,3.469446951953614e-18
growth_rate,growth_rate,$\delta \alpha$,0.00021468637048148217,0.005392956713539289,trace_centered,,NC,1.1102230246251565e-16,3.469446951953614e-18
growth_rate,growth_rate,$\overline{\alpha}$,0.012629451232435914,0.3172538790400631,time_averages,,NC,1.1102230246251565e-16,3.469446951953614e-18
growth_rate,growth_rate,$\alpha$,0.012844137602917397,0.3226468357536024,model,,NC,1.1102230246251565e-16,3.469446951953614e-18
fold_growth,fold_growth,$\phi$,0.0006151537310102869,0.03115733134063588,physical_units,,CTRL,-2.7755575615628914e-17,-5.421010862427522e-19
fold_growth,fold_growth,$\delta \phi$,0.0004815007121899459,0.024387850506597062,trace_centered,,CTRL,-2.7755575615628914e-17,-5.421010862427522e-19
fold_growth,fold_growth,$\overline{\phi}$,0.00013365301882034048,0.006769480834038792,time_averages,,CTRL,-2.7755575615628914e-17,-5.421010862427522e-19
fold_growth,fold_growth,$\phi$,0.0006151537310102864,0.031157331340635853,model,,CTRL,-2.7755575615628914e-17,-5.421010862427522e-19
division_ratio,division_ratio,$f$,1.6925583626742923e-05,0.012128276377013782,physical_units,,CTRL,2.7755575615628914e-17,3.7269449679189215e-20
division_ratio,division_ratio,$\delta f$,-1.4797144269198205e-05,-0.010603111788938448,trace_centered,,CTRL,2.7755575615628914e-17,3.7269449679189215e-20
division_ratio,division_ratio,$\overline{f}$,3.1722727895941166e-05,0.022731388165952257,time_averages,,CTRL,2.7755575615628914e-17,3.7269449679189215e-20
division_ratio,division_ratio,$f$,1.692558362674296e-05,0.01212827637701381,model,,CTRL,2.7755575615628914e-17,3.7269449679189215e-20
added_length,added_length,$\Delta$,0.001930739566678771,0.003547541939667947,physical_units,,CTRL,3.426078865054194e-17,1.8648277366750676e-17
added_length,added_length,$\delta \Delta$,0.014050006986427018,0.025815490549415048,trace_centered,,CTRL,3.426078865054194e-17,1.8648277366750676e-17
added_length,added_length,$\overline{\Delta}$,-0.012119267419748229,-0.022267948609747065,time_averages,,CTRL,3.426078865054194e-17,1.8648277366750676e-17
added_length,added_length,$\Delta$,0.0019307395666787897,0.0035475419396679814,model,,CTRL,3.426078865054194e-17,1.8648277366750676e-17
generationtime,generationtime,$\tau$,7.744715987572927e-05,0.0043011578431678575,physical_units,,CTRL,-1.214306433183765e-17,-2.168404344971009e-19
generationtime,generationtime,$\delta \tau$,0.00048046353118440217,0.026683347573053358,trace_centered,,CTRL,-1.214306433183765e-17,-2.168404344971009e-19
generationtime,generationtime,$\overline{\tau}$,-0.0004030163713086731,-0.022382189729885513,time_averages,,CTRL,-1.214306433183765e-17,-2.168404344971009e-19
generationtime,generationtime,$\tau$,7.744715987572905e-05,0.004301157843167845,model,,CTRL,-1.214306433183765e-17,-2.168404344971009e-19
length_birth,length_birth,$x_0$,0.0006776987749380601,0.0028074247752547968,physical_units,,CTRL,-4.597017211338539e-17,-1.1058862159352145e-17
length_birth,length_birth,$\delta x_0$,0.003576031171294562,0.014814013066931338,trace_centered,,CTRL,-4.597017211338539e-17,-1.1058862159352145e-17
length_birth,length_birth,$\overline{x_0}$,-0.002898332396356513,-0.012006588291676588,time_averages,,CTRL,-4.597017211338539e-17,-1.1058862159352145e-17
length_birth,length_birth,$x_0$,0.0006776987749380491,0.002807424775254751,model,,CTRL,-4.597017211338539e-17,-1.1058862159352145e-17
length_final,length_final,$x_\tau$,-0.026964222879045437,-0.03374010963889919,physical_units,,CTRL,-1.3877787807814457e-17,-1.3877787807814457e-17
length_final,length_final,$\delta x_\tau$,0.008627930639464938,0.010796058430394865,trace_centered,,CTRL,-1.3877787807814457e-17,-1.3877787807814457e-17
length_final,length_final,$\overline{x_\tau}$,-0.03559215351851039,-0.044536168069294065,time_averages,,CTRL,-1.3877787807814457e-17,-1.3877787807814457e-17
length_final,length_final,$x_\tau$,-0.02696422287904545,-0.0337401096388992,model,,CTRL,-1.3877787807814457e-17,-1.3877787807814457e-17
growth_rate,growth_rate,$\alpha$,-0.0003142345337587358,-0.00844094239946874,physical_units,,CTRL,6.418476861114186e-17,2.3852447794681098e-18
growth_rate,growth_rate,$\delta \alpha$,0.0011462300013579518,0.03078993674652562,trace_centered,,CTRL,6.418476861114186e-17,2.3852447794681098e-18
growth_rate,growth_rate,$\overline{\alpha}$,-0.0014604645351166852,-0.039230879145994296,time_averages,,CTRL,6.418476861114186e-17,2.3852447794681098e-18
growth_rate,growth_rate,$\alpha$,-0.00031423453375873343,-0.008440942399468675,model,,CTRL,6.418476861114186e-17,2.3852447794681098e-18
