time division length width area intensity CMx CMy
0 0 68.3079 11.2579 769 120.152 730.309 435.173
1 0 73.1483 12.1397 888 116.556 733.384 439.518
2 0 79.3442 26.2653 2084 107.016 732.924 434.689
3 1 164.12 25.3533 4161 112.058 732.853 406.704
4 0 173.665 31.4628 5464 109.473 733.017 396.171
5 0 176.096 24.4639 4308 112.24 733.782 399.282
6 0 181.278 34.345 6226 106.002 732.558 407.292
7 1 95.6653 14.9166 1427 115.504 731.67 428.224
8 1 52.0696 10.678 556 115.525 731.259 454.597
9 0 52.2917 14.9355 781 114.362 730.31 451.202
10 0 53.1661 16.0252 852 110.993 727.547 461.751
11 0 53.0403 11.7835 625 123.522 725.61 459.371
12 0 56.0764 11.6983 656 135.155 724.567 457.559
13 0 59.0792 18.8391 1113 120.108 724.425 455.94
14 1 29.0284 9.2668 269 140.312 723.833 469.435
15 0 31.0295 10.7317 333 133.535 721.712 467.814
16 1 65.1463 15.3961 1003 131.046 720.766 453.053
17 0 64.1299 13.0049 834 140.164 719.12 450.609
18 0 65.2234 12.7562 832 143.444 717.659 448.064
19 0 66.2158 12.5197 829 144.331 716.61 445.957
20 0 69.105 12.4882 863 142.743 714.922 443.173
21 0 73.0868 14.8727 1087 135.988 714.98 445.166
22 0 75.1936 15.4667 1163 135.179 714.715 438.69
23 0 77.3633 14.4771 1120 135.622 714.442 439.021
24 0 80.2798 12.7305 1022 138.557 715.075 437.107
25 0 83.3546 16.0399 1337 132.695 715.099 433.794
26 1 46.0169 10.7787 496 127.077 715.292 458.915
27 0 47.0867 9.72674 458 135.194 713.928 450.015
28 0 51.7919 18.613 964 114.593 714.899 450.951
29 0 54.1804 12.1815 660 118.445 718.733 450.714
30 0 57.8555 13.2917 769 114.338 721.581 453.265
31 0 60.2885 9.93556 599 117.267 725.215 450.162
32 0 58.1591 11.7608 684 115.654 725.434 447.228
33 0 63.3201 11.9393 756 114.016 727.471 447.775
34 0 65.2933 19.1444 1250 108.811 729.118 444.89
35 0 68.4477 14.4928 992 107.909 730.878 453.815
36 0 68.1925 19.7382 1346 105.63 731.184 453.493
37 0 66.3569 23.5695 1564 104.613 730.618 453.895
38 0 66.3569 23.3435 1549 123.537 731.695 453.677
39 0 68.3301 13.8446 946 128.582 731.717 446.168
40 0 71.5834 11.7485 841 133.505 731.285 447.985
41 0 70.3812 12.4749 878 130.97 731 445.689
42 0 76.4462 15.5403 1188 127.737 730.324 445.907
43 0 77.4227 13.2132 1023 136.96 729.467 447.449
44 0 80.2988 16.2892 1308 133.158 727.637 443.31
45 1 50.117 11.7724 590 134.649 727.705 464.076
46 0 47.0125 11.6777 549 138.361 726.789 462.386
47 0 47.0495 12.6463 595 139.721 725.313 462.069
48 0 48.0508 12.7989 615 140.392 720.761 461.943
49 0 47.0659 12.3656 582 142.878 719.651 459.924
50 0 50.1353 13.324 668 138.766 720.298 457.226
