time division length width area intensity CMx CMy
0 0 36.1079 10.3302 373 124.139 434.681 455.499
1 0 40.0933 9.87696 396 123.972 433.626 455.093
2 0 40.0933 9.75225 391 136.535 433.67 455.12
3 0 42.1602 14.2077 599 119.673 434.99 452.781
4 0 45.4374 24.5393 1115 108.756 434.693 452.891
5 0 48.1484 11.5061 554 119.188 434.126 455.475
6 0 52.4302 14.3047 750 117.147 433.803 455.251
7 0 54.4241 11.833 644 116.112 434.019 459.349
8 0 52.4139 16.2362 851 113.692 433.981 454.971
9 0 57.1162 15.9849 913 114.566 431.969 454.341
10 0 59.3398 14.1052 837 118.581 432.669 458.584
11 0 57.6155 22.3204 1286 113.432 431.096 457.645
12 0 57.0254 12.398 707 134.188 430.755 449.487
13 0 58.0639 17.1363 995 125.728 429.601 454.685
14 0 60.1866 15.3689 925 135.495 428.626 455.192
15 0 60.134 14.9167 897 145.76 426.692 452.041
16 0 62.0476 14.7467 915 148.139 425.079 452.233
17 0 62.0678 14.1136 876 154.67 423.006 450.067
18 0 68.0657 15.6173 1063 149.052 421.861 450.599
19 0 69.0513 15.5826 1076 153.4 420.551 447.084
20 0 71.0778 15.6448 1112 152.04 420.05 445.884
21 0 73.0684 14.6301 1069 155.656 419.893 441.239
22 0 76.0854 14.4706 1101 154.827 419.674 439.648
23 0 78.0479 16.7333 1306 149.847 418.599 438.553
24 1 41.156 10.4238 429 159.28 416.981 455.958
25 0 42.0804 10.7889 454 158.885 416.771 455.555
26 0 44.1715 11.9534 528 155.271 417.331 454.087
27 0 47.0817 15.2289 717 143.647 417.682 452.262
28 0 49.1324 15.6719 770 144.31 417.447 450.709
29 0 48.1305 15.8319 762 139.802 417.426 450.631
30 0 55.6564 18.165 1011 132.093 420.876 453.05
31 0 52.1885 13.2596 692 144.65 422.912 448.882
32 0 53.1046 13.9913 743 131.603 425.015 448.238
33 0 56.1794 12.7093 714 123.943 427.08 449.538
34 0 61.2961 18.9898 1164 109.485 428.659 457.796
35 0 59.2285 23.823 1411 110.335 430.129 450.2
36 0 65.1583 21.9159 1428 110.321 431.216 458.018
37 0 65.1751 19.977 1302 115.724 431.691 451.022
38 0 65.0746 22.8353 1486 113.618 431.736 452.976
39 0 70.2441 20.386 1432 117.223 432.048 449.123
40 0 71.3814 18.8985 1349 117.348 431.48 451.823
41 0 71.1503 13.9423 992 121.544 431.453 456.305
42 0 72.1937 14.0178 1012 126.916 430.708 449.985
43 0 77.2536 17.8503 1379 122.439 429.905 453.775
44 0 77.5034 13.251 1027 136.427 428.789 452.76
45 0 81.2821 21.4561 1744 121.888 428.307 450.885
46 0 80.1893 12.483 1001 141.298 426.737 449.149
47 1 44.1414 12.8224 566 140.542 425.675 467.714
48 0 45.0685 12.0039 541 148.314 424.529 467.545
49 0 44.0294 14.2405 627 153.018 422.41 463.847
50 0 49.1242 14.6771 721 158.162 421.1 463.137
51 0 49.073 15.4668 759 159.632 419.527 459.27
52 0 50.2449 14.7478 741 162.167 418.988 460.088
53 0 51.1392 13.3557 683 167.187 418.406 458.606
54 0 51.3046 13.2152 678 158.553 418.252 457.687
55 0 56.0639 15.3396 860 151.616 416.11 454.72
56 0 57.0649 15.9467 910 148.813 414.897 455.147
57 0 57.0886 12.9973 742 157.319 415.031 453.74
58 0 61.207 15.7008 961 147.51 415.268 453.006
59 0 62.0431 13.8452 859 153.757 414.758 447.184
60 0 64.1208 16.968 1088 145.619 415.341 448.962
61 0 66.1409 12.7758 845 159.466 415.828 446.104
62 0 68.1436 13.9118 948 154.037 416.316 445.24
