time division length width area intensity CMx CMy
0 0 83.4814 38.9548 3252 98.6092 1339.7 444.546
1 0 85.2821 23.7447 2025 106.297 1341.14 444.484
2 1 168.267 20.2772 3412 115.673 1342.98 397.924
3 0 167.129 21.4923 3592 111.662 1342.37 413.788
4 1 271.777 27.7544 7543 111.807 1341.71 363.669
5 1 95.3548 24.8965 2374 102.636 1343.1 444.318
6 0 101.445 30.0754 3051 102.488 1342.65 439.325
7 1 50.3321 16.0931 810 105.537 1341.15 461.09
8 0 51.3252 15.9181 817 109.442 1339.17 456.483
9 0 55.4692 14.5306 806 111.684 1337.53 453.643
10 0 53.5852 12.7274 682 117.044 1337.24 451.089
11 0 56.2866 24.624 1386 107.426 1336.71 459.643
12 0 58.1979 14.3304 834 128.753 1335.54 454.754
13 0 58.1791 15.7273 915 119.098 1334.55 460.557
14 0 61.3704 12.0579 740 137.384 1332.75 455.574
15 0 59.3587 11.2368 667 138.126 1331.82 454.547
16 0 64.2745 14.5781 937 130.225 1329.99 452.044
17 0 68.2465 15.869 1083 127.898 1328.98 454.562
18 0 73.5649 15.7956 1162 131.666 1327.49 449.398
19 0 71.3178 15.2556 1088 135.512 1326.64 446.585
20 0 74.1677 12.2156 906 139.04 1324.73 448.038
21 0 74.2262 14.5097 1077 136.941 1324.82 443.55
22 1 43.2261 12.8395 555 135.791 1323.02 457.596
23 0 46.6325 11.7086 546 126.022 1321.34 463.403
24 0 45.1712 11.3125 511 135.622 1323.06 456.939
25 0 45.3196 13.5703 615 130.011 1324.01 455.976
26 0 48.3854 15.7072 760 127.801 1324.85 451.35
27 0 50.4817 12.7373 643 126.816 1324.36 451.661
28 0 49.1267 14.656 720 121.544 1325.33 450.019
29 0 51.3061 13.0004 667 117.517 1326.91 453.577
30 0 51.3801 15.181 780 116.841 1328.76 448.663
31 0 58.0576 15.2779 887 112.469 1331.5 450.559
32 0 61.9147 17.1526 1062 106.819 1333.1 450.827
33 0 56.4605 32.0932 1812 98.2196 1334.17 454.428
34 0 57.1644 23.5461 1346 101.467 1336.36 456.531
35 0 64.1664 15.304 982 105.552 1338 455.155
36 0 62.338 31.5698 1968 98.9014 1338.07 449.378
37 0 61.2196 16.9064 1035 107.141 1338.54 450.454
38 0 61.2196 16.6613 1020 130.875 1338.56 450.436
39 0 65.3956 14.1294 924 122.323 1338.84 450.799
40 0 68.2014 16.7739 1144 122.036 1338.71 450.755
41 0 66.4986 13.5792 903 126.846 1338.62 450.963
42 0 70.2448 15.389 1081 127.34 1338.14 449.974
43 0 70.2448 15.3606 1079 132.378 1337.11 450.081
44 0 74.1954 16.5509 1228 132.807 1335.71 447.387
45 0 76.302 15.3731 1173 136.048 1334.51 446.682
46 1 39.0219 11.7883 460 135.62 1333.01 467.35
47 0 43.0899 11.6037 500 138.63 1331.59 466.352
48 0 42.0704 13.4774 567 137.4 1330.65 465.608
49 0 44.1549 13.9962 618 134.874 1329.53 465.673
50 0 46.044 13.7911 635 139.896 1326.94 463.129
51 0 46.5158 14.0383 653 141.493 1326.39 462.283
52 0 47.2339 12.1311 573 141.127 1325.03 463.225
53 0 47.0908 14.8224 698 135.166 1324.49 458.109
54 0 48.0972 15.0528 724 121.436 1324.29 460.78
55 0 52.1005 13.0901 682 135.523 1323.74 457.499
56 0 52.1683 13.5715 708 135.662 1322.78 455.232
57 0 52.1709 15.6026 814 122.2 1322.88 455.725
58 0 52.1709 15.6601 817 121.584 1322.91 455.695
59 0 57.1566 14.3291 819 127.607 1322.95 452.94
60 0 60.0938 13.4789 810 128.159 1323.41 448.972
61 0 60.0898 12.914 776 130.265 1323.62 448.37
62 0 63.2568 14.7494 933 126.387 1324.49 446.772
63 0 70.7479 19.1808 1357 116.822 1325.82 450.303
64 0 73.2458 25.5441 1871 114.049 1326.53 447.738
65 0 73.3577 17.1897 1261 122.891 1331.08 446.594
66 0 73.3577 17.1761 1260 125.244 1335.05 446.532
67 0 76.2041 12.7815 974 128.522 1334.08 445.778
68 0 77.0674 13.1184 1011 132.023 1334.58 443.506
69 1 44.1765 10.2317 452 126.018 1336.98 462.969
70 0 46.2375 11.6356 538 123.361 1337.1 462.381
71 0 44.1228 11.0374 487 125.885 1338.11 463.45
72 0 44.1228 10.9467 483 133.71 1339.14 463.553
73 0 49.3847 12.838 634 129.194 1337.09 464.308
74 0 48.1594 12.5417 604 130.871 1337.28 464.079
75 0 57.637 16.2396 936 122.806 1336.32 465.245
76 0 55.2553 14.8945 823 129.987 1334.9 462.208
77 0 55.3727 15.2422 844 134.911 1334.65 462.396
78 0 55.3727 15.188 841 133.641 1333.67 462.31
79 0 59.2333 15.5825 923 138.377 1333.5 461.961
80 0 61.4492 14.5323 893 142.244 1332.33 460.297
81 0 62.2203 14.754 918 142.071 1330.83 461.354
82 0 65.3944 15.4294 1009 142.367 1329.08 457.42
83 0 66.4755 16.3068 1084 140.061 1328.17 458.105
84 0 68.3262 16.1139 1101 140.87 1326.61 456.52
85 0 71.2689 13.3579 952 146.197 1325.29 455.421
86 0 75.2463 17.8613 1344 136.653 1324.14 451.14
87 1 39.1116 11.6589 456 141.77 1321.91 466.833
88 0 42.0338 10.777 453 137.3 1321.4 468.797
89 0 41.2042 11.3581 468 135.887 1321.34 467.632
90 0 45.068 11.5825 522 135.552 1321.2 464.985
91 0 46.1224 9.62656 444 137.455 1321.21 463.764
92 0 46.0718 11.5689 533 137.863 1320.65 459.856
93 0 49.2423 13.3828 659 134.628 1321.64 456.85
94 0 50.2484 11.8014 593 144.007 1321.78 457.845
95 0 56.5079 23.9082 1351 112.497 1323.54 457.905
96 0 53.2043 14.0214 746 131.182 1322.81 455.491
97 0 53.1845 14.1207 751 137.497 1323.87 455.707
98 0 61.4354 16.3098 1002 125.872 1326.57 452.889
99 0 59.2033 16.6207 984 127.158 1329.15 454.967
100 0 60.1666 15.374 925 125.715 1329.82 452.462
101 0 63.2147 12.6553 800 119.762 1331.43 453.702
102 0 68.2966 17.5704 1200 112.188 1334.4 452.538
103 0 65.4391 11.3693 744 117.246 1334.92 455.496
104 0 73.3045 22.5361 1652 107.676 1335.63 450.473
105 0 75.4817 13.4072 1012 112.809 1336.97 453.999
106 0 72.4007 18.5772 1345 112.495 1336.79 457.045
107 0 82.2489 21.1553 1740 104.187 1336.99 460.378
108 0 80.4472 15.8862 1278 114.682 1336.62 447.951
109 1 42.1509 10.4861 442 118.133 1335.45 468.1
110 0 44.1898 12.0616 533 122.208 1334.53 468.009
111 0 45.0684 9.67418 436 137.089 1334.21 470.202
112 0 43.1081 9.95173 429 143.315 1333.66 468.117
113 0 49.0578 10.9667 538 142.262 1332.2 467.214
114 0 49.0997 12.8514 631 141.195 1330.33 467.702
115 0 50.1938 12.9498 650 145.077 1329.11 463.078
116 0 51.2373 11.8078 605 148.519 1328.76 462.782
117 0 53.3054 12.0063 640 145.083 1330.54 461.186
118 0 54.3569 13.2642 721 144.583 1328.62 462.81
119 0 55.2757 12.9171 714 146.766 1327.15 461.948
120 0 55.2757 12.9171 714 139.958 1325.15 462.08
121 0 60.2632 14.138 852 141.188 1323.56 458.236
122 0 60.2441 12.6319 761 142.536 1322.62 457.171
123 0 63.2311 13.1739 833 136.396 1321.79 454.825
124 0 65.4336 14.5644 953 130.213 1321.56 456.756
125 0 69.4845 13.9456 969 130.163 1321.11 451.779
126 0 71.2348 13.6731 974 132.758 1321.32 449.399
127 0 70.3577 13.7583 968 132.038 1321.11 445.561
128 0 74.2457 12.8627 955 128.717 1320.58 446.511
129 0 76.4379 13.6058 1040 129.09 1322.3 448.596
130 0 79.43 14.4656 1149 124.82 1323.52 444.049
131 0 85.7806 20.2144 1734 112.828 1324.79 448.592
132 1 45.0567 9.63231 434 128.456 1328.09 459.442
133 0 47.0454 9.26765 436 129.034 1330.72 459.284
134 0 49.0483 14.0474 689 123.792 1332.27 458.341
135 0 51.1516 12.1795 623 132.634 1332.97 456.963
136 0 51.0923 11.3324 579 134.634 1334.95 459.511
137 0 55.0548 14.313 788 131.358 1335.28 457.586
