intercept,slope,std_error,variable,lineage,kind
2.3218902638217633,-0.10269149410618651,0.19991196550491805,div_then_fold,1.0,Trace
2.173188038427844,-0.1494416344247471,0.25543418414027497,div_and_fold,1.0,Trace
2.8090748464447746,-0.47579696133057764,0.21757880600639187,fold_then_div,1.0,Trace
1.304938270437378,0.20022411879705695,0.11758577702895227,fold_growth,1.0,Trace
0.7366928195441386,0.5602465066474012,0.17809578445289134,division_ratio,1.0,Trace
1.7420101898438272,0.06862160218084258,0.14249978653730833,added_length,1.0,Trace
1.9245430641725134,0.11122085337556474,0.11779873602596069,generationtime,1.0,Trace
1.0150167364799012,0.1846195662746382,0.0936731932648331,length_birth,1.0,Trace
1.6086076973173686,0.11137469658997846,0.10454989371085158,length_final,1.0,Trace
0.856106475633789,0.49850392180609093,0.1997476867238988,growth_rate,1.0,Trace
2.3608158901487113,-0.30098711221367674,0.290082416195019,div_then_fold,2.0,Trace
2.5764941780826023,-0.20784803379503902,0.22323603234473613,div_and_fold,2.0,Trace
2.711699229605484,-0.3908683653005769,0.17474831954287867,fold_then_div,2.0,Trace
1.7489184519786105,-0.16067235187653395,0.23090668993652141,fold_growth,2.0,Trace
0.8490875694477809,0.3465468577800246,0.05346265037450229,division_ratio,2.0,Trace
1.498338775571385,0.083773662776254,0.1974250538208382,added_length,2.0,Trace
2.3807913342582423,-0.20075424034377762,0.10843958431845578,generationtime,2.0,Trace
1.5569549954175443,0.056782558874925684,0.05693349808072443,length_birth,2.0,Trace
1.0107571193052927,0.6025167369960329,0.10160273523438249,length_final,2.0,Trace
1.011389643711607,0.12861045328176743,0.055143224676155046,growth_rate,2.0,Trace
2.2608678965859874,-0.07078890662044564,0.09507803665444209,div_then_fold,5.0,Trace
2.3885058357754168,-0.24657100216186767,0.13780884016701417,div_and_fold,5.0,Trace
2.1721305597633416,-0.17312405692549654,0.09362704683769145,fold_then_div,5.0,Trace
2.0742683304959932,-0.12043639729896562,0.1411244656801473,fold_growth,5.0,Trace
1.4598641514649762,0.37852880705459074,0.06601132220231186,division_ratio,5.0,Trace
1.5733384665555725,-0.0010058365437101756,0.08727192479685199,added_length,5.0,Trace
1.6322093480209952,0.09456032690690348,0.1381057110587275,generationtime,5.0,Trace
0.5937525089932838,0.45544303687770193,0.10561024752932344,length_birth,5.0,Trace
0.42332931621386755,0.6196098335967719,0.04411417773469215,length_final,5.0,Trace
1.056936679537869,0.6243057596179521,0.01528150248779972,growth_rate,5.0,Trace
1.705621710034683,0.01867090886848294,0.38308100595182065,div_then_fold,0.0,Artificial
1.821193652258939,0.011609931217794564,0.21102504047423737,div_and_fold,0.0,Artificial
1.8761385260223429,0.17405460696355188,0.10497875613181731,fold_then_div,0.0,Artificial
1.9133029159726127,0.0906271172342118,0.22607771410688865,fold_growth,0.0,Artificial
2.0905265976654106,-0.18546072210697864,0.19874823798188135,division_ratio,0.0,Artificial
1.8552770560462912,0.013861748076233629,0.21891222189702544,added_length,0.0,Artificial
2.2883021161345325,-0.08386563355346507,0.19341819651866238,generationtime,0.0,Artificial
1.761300216676732,0.24398005520552693,0.05764345271443857,length_birth,0.0,Artificial
1.6170280469439813,0.23071491945622727,0.05744736844910727,length_final,0.0,Artificial
1.9629810097734,-0.05691534379327703,0.2024199117144428,growth_rate,0.0,Artificial
2.1140509915985253,-0.044721432106841846,0.18013587294085867,div_then_fold,1.0,Artificial
2.4748764102528393,-0.22041865066398394,0.17192342439791553,div_and_fold,1.0,Artificial
2.3159182247964134,-0.1705896930496136,0.2220100489218366,fold_then_div,1.0,Artificial
2.086489275196906,-0.07064650162033304,0.18487595944356414,fold_growth,1.0,Artificial
1.6641990077613094,0.2511583779313689,0.13924034806910587,division_ratio,1.0,Artificial
2.183281451331611,-0.16236559646272594,0.1888062897188669,added_length,1.0,Artificial
1.9998281773451496,-0.12187328205166702,0.16568808907642174,generationtime,1.0,Artificial
1.6564230763413932,0.3327880482839643,0.12674830938435558,length_birth,1.0,Artificial
1.968621333464984,0.008223282591535607,0.12169949517273171,length_final,1.0,Artificial
2.0496647106776194,-0.1608315203810369,0.19445545166181047,growth_rate,1.0,Artificial
2.1256016810816583,0.03963897915774366,0.17902488133397262,div_then_fold,4.0,Artificial
1.3926694015131549,0.37418300353603284,0.09913031636923274,div_and_fold,4.0,Artificial
1.9413562155128696,0.013491722861378933,0.07413885070131387,fold_then_div,4.0,Artificial
1.7348918292646442,0.1610400395602111,0.12799813619615663,fold_growth,4.0,Artificial
1.8152946755356332,0.1381791363025113,0.20023426067072483,division_ratio,4.0,Artificial
1.5600685736651623,0.16659029598978742,0.055405169762286065,added_length,4.0,Artificial
2.059559697958445,-0.1572517079717818,0.11500207602716843,generationtime,4.0,Artificial
2.1945211071679087,0.04867971230515763,0.10169769055689051,length_birth,4.0,Artificial
1.6122555864134178,0.020243142293491334,0.1712176428051414,length_final,4.0,Artificial
1.833027673080216,0.11766102088432513,0.11130453579714103,growth_rate,4.0,Artificial
2.0188076060715114,-0.046620011039329855,0.177097419495329,div_then_fold,1.0,Shuffled
2.0480533629455264,-0.0529133076608955,0.14209570439248578,div_and_fold,1.0,Shuffled
1.7690468007634768,0.12728062106919652,0.11746862418034196,fold_then_div,1.0,Shuffled
1.7936949205695625,-0.06449887152090616,0.22229842708538888,fold_growth,1.0,Shuffled
2.1236379696124184,-0.07522792757796756,0.21046591659082103,division_ratio,1.0,Shuffled
1.7271163182847236,-0.022550356504178155,0.18267539749170214,added_length,1.0,Shuffled
