MSD,RMSD,NRMSD,CV_NRMSD,distance,dataset,n,variable,lineage,kind
2.018977719616171,1.4209073578584113,0.25596904236008333,10.10783785048924,1,8-31-16 Continue,27,div_then_fold,1.0,Trace
2.4416362124955353,1.562573586265791,0.2814894738080956,11.115601838558371,2,8-31-16 Continue,26,div_then_fold,1.0,Trace
2.531264054305553,1.5909946745057173,0.28660938447600154,11.317779517401982,3,8-31-16 Continue,25,div_then_fold,1.0,Trace
1.1647030459608294,1.0792140871767888,0.19441478353135605,7.677151461575961,4,8-31-16 Continue,24,div_then_fold,1.0,Trace
1.2479138657796245,1.1171006515885775,0.20123985031503128,7.946663226483463,5,8-31-16 Continue,23,div_then_fold,1.0,Trace
1.275626508551727,1.129436367641722,0.20346206516069748,8.034415194931844,6,8-31-16 Continue,22,div_then_fold,1.0,Trace
1.4674669309873594,1.2113904948394467,0.21822567331589462,8.617408184806639,7,8-31-16 Continue,21,div_then_fold,1.0,Trace
1.311162933363406,1.1450602313255867,0.20627662263554294,8.145557895292459,8,8-31-16 Continue,20,div_then_fold,1.0,Trace
1.705403336246866,1.3059109220183687,0.23525303480758275,9.289793436525999,9,8-31-16 Continue,19,div_then_fold,1.0,Trace
1.5898586955236784,1.2608959891774096,0.22714382966660132,8.96957295241727,10,8-31-16 Continue,18,div_then_fold,1.0,Trace
1.3831417026635517,1.1760704497025471,0.2118629515805146,8.366153740144021,11,8-31-16 Continue,17,div_then_fold,1.0,Trace
1.910071409119871,1.38205333077992,0.24896969222785242,9.831443894630056,12,8-31-16 Continue,16,div_then_fold,1.0,Trace
1.4102820682607466,1.18755297492817,0.19689691245396715,-7.96350461541048,1,8-31-16 Continue,27,div_and_fold,1.0,Trace
2.209481650761124,1.4864325247925396,0.24645130017926878,-9.96773408983934,2,8-31-16 Continue,26,div_and_fold,1.0,Trace
2.519370155245639,1.5872523917908075,0.2631672875457938,-10.643812962206562,3,8-31-16 Continue,25,div_and_fold,1.0,Trace
1.2037588789852507,1.0971594592333653,0.18190961965783503,-7.357342873882868,4,8-31-16 Continue,24,div_and_fold,1.0,Trace
1.122106109573014,1.0592951003252182,0.1756316888888822,-7.10343167725366,5,8-31-16 Continue,23,div_and_fold,1.0,Trace
1.369401621190597,1.1702143483954541,0.19402215898817698,-7.847235080212261,6,8-31-16 Continue,22,div_and_fold,1.0,Trace
1.5486923646614834,1.2444646900018832,0.2063329049671869,-8.345143763498047,7,8-31-16 Continue,21,div_and_fold,1.0,Trace
1.2909747856117526,1.1362107135614206,0.1883843383162711,-7.619213165688458,8,8-31-16 Continue,20,div_and_fold,1.0,Trace
1.664394673297907,1.2901142094008216,0.213901619470388,-8.65126076720199,9,8-31-16 Continue,19,div_and_fold,1.0,Trace
1.6965404190674935,1.3025131166585209,0.2159573648631287,-8.734405483486086,10,8-31-16 Continue,18,div_and_fold,1.0,Trace
1.4209520192317142,1.1920369202469,0.1976403529635779,-7.993573100770567,11,8-31-16 Continue,17,div_and_fold,1.0,Trace
1.8210137027345252,1.3494494072526488,0.22373942671227268,-9.0491513303391,12,8-31-16 Continue,16,div_and_fold,1.0,Trace
2.110971316959188,1.4529182072502183,0.2644897118680198,123.33692169081029,1,8-31-16 Continue,27,fold_then_div,1.0,Trace
2.3849509989879283,1.5443286564031402,0.28113010032040214,131.09667262010268,2,8-31-16 Continue,26,fold_then_div,1.0,Trace
1.2011112883769492,1.095952229057886,0.1995075069182569,93.03440040716796,3,8-31-16 Continue,25,fold_then_div,1.0,Trace
1.1589374904069787,1.0765395907290074,0.195973623804547,91.38647897467911,4,8-31-16 Continue,24,fold_then_div,1.0,Trace
1.2226448517475612,1.105732721659064,0.2012879510321129,93.86465763983908,5,8-31-16 Continue,23,fold_then_div,1.0,Trace
1.3074511195681393,1.1434382884826533,0.20815188491030814,97.06544934264947,6,8-31-16 Continue,22,fold_then_div,1.0,Trace
1.4720182182589672,1.2132675790026564,0.2208636320943003,102.99319509847592,7,8-31-16 Continue,21,fold_then_div,1.0,Trace
1.2576261767906793,1.1214393326393894,0.20414718769931084,95.19797773923736,8,8-31-16 Continue,20,fold_then_div,1.0,Trace
1.6023030453349576,1.265821095311244,0.2304304916165692,107.45441589754375,9,8-31-16 Continue,19,fold_then_div,1.0,Trace
1.6360520350432128,1.2790824973562935,0.23284460163897672,108.58016440656421,10,8-31-16 Continue,18,fold_then_div,1.0,Trace
1.5479445488254298,1.244164196891001,0.22648806265219834,105.61598124155672,11,8-31-16 Continue,17,fold_then_div,1.0,Trace
1.892357966944096,1.3756300254589153,0.25042014564551845,116.77599735408513,12,8-31-16 Continue,16,fold_then_div,1.0,Trace
1.5072416915530156,1.2276977199429082,0.19647596631267963,-1.9180394285923439,1,8-31-16 Continue,27,fold_growth,1.0,Trace
2.358947855246471,1.535886667448634,0.24579732635470286,-2.3995248489610055,2,8-31-16 Continue,26,fold_growth,1.0,Trace
2.2749084232354515,1.5082799551924873,0.24137925553879,-2.3563947186846734,3,8-31-16 Continue,25,fold_growth,1.0,Trace
1.1556353852059207,1.075004830317483,0.17203959036207034,-1.679486421602249,4,8-31-16 Continue,24,fold_growth,1.0,Trace
1.1147239688998771,1.0558048914926834,0.1689669068566206,-1.6494902433131509,5,8-31-16 Continue,23,fold_growth,1.0,Trace
1.4040035516656413,1.1849065582001144,0.1896278352813305,-1.8511865428333254,6,8-31-16 Continue,22,fold_growth,1.0,Trace
1.572236642871852,1.2538886086378853,0.2006674542346192,-1.9589576093226753,7,8-31-16 Continue,21,fold_growth,1.0,Trace
1.3549850950260969,1.1640382704301853,0.1862881557019968,-1.8185838930932927,8,8-31-16 Continue,20,fold_growth,1.0,Trace
1.6009725417464704,1.2652954365469238,0.20249295859093178,-1.9767785642118973,9,8-31-16 Continue,19,fold_growth,1.0,Trace
1.730892296736769,1.3156338003930916,0.21054891448187782,-2.0554224885748646,10,8-31-16 Continue,18,fold_growth,1.0,Trace
1.3462366639107544,1.1602743916465426,0.18568579918614828,-1.8127035629483408,11,8-31-16 Continue,17,fold_growth,1.0,Trace
1.921835456056911,1.3863028009987253,0.22185850637636215,-2.1658290873157378,12,8-31-16 Continue,16,fold_growth,1.0,Trace
1.5003608141620373,1.2248921642993873,0.20862687623079837,2.2980460057162415,1,8-31-16 Continue,27,division_ratio,1.0,Trace
0.9138244651645215,0.9559416641011739,0.16281851501137795,1.7934623037955035,2,8-31-16 Continue,26,division_ratio,1.0,Trace
1.0099150739737557,1.0049453089465892,0.17116494553481107,1.8853990747086853,3,8-31-16 Continue,25,division_ratio,1.0,Trace
1.2515680670296276,1.1187350298572167,0.19054591204979987,2.098882368382788,4,8-31-16 Continue,24,division_ratio,1.0,Trace
1.3210302981781434,1.1493608215778643,0.19576217797507692,2.1563400617102553,5,8-31-16 Continue,23,division_ratio,1.0,Trace
1.4070629329024857,1.1861968356484878,0.2020361854120855,2.2254488840774242,6,8-31-16 Continue,22,division_ratio,1.0,Trace
1.4633745863959498,1.2097002051731454,0.2060393415328793,2.269544051008226,7,8-31-16 Continue,21,division_ratio,1.0,Trace
1.4722735017602044,1.213372779388183,0.20666486409604087,2.276434244897572,8,8-31-16 Continue,20,division_ratio,1.0,Trace
1.7405661735883748,1.3193051859173355,0.22470755202394435,2.4751762654569647,9,8-31-16 Continue,19,division_ratio,1.0,Trace
1.6053272436076231,1.267015092099389,0.2158013648108901,2.3770737183600197,10,8-31-16 Continue,18,division_ratio,1.0,Trace
1.7277981785128858,1.314457370367288,0.2238818592452433,2.4660811765291912,11,8-31-16 Continue,17,division_ratio,1.0,Trace
1.8786720743724272,1.3706465898883007,0.23345215587067772,2.571498955537055,12,8-31-16 Continue,16,division_ratio,1.0,Trace
1.8039146638605479,1.3430989032310867,0.21004248525404154,19.96222191082028,1,8-31-16 Continue,27,added_length,1.0,Trace
2.6608082899730223,1.6311984213985196,0.25509734953157415,24.24418990306812,2,8-31-16 Continue,26,added_length,1.0,Trace
2.3628275693706815,1.5371491695247672,0.24038931980098366,22.846353874809928,3,8-31-16 Continue,25,added_length,1.0,Trace
1.0922816325654507,1.0451227834878785,0.16344305420197788,15.53345987987128,4,8-31-16 Continue,24,added_length,1.0,Trace
1.159633969238166,1.0768630225047966,0.16840679787687218,16.005208976854334,5,8-31-16 Continue,23,added_length,1.0,Trace
1.2649855499383513,1.1247157640659045,0.17589031881455933,16.71643511499348,6,8-31-16 Continue,22,added_length,1.0,Trace
1.3837564752231213,1.176331787899622,0.18396236615141917,17.483594197205594,7,8-31-16 Continue,21,added_length,1.0,Trace
1.2693523354590597,1.1266553756402442,0.17619364780583593,16.745263190554127,8,8-31-16 Continue,20,added_length,1.0,Trace
1.5064522983067208,1.2273761845117905,0.19194501872966208,18.242257293441266,9,8-31-16 Continue,19,added_length,1.0,Trace
1.5452934488433359,1.2430983262973754,0.1944037488546114,18.47593247736272,10,8-31-16 Continue,18,added_length,1.0,Trace
1.410359903908348,1.1875857459183097,0.1857223328266232,17.65085962107248,11,8-31-16 Continue,17,added_length,1.0,Trace
1.8109500476900755,1.3457154408306666,0.21045167631127068,20.001111008320965,12,8-31-16 Continue,16,added_length,1.0,Trace
2.22191613100704,1.4906093153496123,0.2816986821693805,-7.887563100742648,1,8-31-16 Continue,27,generationtime,1.0,Trace
1.8668150031786404,1.3663143866543455,0.2582091485583675,-7.229856159634285,2,8-31-16 Continue,26,generationtime,1.0,Trace
2.2261157024793397,1.4920173264675378,0.28196477125946945,-7.895013595265138,3,8-31-16 Continue,25,generationtime,1.0,Trace
1.4872589531680447,1.2195322681946734,0.23046993553297357,-6.4531581949232555,4,8-31-16 Continue,24,generationtime,1.0,Trace
1.5770750988142315,1.2558165068250344,0.23732701209920629,-6.645156338777771,5,8-31-16 Continue,23,generationtime,1.0,Trace
1.5514650638617586,1.2455782046350035,0.23539215485332415,-6.590980335893072,6,8-31-16 Continue,22,generationtime,1.0,Trace
1.798898071625344,1.3412300591715591,0.2534686562494564,-7.0971223749847745,7,8-31-16 Continue,21,generationtime,1.0,Trace
1.3276859504132248,1.1522525549605975,0.21775526485460886,-6.097147415929044,8,8-31-16 Continue,20,generationtime,1.0,Trace
2.094823836450632,1.4473506266453309,0.27352355842978854,-7.6586596360340735,9,8-31-16 Continue,19,generationtime,1.0,Trace
2.018365472910928,1.4206918993613387,0.2684855325252931,-7.517594910708202,10,8-31-16 Continue,18,generationtime,1.0,Trace
1.2080700048614494,1.0991223793834104,0.20771460544814924,-5.816008952548175,11,8-31-16 Continue,17,generationtime,1.0,Trace
2.3321280991735533,1.5271306752120308,0.28860057043637016,-8.080815972218359,12,8-31-16 Continue,16,generationtime,1.0,Trace
1.306724762863447,1.1431206248088812,0.21958939750794879,2.1820826146804895,1,8-31-16 Continue,27,length_birth,1.0,Trace
1.8767470180088597,1.3699441660187688,0.26316139128876787,2.615062035340588,2,8-31-16 Continue,26,length_birth,1.0,Trace
1.1876512419178384,1.0897941282269044,0.20934556759052098,2.080288614495421,3,8-31-16 Continue,25,length_birth,1.0,Trace
1.177436585586802,1.0850975004979055,0.2084433621443526,2.071323305417223,4,8-31-16 Continue,24,length_birth,1.0,Trace
