0,2.6678
0.05,2.7796
0.1,2.7711
0.15,2.9807
0.2,3.0516
0.25,3.0317
0.3,3.3931
0.35,3.354
0.4,3.5035
0.45,3.689
0.5,3.956
0.55,4.1089
0.6,4.1908
0.65,4.5444
0.7,2.0972
0.75,2.2686
0.8,2.2005
0.85,2.3053
0.9,2.3082
0.95,2.3532
1,2.4322
1.05,2.5272
1.1,2.7521
1.15,2.6763
1.2,2.971
1.3,3.3161
1.35,3.318
1.4,3.5732
1.45,3.7481
1.5,3.7631
1.55,4.113
1.6,4.4941
1.65,4.4327
1.7,5.0492
1.75,5.3826
1.8,5.7217
1.85,6.1843
1.5,2.1346
1.55,1.9219
1.6,2.138
1.65,2.1658
1.7,2.2164
1.75,2.2461
1.8,2.3109
1.9,2.638
1.95,2.678
2,2.9125
2.05,3.17
2.1,3.2708
2.15,3.7668
2.2,3.7887
2.25,3.6559
2.3,3.9465
2.35,4.2549
2.4,4.4863
2.35,2.3194
2.4,2.5061
2.45,2.736
2.5,2.6216
2.55,2.749
2.6,2.7255
2.65,2.765
2.7,2.9573
2.75,3.0456
2.8,3.3129
2.85,3.3202
2.9,3.5315
2.95,3.624
3,3.5255
3.05,3.8771
3.1,3.8928
3.15,4.4205
3.2,2.1329
3.25,2.3466
3.3,2.3837
3.35,2.3915
3.4,2.5886
3.45,2.6898
3.5,2.8492
3.55,2.8232
3.6,2.9149
3.7,3.0903
3.75,3.2729
3.8,3.2899
3.85,3.496
3.9,3.7381
3.95,3.9409
4,4.2522
4.05,4.7718
4.2,3.0242
4.25,3.2786
4.3,3.4257
4.35,3.6213
4.4,3.9057
4.45,3.9858
4.5,4.2721
4.55,4.4381
4.6,4.4985
4.65,4.8275
4.7,5.0758
4.75,5.3722
4.8,2.3257
4.85,2.5358
4.9,2.623
4.95,2.8512
5,2.7619
5.05,3.0488
5.1,3.1705
5.15,3.1192
5.2,3.3185
5.25,3.3771
5.3,3.5473
5.35,3.7644
5.4,3.8679
5.45,4.2143
