dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,2.0,[5 7 9],"[0.4909842459510754, 0.515320069546541, 0.49155322252867034]",[0.49766031 0.49929666 0.50052238],$\Delta$,dfa (short)
Shuffled,2.0,[5 7 9],"[0.526488361038117, 0.5481973335318762, 0.6419074204393702]",[0.51571222 0.57536436 0.62437817],$\Delta$,dfa (short)
Trace,3.0,[5 7 9],"[0.546906611310756, 0.6977736363643091, 0.8663412436816945]",[0.54386449 0.70693642 0.85989547],$\Delta$,dfa (short)
Shuffled,3.0,[5 7 9],"[0.5131478275106703, 0.6484981398846167, 0.712196527929847]",[0.51994009 0.62885714 0.72484605],$\Delta$,dfa (short)
Trace,4.0,[5 7 9],"[0.49069286314699045, 0.5422871229237021, 0.6839676391976476]",[0.47833317 0.57562809 0.66100099],$\Delta$,dfa (short)
Shuffled,4.0,[5 7 9],"[0.33094291160195405, 0.3729880818306026, 0.4402594431144278]",[0.32686667 0.38395796 0.43301446],$\Delta$,dfa (short)
Trace,5.0,[ 5  7  9 11],"[0.42189268587899936, 0.6062351192429889, 0.6675906783383263, 0.7625131856909456]",[0.43948974 0.56180529 0.67489173 0.78132557],$\Delta$,dfa (short)
Shuffled,5.0,[ 5  7  9 11],"[0.4291728690557631, 0.5291015071296563, 0.5994872822167796, 0.6567158608080123]",[0.43391869 0.52038353 0.59602719 0.66424879],$\Delta$,dfa (short)
Trace,1.0,[ 5  7  9 11],"[0.37968672472745907, 0.574953695727366, 0.7163050134584645, 0.7900451057986544]",[0.39590505 0.54374272 0.689159   0.83273005],$\tau$,dfa (short)
Shuffled,1.0,[ 5  7  9 11],"[0.5142277935857317, 0.5596374076839209, 0.7192798021523312, 0.8374135396349852]",[0.49094894 0.60856145 0.71444255 0.81206734],$\tau$,dfa (short)
Trace,2.0,[5 7 9],"[0.5530147162020125, 0.5627089152056783, 0.5947781446470453]",[0.54922426 0.57183389 0.58932639],$\tau$,dfa (short)
Shuffled,2.0,[5 7 9],"[0.43077791312339564, 0.42717720155589806, 0.500817758713439]",[0.4193921  0.45479568 0.4831752 ],$\tau$,dfa (short)
Trace,3.0,[5 7 9],"[0.5115685839983525, 0.7366635153392868, 0.8778681611830167]",[0.51967221 0.71007636 0.8965361 ],$\tau$,dfa (short)
Shuffled,3.0,[5 7 9],"[0.47671279816016804, 0.6606341744453094, 0.6795880070098841]",[0.4936465  0.60884371 0.71210111],$\tau$,dfa (short)
Trace,4.0,[5 7 9],"[0.5369578772904081, 0.6728636468146761, 0.7398896033284306]",[0.54339648 0.65436457 0.75179185],$\tau$,dfa (short)
Shuffled,4.0,[5 7 9],"[0.4937097301496058, 0.5203470587539586, 0.5647955415279892]",[0.49030409 0.52883973 0.5595855 ],$\tau$,dfa (short)
Trace,5.0,[ 5  7  9 11],"[0.38080805721853545, 0.6157280123497404, 0.7500869461111604, 0.9031657533449267]",[0.39732911 0.5717072  0.75024447 0.93206726],$\tau$,dfa (short)
Shuffled,5.0,[ 5  7  9 11],"[0.4539526792306704, 0.6130586122725284, 0.6963231264337962, 0.7316652345610628]",[0.47198828 0.58009264 0.67669845 0.76526538],$\tau$,dfa (short)
Trace,1.0,[ 5  7  9 11],"[0.34185444608460813, 0.4750146315695606, 0.590545270210207, 0.7752990740293825]",[0.33817371 0.47578079 0.61397266 0.75261854],$x_0$,dfa (short)
Shuffled,1.0,[ 5  7  9 11],"[0.395743665004328, 0.6170263286659965, 0.6839413368002882, 0.7984974266383268]",[0.41760478 0.5583154  0.69354637 0.82468762],$x_0$,dfa (short)
Trace,2.0,[5 7 9],"[0.4412709669744094, 0.5235272067635393, 0.6330250775659069]",[0.43684226 0.53602504 0.62453359],$x_0$,dfa (short)
Shuffled,2.0,[5 7 9],"[0.4692866996101564, 0.6121357898093701, 0.6365172574487198]",[0.48156755 0.57624648 0.65891698],$x_0$,dfa (short)
Trace,3.0,[5 7 9],"[0.5102972877717016, 0.5640435787919128, 0.7677265789113793]",[0.49135018 0.61623301 0.72980429],$x_0$,dfa (short)
Shuffled,3.0,[5 7 9],"[0.4499637964753686, 0.6224072895208894, 0.6641177654008138]",[0.46308968 0.58192662 0.69018262],$x_0$,dfa (short)
