variable,kind,value
fold_growth,Trace,0.033144941725227174
division_ratio,Trace,0.13423380557222642
added_length,Trace,0.1182359805375293
generationtime,Trace,0.22288244179474626
length_birth,Trace,0.26996246092163306
length_final,Trace,0.28430659193419
growth_rate,Trace,0.39206309701851877
size_fraction,Trace,0.00914853687258943
fold_growth,Artificial,0.04114195330208049
division_ratio,Artificial,0.04441700940503379
added_length,Artificial,0.03849306119993496
generationtime,Artificial,0.04158939111053375
length_birth,Artificial,0.042842800150131984
length_final,Artificial,0.038712642912648636
growth_rate,Artificial,0.03986017462361282
size_fraction,Artificial,0.04007365917147395
