param1,param2,n,generation,gamma_ta,label
fold_growth,fold_growth,430,0,0.8740383300282321,Trace
fold_growth,fold_growth,430,0,1.0475756898350523,Trace
fold_growth,fold_growth,430,0,1.1648273762467098,Trace
fold_growth,fold_growth,430,0,1.0265846597107169,Trace
fold_growth,fold_growth,430,0,0.9466796294045093,Trace
fold_growth,fold_growth,430,0,0.9976236966541167,Trace
fold_growth,fold_growth,430,0,0.9633191081862739,Trace
fold_growth,fold_growth,430,0,0.9910571829023046,Trace
fold_growth,fold_growth,430,0,0.9787182087056977,Trace
fold_growth,fold_growth,430,0,1.137816711738633,Trace
fold_growth,fold_growth,430,0,0.9810074122116349,Trace
fold_growth,fold_growth,430,0,0.9894388786746328,Trace
fold_growth,fold_growth,430,0,0.9146926098610165,Trace
fold_growth,fold_growth,430,0,0.9691719501007992,Trace
fold_growth,fold_growth,430,0,0.9717320354429703,Trace
fold_growth,fold_growth,430,0,0.9490596050649353,Trace
fold_growth,fold_growth,430,0,0.8816645956634339,Trace
fold_growth,fold_growth,430,0,0.9347685118822938,Trace
fold_growth,fold_growth,430,0,0.8751891385669875,Trace
fold_growth,fold_growth,430,0,1.138950542645446,Trace
fold_growth,division_ratio,430,0,-0.2685834742844796,Trace
fold_growth,division_ratio,430,0,-0.2843421024132406,Trace
fold_growth,division_ratio,430,0,-0.2612967740442374,Trace
fold_growth,division_ratio,430,0,-0.1936604802620836,Trace
fold_growth,division_ratio,430,0,-0.14116225512177946,Trace
fold_growth,division_ratio,430,0,-0.22723184253137738,Trace
fold_growth,division_ratio,430,0,-0.26196696720339346,Trace
fold_growth,division_ratio,430,0,-0.2960259893638083,Trace
fold_growth,division_ratio,430,0,-0.2599413780309097,Trace
fold_growth,division_ratio,430,0,-0.332654540829965,Trace
fold_growth,division_ratio,430,0,-0.19781098504848046,Trace
fold_growth,division_ratio,430,0,-0.3142370191526117,Trace
fold_growth,division_ratio,430,0,-0.3457969217661145,Trace
fold_growth,division_ratio,430,0,-0.3481503406764463,Trace
fold_growth,division_ratio,430,0,-0.31270919036009776,Trace
fold_growth,division_ratio,430,0,-0.26555740817382467,Trace
fold_growth,division_ratio,430,0,-0.3037594978031574,Trace
fold_growth,division_ratio,430,0,-0.17793951397161567,Trace
fold_growth,division_ratio,430,0,-0.28507623414009275,Trace
fold_growth,division_ratio,430,0,-0.31419043681527853,Trace
fold_growth,added_length,430,0,0.659340056967892,Trace
fold_growth,added_length,430,0,0.5690710698527095,Trace
fold_growth,added_length,430,0,0.7680356841512207,Trace
fold_growth,added_length,430,0,0.7874529406922606,Trace
fold_growth,added_length,430,0,0.6938586951965416,Trace
fold_growth,added_length,430,0,0.7184464584900759,Trace
fold_growth,added_length,430,0,0.7368646623001378,Trace
fold_growth,added_length,430,0,0.6522908317422588,Trace
fold_growth,added_length,430,0,0.6879651786764708,Trace
fold_growth,added_length,430,0,0.6635936102281446,Trace
