fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,dataset,trap_ID,trace,lineage_ID,max_gen,generation
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,0
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,1
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,2
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,3
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,4
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,5
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,6
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,7
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,8
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,9
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,10
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,11
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,12
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,13
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,14
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,15
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,16
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,17
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,18
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,19
0.6651485983855439,0.5090057029407716,2.206282271367576,0.45476190476190487,2.335172281043862,4.541454552411437,1.4744627007110338,CTRL,216,A,431.0,21,20
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,0
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,1
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,2
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,3
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,4
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,5
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,6
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,7
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,8
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,9
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,10
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,11
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,12
0.6743746114730746,0.5120596296627211,2.642077823490504,0.5404761904761909,2.7437860666895184,5.385863890180023,1.2566985312036014,CTRL,216,B,431.0,21,13
