variable_a,variable_b,AB_parameter_pair,covariance,correlation,kind,correlation error of average from theory,dataset,corr difference between data and model,cov difference between data and model
fold_growth,fold_growth,$\phi$,0.0014986578367586515,0.07906616729395062,physical_units,,SL,-0.0010350584155842668,-1.9618990765687917e-05
fold_growth,fold_growth,$\delta \phi$,0.0012477063567727976,0.06582647294040793,trace_centered,,SL,-0.0010350584155842668,-1.9618990765687917e-05
fold_growth,fold_growth,$\overline{\phi}$,0.000231332489220166,0.012204635937958428,time_averages,,SL,-0.0010350584155842668,-1.9618990765687917e-05
fold_growth,fold_growth,$\phi$,0.0014790388459929636,0.07803110887836635,model,,SL,-0.0010350584155842668,-1.9618990765687917e-05
division_ratio,division_ratio,$f$,0.00011220980528503849,0.0813427031495168,physical_units,,SL,0.0001729243365406058,2.3854390598010335e-07
division_ratio,division_ratio,$\delta f$,5.616115924283277e-05,0.04071213289442899,trace_centered,,SL,0.0001729243365406058,2.3854390598010335e-07
division_ratio,division_ratio,$\overline{f}$,5.628718994818583e-05,0.040803494591628416,time_averages,,SL,0.0001729243365406058,2.3854390598010335e-07
division_ratio,division_ratio,$f$,0.0001124483491910186,0.08151562748605741,model,,SL,0.0001729243365406058,2.3854390598010335e-07
added_length,added_length,$\Delta$,0.05099510273337694,0.14673213116278616,physical_units,,SL,-0.0012002191283478902,-0.00041712266609665594
added_length,added_length,$\delta \Delta$,0.016135676259476227,0.04642842230722837,trace_centered,,SL,-0.0012002191283478902,-0.00041712266609665594
added_length,added_length,$\overline{\Delta}$,0.03444230380780406,0.09910348972720989,time_averages,,SL,-0.0012002191283478902,-0.00041712266609665594
added_length,added_length,$\Delta$,0.05057798006728029,0.14553191203443827,model,,SL,-0.0012002191283478902,-0.00041712266609665594
generationtime,generationtime,$\tau$,0.004685324844730125,0.2969484581034509,physical_units,,SL,-0.0013538358203767364,-2.1361150165281374e-05
generationtime,generationtime,$\delta \tau$,0.0012151487512734806,0.07701420072566559,trace_centered,,SL,-0.0013538358203767364,-2.1361150165281374e-05
generationtime,generationtime,$\overline{\tau}$,0.0034488149432913623,0.21858042155740853,time_averages,,SL,-0.0013538358203767364,-2.1361150165281374e-05
generationtime,generationtime,$\tau$,0.004663963694564843,0.29559462228307415,model,,SL,-0.0013538358203767364,-2.1361150165281374e-05
length_birth,length_birth,$x_0$,0.045385423447831155,0.20755274424821998,physical_units,,SL,0.0012842921674181274,0.00028083533205080363
length_birth,length_birth,$\delta x_0$,0.01509137161575773,0.06901457241928394,trace_centered,,SL,0.0012842921674181274,0.00028083533205080363
length_birth,length_birth,$\overline{x_0}$,0.03057488716412423,0.13982246399635417,time_averages,,SL,0.0012842921674181274,0.00028083533205080363
length_birth,length_birth,$x_0$,0.04566625877988196,0.2088370364156381,model,,SL,0.0012842921674181274,0.00028083533205080363
length_final,length_final,$x_\tau$,0.15137618887413307,0.20955593872832945,physical_units,,SL,-0.0008829373881014402,-0.0006378043859618376
length_final,length_final,$\delta x_\tau$,0.03477946721072739,0.048146567528365984,trace_centered,,SL,-0.0008829373881014402,-0.0006378043859618376
length_final,length_final,$\overline{x_\tau}$,0.11595891727744385,0.16052643381186202,time_averages,,SL,-0.0008829373881014402,-0.0006378043859618376
length_final,length_final,$x_\tau$,0.15073838448817123,0.208673001340228,model,,SL,-0.0008829373881014402,-0.0006378043859618376
growth_rate,growth_rate,$\alpha$,0.017300412181431683,0.37297522254150456,physical_units,,SL,-0.00038499713248624223,-1.785804707158528e-05
growth_rate,growth_rate,$\delta \alpha$,0.00255964570944135,0.05518275623114608,trace_centered,,SL,-0.00038499713248624223,-1.785804707158528e-05
growth_rate,growth_rate,$\overline{\alpha}$,0.014722908424918748,0.3174074691778722,time_averages,,SL,-0.00038499713248624223,-1.785804707158528e-05
growth_rate,growth_rate,$\alpha$,0.017282554134360098,0.3725902254090183,model,,SL,-0.00038499713248624223,-1.785804707158528e-05
fold_growth,fold_growth,$\phi$,-4.5705180778841804e-05,-0.002474510498206338,physical_units,,NL,-0.00014942743675633394,-2.759983445298645e-06
fold_growth,fold_growth,$\delta \phi$,-0.00022010778498462305,-0.01191678963741307,trace_centered,,NL,-0.00014942743675633394,-2.759983445298645e-06
fold_growth,fold_growth,$\overline{\phi}$,0.0001716426207604826,0.009292851702450398,time_averages,,NL,-0.00014942743675633394,-2.759983445298645e-06
fold_growth,fold_growth,$\phi$,-4.846516422414045e-05,-0.0026239379349626718,model,,NL,-0.00014942743675633394,-2.759983445298645e-06
division_ratio,division_ratio,$f$,3.0342447006915e-05,0.02761569695131222,physical_units,,NL,0.000358608245278242,3.940169135612125e-07
division_ratio,division_ratio,$\delta f$,-1.4141420438278917e-05,-0.012870589547230759,trace_centered,,NL,0.000358608245278242,3.940169135612125e-07
division_ratio,division_ratio,$\overline{f}$,4.487788435875513e-05,0.04084489474382122,time_averages,,NL,0.000358608245278242,3.940169135612125e-07
division_ratio,division_ratio,$f$,3.073646392047621e-05,0.02797430519659046,model,,NL,0.000358608245278242,3.940169135612125e-07
added_length,added_length,$\Delta$,0.029161581994892313,0.07764315465459896,physical_units,,NL,2.114045342042903e-05,7.940031140823978e-06
added_length,added_length,$\delta \Delta$,-0.003662828343980637,-0.009752336057582509,trace_centered,,NL,2.114045342042903e-05,7.940031140823978e-06
added_length,added_length,$\overline{\Delta}$,0.03283235037001377,0.0874166311656019,time_averages,,NL,2.114045342042903e-05,7.940031140823978e-06
added_length,added_length,$\Delta$,0.029169522026033137,0.0776642951080194,model,,NL,2.114045342042903e-05,7.940031140823978e-06
generationtime,generationtime,$\tau$,0.0034097196508412106,0.20306128919054084,physical_units,,NL,-0.0004150599868509297,-6.969512500807316e-06
generationtime,generationtime,$\delta \tau$,0.0003861408275226477,0.022996100053711617,trace_centered,,NL,-0.0004150599868509297,-6.969512500807316e-06
generationtime,generationtime,$\overline{\tau}$,0.0030166093108177556,0.1796501291499783,time_averages,,NL,-0.0004150599868509297,-6.969512500807316e-06
generationtime,generationtime,$\tau$,0.0034027501383404033,0.2026462292036899,model,,NL,-0.0004150599868509297,-6.969512500807316e-06
length_birth,length_birth,$x_0$,0.028539636665438874,0.13989097440420753,physical_units,,NL,0.0012823711385323289,0.00026162092672404533
length_birth,length_birth,$\delta x_0$,-0.0026829529256350774,-0.013150864653516035,trace_centered,,NL,0.0012823711385323289,0.00026162092672404533
length_birth,length_birth,$\overline{x_0}$,0.031484210517798,0.15432421019625592,time_averages,,NL,0.0012823711385323289,0.00026162092672404533
length_birth,length_birth,$x_0$,0.02880125759216292,0.14117334554273986,model,,NL,0.0012823711385323289,0.00026162092672404533
length_final,length_final,$x_\tau$,0.12219042206147154,0.19102251000652687,physical_units,,NL,0.0010207046303321587,0.0006529090711671764
length_final,length_final,$\delta x_\tau$,-0.0014235450043082036,-0.002225453805973459,trace_centered,,NL,0.0010207046303321587,0.0006529090711671764
length_final,length_final,$\overline{x_\tau}$,0.12426687613694692,0.1942686684428325,time_averages,,NL,0.0010207046303321587,0.0006529090711671764
length_final,length_final,$x_\tau$,0.12284333113263872,0.19204321463685903,model,,NL,0.0010207046303321587,0.0006529090711671764
growth_rate,growth_rate,$\alpha$,0.012727447360141527,0.3236112243831089,physical_units,,NL,0.0006790873819140231,2.6708124610705722e-05
growth_rate,growth_rate,$\delta \alpha$,0.00019449047193245456,0.004945162841530733,trace_centered,,NL,0.0006790873819140231,2.6708124610705722e-05
growth_rate,growth_rate,$\overline{\alpha}$,0.012559665012819778,0.3193451489234922,time_averages,,NL,0.0006790873819140231,2.6708124610705722e-05
