intercept,slope,std_error,variable,lineage,kind
1.8935521397643742,-0.15877177747639035,0.10354145984648992,div_then_fold,3.0,Trace
2.115360541494462,-0.15490178605590554,0.09324062376748292,div_and_fold,3.0,Trace
1.454554985764583,0.0027567403443811886,0.08651389153022049,fold_then_div,3.0,Trace
2.0971933494126933,-0.14181025076793474,0.07757136881980932,fold_growth,3.0,Trace
2.18043637424125,-0.08970635164119554,0.09902037546732442,division_ratio,3.0,Trace
2.1803220218698565,-0.1688978591576266,0.10135325821400877,added_length,3.0,Trace
1.8771955813836878,-0.1085864999485733,0.121532277402154,generationtime,3.0,Trace
1.7710858515120877,0.005529291864143899,0.12669354651765152,length_birth,3.0,Trace
2.1305369574932276,-0.1587206714150087,0.19556379764047355,length_final,3.0,Trace
1.786936796062749,0.05393201096009361,0.10621077425210393,growth_rate,3.0,Trace
2.3091189577381837,-0.19742072356355783,0.10896136318469536,div_then_fold,4.0,Trace
2.2054857585277183,-0.15795116317086355,0.13049801670406305,div_and_fold,4.0,Trace
1.865781056615988,-0.1047909756449689,0.11004762209529828,fold_then_div,4.0,Trace
1.4505966123824778,0.07596646860658786,0.10138104924688714,fold_growth,4.0,Trace
0.983158216907872,0.4209666521632714,0.09677673830521331,division_ratio,4.0,Trace
1.8058112608295922,-0.014018483457079465,0.10328647812288716,added_length,4.0,Trace
1.9895512028380409,-0.1576256529478474,0.08058231017534588,generationtime,4.0,Trace
0.8489424376534718,0.2491515175137935,0.07244270300704937,length_birth,4.0,Trace
1.5349834888871132,-0.008731983534594978,0.10334452754279677,length_final,4.0,Trace
1.0055686659764724,0.44272006660358615,0.06773596047411733,growth_rate,4.0,Trace
2.181354450877996,-0.06465167468873317,0.14399323278751908,div_then_fold,5.0,Trace
2.385892303141774,-0.1402657574876952,0.16855935580462314,div_and_fold,5.0,Trace
2.098026688510521,-0.05586049553173754,0.13357362794608457,fold_then_div,5.0,Trace
2.4284675701382,-0.11601608440844594,0.12685829937998674,fold_growth,5.0,Trace
1.2352765961384136,0.2944642308944371,0.07053277808893675,division_ratio,5.0,Trace
2.153986977734199,-0.08081379125295994,0.14166323786866514,added_length,5.0,Trace
2.233156276798008,-0.06864273229804099,0.09451532054111311,generationtime,5.0,Trace
1.2762250858877477,0.17823515803489623,0.09715505319488435,length_birth,5.0,Trace
1.3507115786233508,0.14189495975968577,0.11534994376925024,length_final,5.0,Trace
1.9505543752282557,-0.013456935121884887,0.13787128534852147,growth_rate,5.0,Trace
2.1927632695378727,0.005885756786215926,0.07435586651937852,div_then_fold,6.0,Trace
2.3242201786751115,-0.06935126196378275,0.0575670442381671,div_and_fold,6.0,Trace
2.213094075352922,-0.02033903465651091,0.07178259410321124,fold_then_div,6.0,Trace
1.802245074902266,0.09395712952571915,0.03910230501929063,fold_growth,6.0,Trace
1.635781491515717,0.07719394497947293,0.06395880622655342,division_ratio,6.0,Trace
1.5024878504547272,0.21802766079141908,0.04136379889191401,added_length,6.0,Trace
2.168842827192079,-0.030518692265505555,0.09672147478117633,generationtime,6.0,Trace
1.4508222081337117,0.2316154029252737,0.11206043185956943,length_birth,6.0,Trace
1.0373266701597308,0.4520625368743729,0.05593820069605341,length_final,6.0,Trace
1.2949711704236977,0.3302719739191417,0.0665057204064538,growth_rate,6.0,Trace
2.4126319396400686,-0.295239509494253,0.22000399026669104,div_then_fold,9.0,Trace
2.4033275887885246,-0.2401909081649325,0.1803866843199716,div_and_fold,9.0,Trace
2.1707726296424097,-0.16441089114618898,0.22224974119138344,fold_then_div,9.0,Trace
2.47567768975575,-0.2578430732515408,0.17000868496572763,fold_growth,9.0,Trace
1.7124778083957366,-0.06787296960802852,0.10346953329473921,division_ratio,9.0,Trace
1.927220314621718,-0.06560825534450543,0.13773354077698705,added_length,9.0,Trace
2.080669351032861,-0.06502801246424189,0.04529270205525302,generationtime,9.0,Trace
0.7138027336484456,0.5467284344570197,0.08418007951073754,length_birth,9.0,Trace
0.8749243815240257,0.43108545792607683,0.06159772263144595,length_final,9.0,Trace
1.55867253175038,0.011778933944371284,0.1081494824021428,growth_rate,9.0,Trace
2.83192915916625,-0.2921589347527986,0.1398873804026945,div_then_fold,10.0,Trace
2.7636849977408118,-0.22586994150963854,0.14396520042247712,div_and_fold,10.0,Trace
2.8288089454194676,-0.365875015943552,0.1967434790286944,fold_then_div,10.0,Trace
2.745250869172438,-0.204970279328028,0.0646571933650883,fold_growth,10.0,Trace
2.1383607256657875,-0.07115931795732253,0.057456685758346664,division_ratio,10.0,Trace
2.545196863081273,-0.17250315213314155,0.09010569121135946,added_length,10.0,Trace
2.443074480648152,-0.1385711183808737,0.10262693214942241,generationtime,10.0,Trace
1.6934683837476125,-0.049718598890546334,0.12384155677719087,length_birth,10.0,Trace
1.7189065338606637,0.01736105625860236,0.19852115367799958,length_final,10.0,Trace
1.2839236252449977,0.17154544863246116,0.16784460628366127,growth_rate,10.0,Trace
2.43767230992733,-0.16192338193904038,0.06841427443868517,div_then_fold,11.0,Trace
2.3481305800662406,-0.10422499330285924,0.06426410401434753,div_and_fold,11.0,Trace
2.2750034033359956,-0.07532355426679728,0.1041232703583671,fold_then_div,11.0,Trace
1.9588958261724114,-0.019498638787989152,0.08776776445865693,fold_growth,11.0,Trace
1.6045403070445634,0.1907584466227994,0.11927276960401105,division_ratio,11.0,Trace
1.317125703318514,0.07940375924863528,0.07000603298323727,added_length,11.0,Trace
1.8955552068247858,0.0022666581571827195,0.09797692797481664,generationtime,11.0,Trace
