time division length width area intensity CMx CMy
0 0 154.353 9.0248 1393 113.174 965.822 417.915
1 0 157.177 9.53065 1498 113.387 965.213 416.212
2 0 164.276 10.3971 1708 115.535 964.945 407.241
3 0 171.247 12.3331 2112 110.766 964.526 406.465
4 0 177.225 12.3008 2180 110.42 964.898 405.113
5 0 182.283 11.8826 2166 111.284 964.765 404.256
6 0 188.251 10.7091 2016 113.322 965.927 403.854
7 0 192.306 10.9045 2097 113.632 966.022 399.255
8 0 201.231 10.9029 2194 114.896 966.653 395.201
9 0 208.342 10.8044 2251 116.112 966.654 387.864
10 0 215.325 11.8611 2554 115.694 965.583 387.41
11 0 219.338 10.2673 2252 120.553 966.011 381.32
12 0 228.236 13.2538 3025 113.98 968.079 381.146
13 0 236.322 13.4351 3175 113.039 967.758 376.004
14 0 244.383 12.5172 3059 115.78 968.086 367.581
15 0 253.499 12.3038 3119 116.074 967.799 363.938
16 1 70.1919 10.8987 765 96.9712 967.507 459.031
17 0 71.0916 10.3528 736 96.1046 966.594 463.185
18 0 74.0556 11.3428 840 94.7893 966.28 459.749
19 0 76.1201 12.1518 925 94.0151 966.305 459.448
20 0 79.0798 10.6854 845 96.7822 965.88 458.285
21 0 80.094 11.2118 898 96.471 966.326 456.458
22 0 84.0615 11.4678 964 96.1131 966.228 455.926
23 0 83.0986 10.3371 859 100.271 965.779 455.005
24 0 86.0648 11.7353 1010 98.8307 965.627 453.516
25 0 85.1072 9.9874 850 102.276 966.419 453.036
26 0 88.1293 10.3598 913 102.189 966.552 453.083
27 0 91.1047 10.0544 916 103.49 965.329 449.65
28 0 94.0935 10.7765 1014 103.381 967.034 446.366
29 0 96.1436 10.9004 1048 104.222 966.507 444.196
30 0 101.213 11.7178 1186 102.145 966.067 444.999
31 1 118.112 13.3517 1577 94.1814 966.244 433.01
32 0 112.223 12.5465 1408 99.2237 966.397 433.313
33 0 111.155 12.0642 1341 101.995 965.834 435.005
34 1 63.0599 11.3067 713 106.717 966.137 452.965
35 0 72.0476 12.4779 899 100.344 966.464 455.709
36 0 72.0865 12.0272 867 100.588 964.958 452.035
37 0 78.0289 11.8674 926 102.582 965.319 417.643
38 0 75.0389 12.8733 966 102.64 965.046 412.379
39 0 81.041 12.6356 1024 100.57 964.941 420.028
40 0 80.0461 11.7432 940 102.18 965.174 428.395
41 0 81.117 12.4758 1012 102.558 965.713 427.2
42 0 83.0891 13.2388 1100 100.752 966.753 428.883
43 0 82.1064 11.4851 943 104.864 965.887 438.39
44 0 87.1572 13.2175 1152 99.7318 966.545 440.873
45 0 90.125 12.6047 1136 101.847 965.885 440.471
46 0 91.1059 12.6995 1157 101.419 966.305 443.436
47 0 94.0994 12.9544 1219 101.79 965.555 439.826
48 0 97.0839 12.6901 1232 102.489 965.525 437.511
49 0 101.167 12.9984 1315 102.25 965.706 437.17
50 0 101.202 12.7666 1292 104.21 965.858 433.563
51 0 104.096 12.5942 1311 105.355 965.592 430.91
52 0 105.229 12.3065 1295 106.239 965.955 433.715
53 0 111.115 14.4175 1602 101.615 966.246 432.064
54 0 111.14 13.1905 1466 105.422 966.799 431.735
55 0 116.19 13.28 1543 105.524 966.558 429.546
56 0 120.359 14.0995 1697 103.711 966.682 425.264
57 0 121.091 13.1802 1596 107.541 965.971 423.03
58 0 131.139 13.2074 1732 105.401 966.719 426.977
59 0 132.249 13.8981 1838 105.287 966.887 420.394
60 0 139.204 14.037 1954 104.636 966.329 417.455
61 0 144.165 14.6707 2115 103.352 966.322 416.389
62 0 148.263 14.272 2116 104.027 966.712 417.258
63 1 83.2411 11.9052 991 107.087 966.318 444.803
64 0 88.115 12.4269 1095 103.68 967.159 447.348
65 0 90.2076 13.8015 1245 102.097 968.163 440.689
66 0 91.1809 13.1058 1195 104.1 967.608 440.849
67 0 95.102 12.618 1200 104.396 967.856 440.91
68 0 97.3146 13.369 1301 103.656 967.357 437.293
69 0 99.2764 13.2055 1311 105.005 967.449 437.827
70 0 99.0797 12.0408 1193 109.205 967.498 433.334
71 0 107.309 12.916 1386 106.007 967.706 435.222
72 0 111.153 12.6042 1401 107.381 966.948 429.61
