div_then_fold,div_and_fold,fold_then_div,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,dataset,trap_ID,trace,lineage_ID,generation
,,-0.056546036104852315,-0.06301029637085875,,-0.4224693671965851,-0.12647058823529433,-0.08573388272358917,-0.5082032499201734,0.17598728268964936,NL,1,A,1.0,0.0
,0.04646198684979247,0.1243040563726654,0.08656473989246516,0.004791474160512399,0.2636497269977345,-0.026470588235294246,-0.24900432695628583,0.014645400041449541,0.20334797491163115,NL,1,A,1.0,1.0
-0.01043529354910766,0.0071931091248722545,0.0749786607865679,-0.0067602085678570845,0.0181671020236428,0.06355212470963822,-0.07647058823529429,0.09971322093188517,0.16326534564152428,0.1539608027544188,NL,1,A,1.0,2.0
0.15962063616703293,0.09763721153601196,0.14676569826518904,0.12479684988644868,0.044458152260953065,1.204483820753257,0.07352941176470562,0.3377865818649224,1.54227040261818,0.050993182958633865,NL,1,A,1.0,3.0
-0.07052739345536951,-0.06990955780424235,-0.10512067038306483,-0.14290191582587164,0.008486683547886287,-0.19963080532428457,-0.1264705882352941,0.8357298602715675,0.6360990549472838,-0.0015496494326019405,NL,1,A,1.0,4.0
-0.09598232278679253,-0.043486101287218304,-0.062179227925324265,-0.10340569981105407,0.01895301512312708,-0.24163067785024062,-0.026470588235294024,0.4335860597831962,0.19195538193295647,-0.14205282454931334,NL,1,A,1.0,5.0
-0.040566062816105086,-0.020512151426868075,-0.0275253886698249,-0.06447479605327888,0.02284403016562464,-0.17516942103307542,0.023529411764705355,0.2220061430170892,0.04683672198401467,-0.1627701889674682,NL,1,A,1.0,6.0
-0.023774626145809608,-0.016128767052382864,-0.007684944772371027,-0.054613779195673895,0.021411913943665817,-0.18906206514623536,0.07352941176470518,0.13604388210526297,-0.0530181830409715,-0.22502316947540024,NL,1,A,1.0,7.0
-0.106502242091293,-0.05842766739941119,-0.18361339109135277,-0.13957182560689063,0.026929253532223973,-0.6799884114623937,-0.07647058823529429,0.11516863058577353,-0.5648197808766193,-0.11166243132364828,NL,1,A,1.0,8.0
-0.006779369622431863,-0.042549258412986235,-0.01978283123578295,-0.04514770111824784,-0.029064499363695817,-0.6480155532674119,0.023529411764705355,-0.45888442264101537,-1.1068999759084264,-0.13055836407574972,NL,1,A,1.0,9.0
-0.09024139834586442,-0.0027158766783463295,-0.0646485187302337,-0.02208243693239753,0.015376003118774961,-0.5797926218170804,-0.026470588235294468,-0.5069413933949725,-1.086734015212052,0.005807653411881386,NL,1,A,1.0,10.0
0.6386651229665086,0.21749100324282977,0.5642537194907633,0.47346464563278734,-0.020130529872403213,2.1666049426999052,0.4235294117647057,-0.6672965247344216,1.4993084179654845,-0.027434380783490475,NL,1,A,1.0,11.0
-0.15219292904951898,-0.06387265960615301,-0.13430319436406235,-0.11021835616383102,-0.011105408239275416,-0.1074782729655217,-0.12647058823529322,0.66841672730797,0.5609384543424492,0.07108048314970783,NL,1,A,1.0,12.0
-0.11062652860604005,-0.05148377312553576,-0.12333280542114744,-0.08110548148090913,-0.014781616736552206,-0.31024284946324077,-0.07647058823529429,0.17575078647880105,-0.13449206298443883,0.005270256928314732,NL,1,A,1.0,13.0
0.07534418034941637,0.03907697800202775,-0.025086928637469308,0.11430227257877767,-0.02291645997981845,0.46910082835489275,0.07352941176470607,-0.21611845781987382,0.2529823705350198,0.03484767940836986,NL,1,A,1.0,14.0
-0.11652506514119787,-0.07300611004022284,-0.1004781975797,-0.06376837377603162,-0.06460205873924973,-0.5909241020558622,-0.12647058823529322,-0.2836379077566247,-0.874562009812486,0.17430266623370638,NL,1,A,1.0,15.0
-0.049476707873426506,0.03423163407783303,,0.09793236291242224,-0.018817054945417244,-0.022987295933506235,0.12352941176470678,-0.5565849763196895,-0.5795722722531949,-0.07454697383864306,NL,1,A,1.0,16.0
,,-0.06998198724692273,-0.1066183624776681,,-0.4129001818730207,-0.25625,0.21673576871366196,-0.19616441315935784,0.47614334862899255,NL,1,B,2.0,0.0
,0.030236090301940577,-0.02850720622497349,0.04055785459494121,0.01836980827912238,0.1924157754673672,-0.10624999999999996,-0.042932979346367084,0.14948279612100102,0.28299517215944925,NL,1,B,2.0,1.0
0.1554551686035649,0.03156609956117551,0.10725569775001698,0.1210246138992569,-0.032427913589675506,0.539907339931808,-0.05625000000000013,-0.16195376576876042,0.3779535741630484,0.29912983826611494,NL,1,B,2.0,2.0
-0.14062910429316844,-0.04439780304289276,-0.11467366221639286,-0.07325672573826758,-0.007425964152290299,-0.3235788329240812,-0.15625000000000022,0.09771584572505176,-0.22586298719902853,0.18916875574265224,NL,1,B,2.0,3.0
-0.09278099825724895,-0.05269934217446848,-0.038395712065164456,-0.07082347992266458,-0.023144074022088457,-0.6294256790498949,-0.10624999999999996,-0.2867264104103091,-0.9161520894602031,0.06023250312423767,NL,1,B,2.0,4.0
-0.03141244562280732,0.022634864153518786,0.040218868584388945,0.027276584081344923,0.017367179992974324,-0.2710437309723912,0.09375000000000022,-0.4216335508909581,-0.6926772818633484,-0.1450791739779731,NL,1,B,2.0,5.0
0.16408601143750146,0.06844469176445778,0.09324343356875353,0.1304244701418651,0.007873849999536553,0.3602108404023108,0.24375000000000013,-0.3536030277768214,0.006607812625490261,-0.20086628086716818,NL,1,B,2.0,6.0
0.163646360210134,0.05609081631309493,0.18387743766100417,0.14853226155338606,-0.018302681477867344,0.7281490268328485,0.24375000000000058,-0.1479007123433198,0.5802483144895296,-0.17956299685361465,NL,1,B,2.0,7.0
