time division length width area intensity CMx CMy
0 0 42.0411 11.7028 492 76.6687 679.726 575.846
1 0 43.108 9.88215 426 80.6244 679.5 575.54
2 0 43.1487 10.6376 459 79.5142 679.584 575.373
3 0 44.0981 11.0889 489 81.3517 679.734 573.763
4 0 46.1528 12.0686 557 78.8707 679.348 572.743
5 0 48.0921 12.6216 607 79.4036 679.949 571.621
6 0 50.0436 13.4283 672 76.4018 679.991 571.634
7 0 50.1049 12.9329 648 77.588 679.748 571.133
8 0 52.0715 13.4047 698 76.8009 680.295 570.393
9 0 54.0533 13.7272 742 76.8019 680.123 569.313
10 0 56.1088 13.153 738 77.6734 680.103 569.377
11 0 57.0666 13.3879 764 78.61 680.329 568.601
12 0 58.0374 13.0088 755 79.4477 680.554 566.213
13 0 62.0855 13.8035 857 75.9405 680.45 567.23
14 0 64.1169 13.2882 852 77.9308 680.496 564.815
15 0 64.0867 13.5597 869 78.7273 680.574 563.917
16 0 68.1246 14.4148 982 76.113 680.773 562.64
17 0 71.0652 14.2404 1012 76.3083 679.884 560.554
18 0 74.0492 14.1122 1045 74.9512 679.863 560.839
19 0 74.115 13.8838 1029 76.0214 680.194 558.783
20 0 78.1151 14.6067 1141 74.4741 680.082 557.429
21 0 79.1153 13.4866 1067 76.6298 679.86 556.681
22 0 83.0841 14.6839 1220 74.4025 679.77 553.918
23 0 86.2582 14.2131 1226 75.3597 680.475 554.517
24 0 89.1536 14.0656 1254 75.559 680.073 552.717
25 0 91.1699 14.4017 1313 75.1554 680.069 550.508
26 0 93.1268 14.0776 1311 75.6514 680.584 551.221
27 0 96.0707 14.1875 1363 75.9222 680.687 547.538
28 1 52.1309 12.4494 649 74.8814 680.652 569.328
29 0 54.1682 12.3504 669 73.9447 681.765 569.257
30 0 54.1383 12.3388 668 75.3787 681.415 568.593
31 0 57.1592 12.8763 736 73.9321 681.874 567.503
32 0 60.0649 13.0026 781 72.3227 681.617 568.14
33 0 59.0722 13.5597 801 72.8439 682.154 565.232
34 0 63.0492 12.863 811 73.5808 681.908 563.57
35 0 64.0673 13.8448 887 71.9256 682.127 564.047
36 0 66.14 13.7889 912 72.5702 682.453 562.377
37 0 68.0793 13.6459 929 72.9236 682.078 562.245
38 0 70.1318 13.9737 980 72.5122 682.19 560.02
39 0 73.2313 14.2016 1040 71.7058 682.042 560.827
40 0 75.1678 13.4765 1013 73.1027 682.288 557.651
41 0 79.148 13.8475 1096 71.9407 682.163 556.953
42 0 82.3295 13.6525 1124 71.8754 682.149 555.844
43 0 85.2299 13.7745 1174 71.856 681.975 553.344
44 1 43.1391 10.8255 467 72.7238 681.961 574.902
45 0 44.1962 10.2498 453 72.6291 682.02 575.084
46 0 45.2009 11.2829 510 71.5843 682.578 573.951
47 0 46.1555 11.9596 552 71.971 682.643 572.185
48 0 48.2795 11.8684 573 71.2356 682.12 572.279
49 0 48.1459 11.7352 565 72.7575 682.568 570.2
50 0 50.0097 12.6376 632 71.2136 682.585 571.579
51 0 53.0732 13.5285 718 69.7228 682.681 569.674
52 0 55.0687 12.1303 668 71.7006 682.93 567.966
53 0 55.116 12.2832 677 72.6115 682.802 568.369
54 0 58.051 12.4718 724 71.3854 681.797 567.649
55 0 61.1398 13.0357 797 62.8896 682.105 566.077
56 0 62.0702 12.6792 787 64.4765 681.971 566.712
57 0 62.1102 12.5422 779 65.0347 682.193 564.083
58 0 66.12 12.5681 831 64.0842 681.927 565.247
59 0 67.1948 12.62 848 64.7276 682.037 564.468
60 0 69.2723 12.6169 874 66.3616 681.831 561.666
61 0 70.2255 13.2858 933 66.8414 682.355 558.777
62 0 74.3134 12.6357 939 66.9308 682.112 558.471
63 1 38.2239 10.8309 414 66.7512 681.442 577.604
64 0 38.0646 11.139 424 67.6863 681.939 576.212
65 0 40.1979 10.7717 433 68.485 681.804 575.259
66 0 42.1546 12.2644 517 66.1992 682.36 574.451
67 0 42.0482 12.7473 536 65.069 683.062 574.198
68 0 45.0389 12.7667 575 65.52 683.057 572.567
69 0 44.0393 12.8522 566 66.0035 682.892 572.47
70 0 46.0192 13.4074 617 64.94 682.322 572.917
71 0 48.0397 13.1558 632 65.4335 683.021 571.215
72 0 48.0183 12.995 624 66.5497 683.369 570.497
73 0 50.0476 12.7079 636 67.3538 683.712 568.97
74 0 51.0439 13.5765 693 66.2929 683.333 568.387
75 0 53.0571 13.0049 690 68.1478 684.109 566.545
76 0 55.0474 13.4611 741 66.8097 684.935 566.206
77 0 55.1936 13.1718 727 67.8569 685.186 565.864
78 0 58.0594 13.8134 802 66.8404 684.657 563.596
79 0 61.1163 13.2862 812 67.6515 685.011 562.336
80 0 63.2942 13.066 827 67.5998 685.256 562.844
81 0 64.2373 13.31 855 67.4374 685.116 561.244
82 0 66.1277 12.7783 845 68.5609 685.258 559.52
83 0 67.1771 12.7871 859 69.4889 685.878 557.868
84 1 35.0703 10.9779 385 70.187 685.956 573.07
85 0 38.1122 10.8627 414 68.9251 685.725 572.256
86 0 38.0842 11.317 431 68.9142 686.188 572.07
87 0 38.0655 11.8217 450 68.3956 686.476 571.073
88 0 41.142 12.226 503 65.334 686.578 570.002
89 0 42.074 12.9534 545 62.1138 686.653 570.308
90 0 42.074 12.9771 546 151.828 687.665 570.456
91 0 43.0309 12.5026 538 68.8606 687.225 567.939
92 0 45.0769 12.8225 578 70.872 687.616 567.19
93 0 44.0973 13.2208 583 69.8559 687.516 565.59
94 0 48.0979 13.0359 627 68.3254 687.951 566.198
95 0 50.1467 13.4804 676 65.4763 688.112 564.022
96 0 51.0244 12.7194 649 66.2003 688.268 563.111
97 0 51.0949 13.4651 688 90.3968 687.779 562.85
