label,generation,var,param
Shuffled,1,0.021207169029587327,fold_growth
Shuffled,2,0.04480644988375173,fold_growth
Shuffled,3,0.06727391147789906,fold_growth
Shuffled,4,0.0876810661135729,fold_growth
Shuffled,5,0.10563668665675043,fold_growth
Shuffled,6,0.13461085396745287,fold_growth
Shuffled,7,0.14898933103530165,fold_growth
Shuffled,8,0.16184168977955116,fold_growth
Shuffled,9,0.181034880837527,fold_growth
Shuffled,10,0.19028187731627022,fold_growth
Shuffled,11,0.21650570250768206,fold_growth
Shuffled,12,0.22731519502366665,fold_growth
Shuffled,13,0.24765513662210017,fold_growth
Shuffled,14,0.2809634952355023,fold_growth
Shuffled,15,0.285691188040486,fold_growth
Shuffled,16,0.30151464216643103,fold_growth
Shuffled,17,0.3373041643241513,fold_growth
Shuffled,18,0.3541275088724056,fold_growth
Shuffled,19,0.38155145098021015,fold_growth
Shuffled,20,0.39536282581387827,fold_growth
Shuffled,21,0.4339058996193838,fold_growth
Shuffled,22,0.45531130355774563,fold_growth
Shuffled,23,0.5092003169218884,fold_growth
Shuffled,24,0.5262380679349761,fold_growth
Shuffled,25,0.5621774101067943,fold_growth
Shuffled,26,0.5989180020402168,fold_growth
Shuffled,27,0.609551032780905,fold_growth
Shuffled,28,0.6118936614044137,fold_growth
Shuffled,29,0.6812879980784008,fold_growth
Shuffled,30,0.7703656777385582,fold_growth
Shuffled,31,0.7885470773087732,fold_growth
Shuffled,32,0.8096460004450801,fold_growth
Shuffled,33,0.761684517124326,fold_growth
Shuffled,34,0.8141376852785743,fold_growth
Shuffled,35,0.8192626526465286,fold_growth
Shuffled,36,0.8279082730190955,fold_growth
Shuffled,37,0.8682458158482061,fold_growth
Shuffled,38,0.9142200825259823,fold_growth
Shuffled,39,0.8955238087604237,fold_growth
Shuffled,40,0.9299469048640701,fold_growth
Shuffled,41,0.9559127216649643,fold_growth
Shuffled,42,1.0732180096390351,fold_growth
Shuffled,43,1.1543109868641528,fold_growth
Shuffled,44,1.2328438168565206,fold_growth
Shuffled,45,1.2756873324432196,fold_growth
Shuffled,46,1.3400603035140117,fold_growth
Shuffled,47,1.3921085117481038,fold_growth
Shuffled,48,1.395178189523078,fold_growth
Shuffled,49,1.2576118353008527,fold_growth
Shuffled,50,1.2981260531060004,fold_growth
Shuffled,51,1.0335902633871905,fold_growth
Shuffled,52,1.000321261872107,fold_growth
Shuffled,53,1.192488380866747,fold_growth
Shuffled,54,1.1721481535648053,fold_growth
Shuffled,55,0.9747290706763044,fold_growth
Shuffled,56,1.0085259677776752,fold_growth
Shuffled,57,0.9936714861880921,fold_growth
Shuffled,58,1.1312741810485207,fold_growth
Shuffled,59,1.0956578571960092,fold_growth
Shuffled,60,1.1905248628512657,fold_growth
Shuffled,61,1.2079292431182518,fold_growth
Shuffled,62,1.2277189635049433,fold_growth
Shuffled,63,1.187297942126431,fold_growth
Shuffled,64,1.3482015642065552,fold_growth
Shuffled,65,1.562408849713671,fold_growth
Shuffled,66,1.636534560785944,fold_growth
Shuffled,67,1.548155348409014,fold_growth
Shuffled,68,1.1490651553484068,fold_growth
Shuffled,69,1.150526941882155,fold_growth
Shuffled,70,0.9262264482560661,fold_growth
Shuffled,71,1.1063064467290087,fold_growth
Shuffled,72,1.49401109875583,fold_growth
Shuffled,73,1.4397785727503722,fold_growth
Shuffled,74,1.813613175026358,fold_growth
Shuffled,75,2.2587100457721294,fold_growth
Shuffled,76,2.238085146818616,fold_growth
Shuffled,77,2.792722117582842,fold_growth
Shuffled,78,2.406632569822248,fold_growth
Shuffled,79,2.5435296476358875,fold_growth
Shuffled,80,3.0185102465749645,fold_growth
Shuffled,81,3.1419905970716755,fold_growth
Shuffled,82,2.9520559861057065,fold_growth
Shuffled,83,3.4201674914275935,fold_growth
Shuffled,84,3.495907099039135,fold_growth
Shuffled,85,3.5380125162775773,fold_growth
Shuffled,86,4.091850552939852,fold_growth
Shuffled,87,4.364861729760304,fold_growth
Shuffled,88,4.5857444793263,fold_growth
Shuffled,89,5.219919426345178,fold_growth
Shuffled,90,5.819745981373057,fold_growth
Shuffled,91,5.838645298211207,fold_growth
Shuffled,92,5.6902700060855524,fold_growth
Shuffled,93,5.121864704334912,fold_growth
Shuffled,94,4.860511025218087,fold_growth
Shuffled,95,5.207384115120755,fold_growth
Shuffled,96,4.539041004097896,fold_growth
Shuffled,97,4.593327196274931,fold_growth
Shuffled,98,4.451951546896191,fold_growth
Shuffled,99,4.680011169696749,fold_growth
Shuffled,100,4.410273742673198,fold_growth
Shuffled,101,4.594016569093243,fold_growth
Shuffled,102,4.674037241845348,fold_growth
Shuffled,103,4.903246065728024,fold_growth
Shuffled,104,4.990359589557944,fold_growth
Shuffled,105,5.025930872571542,fold_growth
Shuffled,106,5.064154308186387,fold_growth
Shuffled,107,4.620879334434023,fold_growth
Shuffled,108,3.938512932189921,fold_growth
Shuffled,109,4.058182505953376,fold_growth
Shuffled,110,2.8260164256382105,fold_growth
Shuffled,111,3.0786579754009082,fold_growth
Shuffled,112,3.2833359543852954,fold_growth
Shuffled,113,3.010819531246194,fold_growth
Shuffled,114,2.8481388211802408,fold_growth
Shuffled,115,2.983351077019775,fold_growth
Shuffled,116,2.8134721837900742,fold_growth
Shuffled,117,2.667312132403334,fold_growth
Shuffled,118,2.865125258022774,fold_growth
Shuffled,119,2.95418410906041,fold_growth
Shuffled,120,3.1311784710011032,fold_growth
Shuffled,121,3.2996954617055727,fold_growth
Shuffled,122,3.1478590137982265,fold_growth
Shuffled,123,2.8473620126232047,fold_growth
Shuffled,124,2.6530898320589604,fold_growth
Shuffled,125,2.84231997563225,fold_growth
Shuffled,126,3.25579272875051,fold_growth
Shuffled,127,3.481815143154233,fold_growth
Shuffled,128,3.750046145003205,fold_growth
Shuffled,129,3.461225865575713,fold_growth
Shuffled,130,3.5273896344444644,fold_growth
Shuffled,131,4.190009415321598,fold_growth
Shuffled,132,4.217405766123636,fold_growth
