dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,8.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35],"[0.039043963476976924, 0.05462025724753305, 0.06201786787255927, 0.06299214266861443, 0.06636416948084842, 0.07049918427589666, 0.07122521083959532, 0.07358299139653442, 0.07618337934638929, 0.0765056195685603, 0.07818230339511799, 0.0804371939348119, 0.08029072019943323, 0.08179779736736872, 0.0835346660407661, 0.08383678024133535]","[0.04682402 0.05220842 0.05663023 0.0604284  0.06378388 0.06680601
 0.06956648 0.07211514 0.07448819 0.07671288 0.07881026 0.080797
 0.08268652 0.08448981 0.08621602 0.08787284]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,8.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35],"[0.056315013325964676, 0.06846374223190885, 0.07545193371889353, 0.07738399516662994, 0.08016595995392924, 0.08391266603191841, 0.08468358096202815, 0.08648443380811463, 0.08894929702260186, 0.08908448799665447, 0.09058549953618308, 0.09240619427466591, 0.09263722902043388, 0.09338121721047937, 0.09393818522184194, 0.09357846102349329]","[0.06268932 0.06772051 0.07174003 0.0751202  0.07805528 0.08066053
 0.08301041 0.085156   0.08713402 0.08897179 0.09069025 0.09230583
 0.09383166 0.09527844 0.09665499 0.09796868]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,8.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35],"[0.043766463919860506, 0.055462586150313097, 0.06672459376007599, 0.07141810171983053, 0.07641602282245043, 0.08420816163952924, 0.08903107975384814, 0.09343401184202225, 0.10040837107801426, 0.10537813721868858, 0.10985133191332701, 0.11643327383247773, 0.12146333572919012, 0.1257424949373789, 0.1318112686966227, 0.13696233459682833]","[0.04536225 0.05475304 0.06301457 0.07049766 0.07740062 0.08384884
 0.08992769 0.09569848 0.10120704 0.10648872 0.11157147 0.11647788
 0.1212265  0.12583279 0.13030982 0.13466874]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,8.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35],"[0.07403789149996386, 0.08733560093882359, 0.10580147100149587, 0.11911763487159958, 0.1315264398494081, 0.14733074262478513, 0.16025415863439935, 0.17207259802397723, 0.18513397046672786, 0.19706270271578724, 0.2080293202105532, 0.2199835333310979, 0.23098262211094292, 0.24121573921457531, 0.25088887977413776, 0.2594689128199466]","[0.07141032 0.08926686 0.10545999 0.12047473 0.13459227 0.14799393
 0.16080528 0.17311777 0.18500063 0.19650785 0.20768259 0.21855998
 0.22916918 0.23953464 0.2496772  0.25961476]",$f_n e^{\phi_{n}}$,mean (short)
Trace,11.0,[ 5  7  9 11 13],"[0.041015535615076454, 0.053799288753134715, 0.0609418604810882, 0.06330604748219268, 0.06392739578430516]",[0.04355113 0.05095573 0.05729642 0.06292132 0.06802289],$f_n e^{\phi_{n}}$,dfa (short)
Trace,11.0,[ 5  7  9 11 13],"[0.053867507578263876, 0.06629645530330412, 0.07179155067714588, 0.07401723332953461, 0.0762714297931954]",[0.05620672 0.06334289 0.06925797 0.07437525 0.07892252],$f_n e^{\phi_{n}}$,mean (short)
Shuffled,11.0,[ 5  7  9 11 13],"[0.049441119188780906, 0.05908982131629364, 0.07135209894017248, 0.07558575064061868, 0.08229357155483526]",[0.04980718 0.05974165 0.06843402 0.07627436 0.08348217],$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,11.0,[ 5  7  9 11 13],"[0.07492510351834342, 0.08949070937695273, 0.09651245237142553, 0.09460639874402058, 0.09406411745496895]",[0.078977   0.08548805 0.09069903 0.09508707 0.09890153],$f_n e^{\phi_{n}}$,mean (short)
Trace,13.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.05483237261075943, 0.06890760915170759, 0.07326646964338274, 0.07883197165660955, 0.08473248615616777, 0.08560878978936508, 0.08885105195760469, 0.09100368882806317, 0.09106670728663227, 0.09344748761899765, 0.09525681164899298, 0.09548131238828922]","[0.06016982 0.06657712 0.07180404 0.0762708  0.08020049 0.08372733
 0.08693901 0.08989628 0.09264319 0.09521278 0.09763052 0.09991655]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,13.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.07419287836123796, 0.08200893526750973, 0.08684290515623848, 0.09301049173786774, 0.09541150301925927, 0.09636908611035302, 0.09974950834686304, 0.10097708251988786, 0.10147689539122079, 0.10334670830403263, 0.10495813743958755, 0.10515254482173608]","[0.07682201 0.08218441 0.08643243 0.08998153 0.09304699 0.09575581
 0.09818966 0.10040435 0.10243985 0.10432581 0.1060849  0.10773485]",$f_n e^{\phi_{n}}$,mean (short)
