time division length width area intensity CMx CMy
0 0 45.1034 11.7508 530 77.5585 877.626 503.853
1 0 47.0585 13.1751 620 75.7258 877.061 500.271
2 0 48.0645 14.4389 694 73.4207 876.749 501.412
3 0 51.1345 13.6894 700 73.6914 876.307 502.969
4 0 51.0422 13.0284 665 74.9368 876.405 500.603
5 0 53.13 12.8176 681 75.1865 876.112 501.178
6 0 54.0419 12.9714 701 74.7746 875.755 500.371
7 0 58.0943 15.1478 880 71.2068 876.01 498.077
8 0 58.0913 13.7714 800 73.0362 875.654 497.156
9 0 59.0934 12.861 760 75.2855 875.478 495.055
10 0 62.1639 14.687 913 71.9288 876.114 493.023
11 0 63.0926 12.7907 807 74.8439 876.233 492.03
12 0 63.1862 14.3544 907 72.9934 876.004 492.809
13 0 67.1537 14.0275 942 72.8981 875.768 491.856
14 0 68.0911 14.1575 964 72.75 875.842 492.578
15 0 72.2062 14.2231 1027 72.0623 875.395 489.154
16 0 74.1276 14.7988 1097 71.8669 876.171 487.717
17 0 77.1436 13.3128 1027 73.1723 875.482 488.486
18 0 79.1556 14.3515 1136 72.2905 875.993 484.96
19 1 38.0824 10.6086 404 70.953 874.953 507.765
20 0 39.1192 12.4236 486 68.8601 874.566 507.134
21 0 39.0609 8.72995 341 74.2815 874.496 505.305
22 0 42.0475 11.8675 499 70.501 874.487 504.204
23 0 42.0689 10.2689 432 72.8356 874.727 503.38
24 0 42.02 11.4231 480 71.4667 874.946 503.363
25 0 46.0736 11.7638 542 70.3506 875.325 503.745
26 0 47.0982 12.1024 570 69.9632 874.528 502.667
27 0 47.0267 12.4185 584 70.3271 874.288 501.646
28 0 48.1113 11.2863 543 70.4586 874.232 503.674
29 0 50.0432 11.53 577 71.182 874.73 501.437
30 0 52.251 11.3873 595 71.5076 874.783 500.716
31 0 52.0234 11.8793 618 71.0696 874.448 500.383
32 0 56.1254 11.2427 631 71.3867 874.756 500.71
33 0 55.0332 10.2302 563 72.6092 876.11 499.307
34 0 59.0528 11.5659 683 70.9868 876.124 497.786
35 0 61.0532 11.3508 693 72.0794 876.294 493.03
36 0 64.0834 10.2211 655 72.7557 875.876 494.966
37 0 63.0565 10.6413 671 72.5604 875.732 493.504
38 0 68.4175 12.2922 841 69.9275 875.602 492.886
39 0 68.4036 9.80942 671 73.4605 875.836 490.55
40 0 74.1961 11.3079 839 70.9046 875.769 489.204
41 0 75.2302 12.7209 957 69.4336 875.716 488.32
42 1 38.0274 10.5976 403 66.6973 875.556 509.241
43 0 39.0585 9.85701 385 68.4234 875.153 506.545
44 0 40.0263 9.96844 399 68.594 874.957 506.917
45 0 43.0621 12.1917 525 65.9848 875.044 505.813
46 0 41.1187 10.6764 439 68.5308 875.51 505.205
47 0 45.1825 10.026 453 68.6004 875.488 504.766
48 0 46.091 9.61141 443 68.8081 875.203 504.619
49 0 46.0546 9.66244 445 68.8652 874.894 503.425
50 0 49.1704 10.4738 515 68.0214 875.076 501.169
51 0 52.1957 10.6714 557 66.6679 875.79 500.587
52 0 54.1295 12.8211 694 63.7161 874.608 499.589
53 0 55.1362 10.991 606 65.8185 874.913 500.457
54 0 54.1915 8.94975 485 69.4763 874.258 496.986
55 0 57.1348 10.939 625 67.136 874.229 496.883
56 0 59.1843 9.64782 571 68.345 874.909 496.921
57 0 61.1281 11.206 685 66.8131 875.587 493.603
58 0 62.1338 10.5579 656 67.9436 875.384 489.823
59 0 66.1373 10.3875 687 67.9199 875.173 490.834
60 0 67.0699 10.4965 704 67.5739 875.058 492.541
61 0 69.2263 9.76507 676 68.284 875.089 488.302
62 0 70.1588 11.5595 811 66.4723 875.316 486.35
63 0 72.0777 11.2656 812 67.2586 875.075 487
64 1 36.0405 7.68579 277 64.9314 874.415 509.339
65 0 38.0919 6.53681 249 66.8273 874.112 505.249
66 0 39.049 9.62894 376 62.9362 874.468 507.662
67 0 41.1309 10.2599 422 62.8626 874.351 504.405
68 0 42.0378 8.53992 359 64.4039 874.37 503.883
69 0 43.1005 5.56838 240 67.6208 873.758 502.854
70 0 41.0746 8.52108 350 64.44 873.509 503.409
71 0 46.1217 8.69438 401 63.5611 873.334 499.426
72 0 45.0436 6.194 279 66.7599 873.434 496.864
73 0 50.0586 9.64869 483 63.4658 873.611 501.553
74 0 49.0761 8.13023 399 65.3333 873.19 496.559
75 0 52.2027 8.54362 446 63.7825 873.713 499.128
76 0 47.0788 6.01119 283 66.6855 873.47 492.604
77 0 55.0622 9.44386 520 62.5385 873.2 494.381
78 0 58.0673 9.40288 546 62.5604 873.625 494.934
79 0 59.058 6.1465 363 65.0634 872.402 493.256
80 0 61.0573 8.02525 490 63.7286 872.41 489.135
81 0 62.1143 8.40386 522 62.9636 873.328 488.138
82 0 64.0844 6.0077 385 65.3974 873.405 485.304
83 0 69.1332 7.46385 516 63.5446 873.329 485.225
84 0 72.1073 8.77858 633 62.1643 873.837 484.147
85 0 76.0957 9.55376 727 61.3122 874.283 484.458
86 1 33.064 6.74449 223 59.7354 874.623 507.942
87 0 39.1098 7.41503 290 59.4138 874.476 506.279
88 0 38.1173 8.57878 327 58.6758 874.294 502.893
89 0 43.1032 7.70245 332 59.1114 874.425 506.154
90 0 43.0477 8.71127 375 58.352 873.84 503.504
91 0 45.1275 10.5479 476 56.4979 873.817 501.979
92 0 47.0894 10.3208 486 56.5658 874.179 504.078
93 0 47.0931 8.96097 422 58.2322 873.486 500.799
94 0 47.0513 9.56402 450 57.5778 873.156 496.698
95 0 51.0782 9.55397 488 58.2152 873.652 499.041
96 0 51.11 8.56976 438 59.0068 873.692 499.409
97 0 52.1217 8.05806 420 59.7667 874.01 496.443
98 0 56.1463 8.26413 464 58.8944 873.918 496.03
99 0 58.1647 9.26679 539 58.6067 873.753 493.698
100 0 61.1176 9.5717 585 59.1556 873.359 493.147
101 0 60.0787 10.8358 651 58.6928 873.868 492.845
102 0 64.211 9.68682 622 59.9775 873.807 491.051
103 0 67.1102 9.59616 644 59.896 873.989 488.177
104 0 68.1346 10.0977 688 59.6817 874.206 490.299
105 0 70.1239 10.1249 710 59.9155 873.513 486.558
106 1 35.0193 9.65181 338 57.9467 873.778 508.837
107 0 36.0504 10.735 387 57.6382 873.85 507.641
108 0 36.0774 10.1726 367 58.6921 873.88 507.038
109 0 36.0509 9.84719 355 59.5606 873.828 508.592
110 0 39.1094 10.5857 414 58.9106 872.848 504.326
111 0 41.1661 10.7127 441 58.5351 873.066 505.218
112 0 42.2109 11.0398 466 59.2897 872.8 504.238
113 0 43.1459 9.75759 421 60.715 872.758 504.665
114 0 44.0786 9.73261 429 60.4592 873.242 505.562
115 0 46.041 9.18746 423 60.8818 873.392 503.454
116 0 45.1012 9.17935 414 61.6715 873.314 500.287
117 0 48.0774 10.0255 482 60.6494 873.647 502.645
118 0 49.0562 8.64315 424 61.7075 873.014 499.413
119 0 54.096 11.1838 605 59.0694 873.383 498.043
120 0 57.1447 11.3221 647 58.2148 872.726 498.522
121 0 56.1104 9.90904 556 60.1583 872.862 495.928
122 0 57.1192 10.1017 577 60.0035 872.539 496.47
123 0 60.1688 11.2683 678 58.2537 872.782 495.972
124 0 64.2254 9.73135 625 60.2864 872.966 496.41
125 0 64.418 12.7759 823 57.243 872.96 494.094
126 0 65.1377 10.6083 691 59.7178 873.658 492.465
127 0 66.2194 10.9333 724 59.3978 873.756 491.949
128 0 68.1207 11.5237 785 58.9363 873.311 492.66
129 0 69.0937 10.8259 748 59.7794 874.059 490.201
130 0 71.153 9.52876 678 61.1681 874.273 488.941
131 0 74.1977 11.4155 847 59.3329 874.434 488.864
132 0 77.1659 8.70851 672 62.0863 874.518 487.161
133 1 38.1501 8.38791 320 61.1781 873.928 507.475
134 0 41.2535 11.7323 484 57.436 874.215 505.32
135 0 45.268 10.5814 479 58.1837 874.2 507.401
136 0 45.194 10.3996 470 58.7489 873.702 504.543
137 0 47.2752 12.1417 574 57.1533 873.915 505.118
138 0 49.0752 12.1446 596 57.5436 874.362 504.733
139 0 49.0505 12.0896 593 58.4503 873.987 502.261
140 0 50.1779 10.7418 539 59.885 873.835 504.599
141 0 52.0937 10.5963 552 60.375 874.216 502.726
142 0 54.3385 11.4284 621 59.6957 874.185 501.359
143 0 56.1546 12.6793 712 58.1362 873.947 503.23
144 0 56.2704 13.5951 765 58.2026 873.809 499.346
145 0 58.2082 12.0773 703 59.7809 873.606 499.393
146 0 59.1438 12.1399 718 59.9373 873.684 499.953
147 0 61.1415 11.9886 733 60.5689 873.076 497.914
148 0 62.2434 12.917 804 59.3408 873.703 497.331
149 0 63.1797 13.2163 835 59.4575 874.055 495.101
150 0 66.166 13.4359 889 59.0731 873.944 494.81
151 0 67.1225 11.993 805 60.4907 873.97 495.589
152 0 70.1864 13.9058 976 58.1455 873.839 491.758
153 0 69.2315 11.9021 824 61.483 874.107 492.005
154 0 73.0679 12.3584 903 60.5692 874.901 490.957
155 0 74.2884 13.5418 1006 59.66 874.986 490.504
156 0 80.2054 13.5278 1085 59.1917 874.958 489.528
157 1 41.0668 10.6169 436 62.4197 873.408 504.422
158 0 48.2115 11.2421 542 59.8653 873.878 508.166
159 0 47.2158 12.9406 611 59.1113 873.902 508.169
160 0 48.0893 12.1857 586 61.1962 874.058 505.811
161 0 50.2554 11.6604 586 62.0119 874.52 504.087
162 0 51.1017 13.1894 674 60.6691 875.139 503.834
163 0 53.137 13.2111 702 60.0598 875.533 504.699
164 0 54.0347 11.9368 645 62.3907 874.887 500.18
165 0 55.3116 12.9991 719 61.2462 875.426 502.203
166 0 56.1812 12.1571 683 62.1816 875.357 501.862
167 0 60.0366 14.4079 865 59.6671 875.775 499.639
168 0 61.1057 12.9775 793 61.633 875.462 498.75
169 0 63.0468 13.4979 851 61.3196 875.7 496.813
170 0 64.0833 12.6554 811 62.217 874.52 497.339
171 0 65.1147 14.3593 935 60.893 875.042 496.374
172 0 69.1431 13.6673 945 61.3058 875.395 495.728
173 0 68.2776 12.083 825 64.1127 874.95 494.332
174 0 68.1016 12.0996 824 64.8422 875.18 493.038
175 0 72.3277 10.5077 760 66.2092 875.545 493.074
176 0 76.1184 13.387 1019 62.8597 874.658 492.016
177 0 77.072 12.2223 942 64.6518 875.215 487.441
178 0 79.1432 13.1028 1037 63.8949 875.238 487.284
179 0 83.1014 13.1767 1095 63.8155 874.551 487.95
180 1 43.1896 12.9661 560 63.4482 874.57 506.707
181 0 41.0223 10.994 451 66.3415 874.455 507.095
182 0 46.0131 11.5837 533 65.8086 874.668 503.43
183 0 45.1147 11.8587 535 65.8467 874.873 506.107
184 0 47.0252 12.5039 588 65.5442 874.69 503.821
185 0 49.0574 14.7175 722 62.9515 875.343 501.688
186 0 49.0385 12.2965 603 65.5854 875.778 502.148
187 0 50.0744 11.7825 590 66.3305 875.354 502.82
188 0 53.1877 13.2173 703 64.4182 875.445 499.549
189 0 57.0549 12.9875 741 64.1646 874.522 500.502
190 0 57.0623 12.8631 734 65.1022 874.323 497.609
191 0 56.0902 14.4232 809 63.7639 874.459 497.027
192 0 60.0685 13.0018 781 64.7939 874.357 497.604
193 0 60.0279 13.4604 808 64.646 875.26 495.806
194 0 63.0855 12.808 808 65.0681 875.228 496.295
195 0 65.1756 12.4893 814 65.4201 875.226 493.441
196 0 66.1262 11.8259 782 66.2097 875.17 493.729
197 0 68.0599 12.3127 838 65.3807 874.896 493.366
198 0 72.216 14.0412 1014 63.2347 874.893 490.975
199 0 74.1389 13.8659 1028 63.4854 874.855 488.977
200 0 73.0522 11.3617 830 66.4265 874.804 488.529
201 0 78.2519 12.038 942 64.6423 875.003 490.731
202 0 82.1251 12.9071 1060 64.267 875.18 484.269
203 1 40.0164 9.9709 399 65.7769 874.749 507.376
204 0 42.069 10.1738 428 65.729 875.164 505.757
205 0 42.0499 11.7955 496 64.123 874.306 506.643
206 0 44.0745 13.8629 611 62.4321 874.37 504.584
207 0 46.0244 10.9072 502 64.5757 873.819 503.876
208 0 48.1527 15.4508 744 59.3481 873.891 502.637
209 0 47.1295 11.7761 555 63.4739 874.541 500.701
210 0 50.1679 11.0031 552 64.2591 874.471 499.69
211 0 52.1583 12.1553 634 62.4353 874.68 500.519
212 0 54.0609 12.6709 685 62.3226 874.39 499.093
213 0 52.4166 13.3164 698 62.1676 874.103 499.248
214 0 54.0851 12.9241 699 62.4521 874.004 496.941
215 0 56.0485 13.185 739 62.2977 874.528 495.346
216 0 56.0721 13.4291 753 62.2377 874.271 495.591
217 0 58.1644 12.1208 705 63.8028 874.692 492.296
218 0 58.0961 11.1023 645 65.5116 875.014 493.719
219 0 59.1225 11.6876 691 65.2417 875.09 491.402
220 0 62.1613 13.7545 855 62.5099 874.598 491.654
221 0 60.1102 10.2312 615 67.5317 874.675 488.337
222 0 67.2105 12.4832 839 64.7366 874.652 490.327
223 0 69.147 13.4785 932 64.0429 874.77 484.155
224 0 71.1339 12.4413 885 65.4655 874.872 483.124
225 0 73.0974 14.3781 1051 63.7355 874.858 483.345
226 0 76.1683 12.8662 980 65.2847 875.26 483.339
227 0 78.1189 11.4697 896 67.1395 874.846 483.037
228 0 79.1374 12.2951 973 66.9692 874.942 482.551
229 1 36.1516 10.2623 371 67.3881 874.197 504.601
230 0 40.0255 9.91868 397 67.6499 873.834 502.015
231 0 39.0953 8.92692 349 69.1433 873.324 499.542
232 0 41.0678 10.8114 444 67.6577 872.921 500.376
233 0 42.0427 9.84713 414 67.3865 873.116 498.3
234 0 43.073 11.3296 488 66.4221 873.709 496.738
235 0 43.0695 9.33374 402 69.2886 874.022 498.729
236 0 44.0994 7.1883 317 71.3312 874.306 498.593
237 0 46.1811 10.4372 482 67.7884 874.589 493.299
238 0 46.0307 9.64573 444 69.705 874.682 495.608
239 0 46.0731 9.46323 436 69.4427 875.271 491.289
240 0 51.0957 7.67188 392 70.6964 874.939 490.334
241 0 52.0976 9.92368 517 68.3733 875.42 487.317
242 0 52.0891 9.98289 520 69.6173 875.19 487.877
243 0 54.1898 10.4817 568 68.8345 875.03 486.539
244 0 57.1258 9.26027 529 70.6295 875.025 488.439
245 1 72.13 13.2677 957 70.9049 875.682 422.78
