time division length width area intensity CMx CMy
0 0 30.052 10.4153 313 56.3323 961.668 517.064
1 0 31.0111 9.99641 310 56.2613 961.942 516.877
2 0 31.0029 11.4828 356 54.7921 961.809 517.037
3 0 32.0123 11.7143 375 54.432 961.853 517.531
4 0 33.023 9.5388 315 56.1238 961.844 517.835
5 0 34.0222 13.2855 452 51.6527 961.739 518.403
6 0 34.0139 11.5247 392 54.9592 960.566 515.781
7 0 34.0547 11.2172 382 55.8089 960.445 514.576
8 0 34.0209 10.9638 373 55.9759 959.539 515.475
9 0 37.0524 12.8197 475 54.0442 960.419 515.728
10 0 37.0554 11.8741 440 55.5545 961.134 518.011
11 0 40.1388 11.7841 473 54.7252 959.877 517.666
12 0 39.1006 11.6878 457 55.5339 960.418 517.685
13 0 39.0368 11.7838 460 55.8348 960.183 515.889
14 0 39.0871 11.1546 436 57.1284 960.06 515.966
15 0 43.0686 13.4204 578 54.2007 959.441 513.734
16 0 42.0649 13.0037 547 55.691 959.578 513.046
17 0 44.1161 11.6964 516 56.3004 959.804 514.643
18 0 44.0296 11.197 493 57.3327 959.667 514.479
19 0 47.0642 11.6224 547 56.6984 960.788 514.83
20 0 48.0313 13.9076 668 55.2545 959.964 512.641
21 0 48.09 11.3329 545 58.4716 959.193 511.534
22 0 51.0363 13.1083 669 56.2212 959.51 512.173
23 0 51.0483 11.9299 609 57.9622 960.076 510.66
24 0 55.0405 13.5537 746 55.571 959.94 510.622
25 0 56.0808 12.0362 675 57.8311 959.71 509.616
26 0 55.0996 13.7569 758 57.0356 960.082 506.413
27 0 56.0368 11.2248 629 60.3227 960.347 506.638
28 0 58.1596 11.1418 648 60.0324 959.654 507.16
29 0 59.1124 12.5016 739 59.2273 960.019 506.238
30 0 62.0828 13.176 818 58.6491 960.584 503.456
31 0 65.0324 12.686 825 59.0861 960.458 503.922
32 0 66.0228 12.2533 809 59.419 961.028 504.606
33 0 67.0722 12.6729 850 60.16 960.004 498.985
34 1 35.0551 12.2949 431 58.5847 960.661 516.903
35 0 33.0516 10.2869 340 61.5353 961.047 518.5
36 0 37.0558 11.0374 409 60.2763 961.076 516.773
37 0 36.053 10.7619 388 61.2706 960.436 518.085
38 0 38.0223 11.4143 434 60.1475 960.364 519.306
39 0 40.0376 11.764 471 60.6178 961.066 516.762
40 0 40.0508 10.6115 425 62.5953 961.339 515.44
41 0 41.0208 11.7258 481 61.8545 961.281 515.135
42 0 42.0176 11.876 499 62.2144 961.449 514.212
43 0 42.0519 12.5084 526 62.1768 961.578 514.979
44 0 45.0606 10.6745 481 64.7838 961.422 512.971
45 0 47.0771 12.4901 588 62.6088 960.684 512.335
46 0 47.0758 11.0885 522 65.4253 961.72 511.111
47 0 49.0476 12.2126 599 63.182 961.785 513.336
48 0 52.0435 11.2214 584 65.0771 961.546 510.471
49 0 53.055 13.0431 692 63.3237 961.647 510.256
50 0 56.0829 12.3389 692 64.4104 961.711 510.993
51 0 55.0298 11.9935 660 66.4894 961.653 507.947
52 0 59.0936 12.3364 729 66.2606 961.737 507.091
53 0 61.0284 13.633 832 63.5 962.314 508.618
54 0 60.059 10.9059 655 69.3313 962.206 504.536
55 0 64.039 11.9615 766 67.4217 961.513 504.68
56 0 68.0498 12.4468 847 67.0815 962.048 503.399
57 0 68.0556 10.4033 708 70.5734 962.123 502.992
58 0 70.1154 12.294 862 68.971 962.788 498.051
59 0 73.0511 11.8547 866 69.4919 962.092 499.58
60 1 40.1058 10.9461 439 68.6059 962.159 515.271
61 0 44.1004 10.6348 469 68.4115 961.866 515.335
