time division length width area intensity CMx CMy
0 0 48.0398 12.5313 602 59.9552 432.243 524.882
1 0 48.0574 12.4434 598 60.3813 431.741 525.336
2 0 49.0444 12.56 616 60.099 432.739 525.213
3 0 50.0955 12.7556 639 59.277 431.743 526.103
4 0 50.1146 12.3317 618 60.4256 431.935 525.036
5 0 52.0582 11.6792 608 60.977 431.161 524.586
6 0 55.0814 14.288 787 57.9301 431.536 521.983
7 0 55.0308 12.4839 687 60.0466 431.643 522.885
8 0 55.0622 13.7844 759 58.8551 431.267 524.468
9 0 59.0393 15.0408 888 56.5236 430.699 523.35
10 0 58.0593 12.9006 749 59.9987 431.826 522.541
11 0 58.1131 12.8715 748 60.6444 431.06 522.874
12 0 61.1129 13.8269 845 59.2544 431.434 521.711
13 0 61.0649 12.4294 759 60.8841 431.557 521.531
14 0 63.045 12.3404 778 61.2455 431.95 520.195
15 0 64.104 12.2457 785 61.4701 431.829 520.6
16 0 66.0686 13.1833 871 60.6843 432.021 519.703
17 0 67.1467 13.061 877 60.5051 431.633 520.692
18 0 70.0717 12.9867 910 61.2835 431.551 517.847
19 0 71.0359 13.9366 990 60.5455 431.455 515.108
20 0 74.1223 14.0983 1045 60.5359 431.961 516.53
21 0 76.1576 13.4064 1021 61.6915 431.759 512.886
22 0 76.1285 11.7433 894 64.16 431.746 515.025
23 0 79.0989 11.5931 917 64.1974 431.025 514.436
24 0 84.0832 11.9287 1003 64.1426 431.132 512.404
25 0 85.0876 13.492 1148 62.8432 430.397 509.275
26 1 43.0269 10.6445 458 67.8493 431.253 528.1
27 0 47.0568 11.5605 544 66.0018 430.798 528.099
28 0 49.0442 13.2126 648 64.1806 430.853 527.71
29 0 51.0447 12.2833 627 65.3286 430.748 526.512
30 0 52.0513 12.8719 670 65.6507 431.009 525.322
31 0 52.0336 10.7238 558 68.3047 430.815 526.964
32 0 52.0701 11.3693 592 67.8868 430.253 524.938
33 0 55.0158 11.1968 616 67.474 431.442 526.24
34 0 56.0347 11.475 643 67.3515 431.235 525.171
35 0 58.0247 10.0647 584 69.6301 431.267 524.334
36 0 60.0774 11.0524 664 67.9774 432.492 522.446
37 0 62.0651 12.0035 745 68.0403 431.664 519.133
38 0 65.0462 11.6071 755 68.3245 432.146 521.026
39 0 66.044 11.2804 745 68.9007 432.319 519.204
40 0 69.097 11.824 817 68.355 432.142 518.723
41 0 72.0582 12.1846 878 68.4624 431.784 517.196
42 0 74.0706 11.3945 844 70.0344 432.474 515.884
43 0 74.0738 11.8125 875 70.112 432.72 514.378
44 1 39.1057 11.7886 461 66.4577 432.28 534.05
45 0 41.0502 9.7198 399 69.8296 431.972 533.529
46 0 41.0404 10.38 426 68.2277 432.608 535.784
47 0 43.0445 13.0795 563 66.3552 432.595 531.654
