div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation,trap_ID,trace,dataset,start_time,end_time
,0.5096199060733279,,1.4969915174353918,0.35,2.732868864418281,4.229860381853673,1.4560568744952225,1,0,1,A,SL,0.35,0.65
1.0800532602339974,0.796242696296115,0.48712605900057887,2.0751933634691975,0.40000000000000013,2.060475217935063,4.135668581404261,1.9906067407402868,1,1,1,A,SL,0.7,1.05
1.3141348232070444,0.9319757877447045,0.5174733422315669,2.8532289120007026,0.5499999999999998,2.140098243181346,4.993327155182048,1.6945014322630996,1,2,1,A,SL,1.1,1.6
0.9639046026441654,0.6996189191391542,0.47884330318315416,2.0968460804965248,0.5,2.3910212688615142,4.487867349358039,1.3992378382783084,1,3,1,A,SL,1.65,2.1
1.0242683415094003,0.8247911669863045,0.4489639776346946,2.1793514766323425,0.4500000000000002,2.0148907762646586,4.194242252897001,1.8328692599695648,1,4,1,A,SL,2.15,2.55
1.1656993953701402,0.8602358595960552,0.4931634524503271,2.375096656532288,0.44999999999999973,2.068446989851723,4.443543646384011,1.9116352435467905,1,5,1,A,SL,2.6,3.0
0.9750421151129243,0.7277108033261194,0.4709584444247314,1.863197658460662,0.40000000000000036,2.0927244034344126,3.9559220618950746,1.819277008315297,1,6,1,A,SL,3.05,3.4
1.137559023333984,0.9009734967254769,0.4620469648334,2.2845548684937413,0.5,1.8278217818161049,4.112376650309846,1.8019469934509538,1,7,1,A,SL,3.45,3.9
1.1887823551012358,0.860833562979875,0.5026284696537963,2.3757921639934816,0.4500000000000002,2.066997582385243,4.4427897463787245,1.9129634732886105,1,8,1,A,SL,3.95,4.35
1.1335367778562122,0.8476159435085624,0.4856469755475042,2.4691636129058887,0.5,2.157627403322291,4.62679101622818,1.6952318870171248,1,9,1,A,SL,4.4,4.85
1.0128849954642118,0.667749932989245,0.5194694676027681,1.9076423000430611,0.39999999999999947,2.403476665909323,4.311118965952384,1.6693748324731148,1,10,1,A,SL,4.9,5.25
1.043729206168371,0.6367688959551436,0.5521316188373637,1.8119779575100066,0.4500000000000002,2.3803050936717516,4.192283051181758,1.4150419910114298,1,11,1,A,SL,5.3,5.7
1.0603373699403196,0.4490554418734286,0.6767398756443885,1.4303346603057627,0.5499999999999998,2.8370851107228208,4.2674197710285835,0.8164644397698705,1,12,1,A,SL,5.75,6.25
1.0587359348869048,0.5811775055479271,0.5920869242979198,1.70885210808743,0.4500000000000002,2.526683446916447,4.235535555003877,1.291505567884282,1,13,1,A,SL,6.3,6.7
0.9058598818672297,0.2906457193771162,0.6773844054466127,0.9123616903017573,,2.8690857336742903,3.7814474239760476,0.2906457193771162,1,14,1,A,SL,6.75,7.7
1.3048585385607274,0.5516848453892247,0.7515705388963404,1.7988516627689424,0.4499999999999993,2.842024478245856,4.6408761410147985,1.2259663230871678,1,15,1,A,SL,7.75,8.15
0.9339803358877538,0.5552116842720828,0.5360587161256679,1.633356508143451,0.5500000000000007,2.487782105850637,4.121138613994088,1.0094757895856037,1,16,1,A,SL,8.2,8.7
1.0896648492077647,0.6112019823347314,0.5913591122529052,1.7873365137323143,0.5,2.4370728722427115,4.224409385975026,1.2224039646694629,1,17,1,A,SL,8.75,9.2
,0.4286654541556137,,1.4475334580104002,0.15000000000000036,,,2.8577696943707513,1,18,1,A,SL,9.25,9.35
0.8688902878444722,0.36463618223655536,0.6034002155897344,1.2892384068505494,0.34999999999999964,3.513869997630476,4.8031084044810255,1.0418176635330163,1,19,1,A,SL,9.4,9.7
1.0982867619287995,0.6712571794521378,0.561296662566965,2.15465656896121,0.40000000000000036,2.6959687173825397,4.85062528634375,1.678142948630343,1,20,1,A,SL,9.75,10.1
0.9947972702990623,0.6175967835892997,0.5364332755113302,1.9343536008553373,0.5,2.602036810631462,4.536390411486799,1.2351935671785994,1,21,1,A,SL,10.15,10.6
1.1463021015628347,0.70125965047525,0.5685201893841362,2.268876491131869,0.5,2.5790295358588544,4.8479060269907235,1.4025193009505,1,22,1,A,SL,10.65,11.1
,0.9442065035484981,,3.230783715606864,0.5,2.4125704073658936,5.643354122972758,1.8884130070969962,2,0,1,B,SL,0.35,0.8
0.9757968074504452,0.9785466632417685,0.366760010719518,3.0057793696070663,0.6,2.069756618635525,5.075535988242591,1.6309111054029477,2,1,1,B,SL,0.85,1.4
1.1448926835588893,1.0800365643787067,0.3887862166938651,3.4339513272246167,0.7500000000000002,1.9732984345623947,5.407249761787011,1.440048752504942,2,2,1,B,SL,1.45,2.15
0.933412722847035,0.6103696874823127,0.5069831541896164,1.8843589708447475,0.34999999999999964,2.741384539721831,4.625743510566578,1.7439133928066095,2,3,1,B,SL,2.2,2.5
0.6430320864952714,0.3168703301200763,0.4684007786621417,0.509645710361081,0.15000000000000036,2.166701862240734,,2.1124688674671703,2,4,1,B,SL,2.55,2.65
,0.6946982390543418,,2.0930227123544043,0.3999999999999999,2.502122646735333,4.595145359089737,1.7367455976358548,2,5,1,B,SL,2.7,3.05
1.025228879231338,0.7061022430976344,0.5060163193053088,2.0303731643176257,0.44999999999999973,2.3252185412794604,4.355591705597086,1.5691160957725216,2,6,1,B,SL,3.1,3.5
1.195952940771257,0.9035951304943668,0.4844932290290202,2.6880312818129948,0.5499999999999998,2.11025468977675,4.798285971589745,1.6429002372624857,2,7,1,B,SL,3.55,4.05
0.9186350288391388,0.5670463333355477,0.5210482098024513,1.6061174126400064,0.40000000000000036,2.500138315617052,4.106255728257058,1.4176158333388678,2,8,1,B,SL,4.1,4.45
