0,2.8418
0.05,2.8106
0.1,2.9604
0.15,3.0719
0.2,3.2192
0.25,3.0732
0.3,3.2378
0.35,3.3536
0.4,3.4844
0.45,3.7193
0.5,3.8441
0.55,3.9842
0.6,4.1854
0.65,4.4531
0.7,2.2186
0.75,2.2219
0.8,2.1831
0.85,2.3901
0.9,2.4386
0.95,2.5915
1,2.6138
1.05,2.8153
1.1,2.8331
1.15,3.0455
1.2,3.1249
1.25,3.2671
1.3,3.4005
1.35,3.6549
1.4,3.7289
1.45,3.8636
1.5,4.0617
1.55,1.9791
1.6,2.1373
1.65,2.1327
1.7,2.2219
1.75,2.3096
1.8,2.361
1.85,2.4254
1.9,2.5259
1.95,2.7988
2,2.8432
2.05,2.9624
2.1,3.1654
2.15,3.2929
2.2,3.417
2.25,3.3279
2.3,3.5428
2.35,3.6503
2.4,3.8644
2.45,4.1179
2.5,4.297
2.55,4.3506
2.6,4.5339
2.65,4.5725
2.7,4.9649
2.75,5.0905
2.8,2.4481
2.85,2.5293
2.9,2.7074
2.95,2.7552
3,2.9506
3.05,2.9564
3.1,3.0877
3.15,3.1611
3.2,3.3138
3.25,3.4123
3.3,3.6042
3.35,3.9362
3.4,3.8535
3.45,4.0108
3.5,4.2895
3.55,4.7115
3.6,2.5025
3.65,2.6393
3.7,2.7546
3.75,2.8416
3.8,2.9381
3.85,2.9157
3.9,2.8189
3.95,3.2276
4,3.1822
4.05,3.1865
4.1,3.2429
4.15,3.4436
4.2,3.6273
4.25,3.7194
4.3,3.9549
4.35,4.07
4.4,4.1246
4.45,4.305
4.5,4.4409
4.55,2.2406
4.6,2.2857
4.65,2.476
4.7,2.4507
4.75,2.6375
4.8,2.8061
4.85,2.8957
4.9,2.9873
4.95,3.012
5,3.0104
5.05,3.1437
5.1,3.3094
5.15,3.4591
5.2,3.4462
5.25,3.5412
5.3,3.8001
5.35,3.942
5.4,4.1458
5.45,4.2435
5.5,4.4311
5.55,2.3007
5.6,2.4547
5.65,2.5675
5.7,2.6928
5.75,2.8092
5.8,2.9509
5.85,3.121
5.9,3.1024
5.95,3.1258
6,3.2705
6.05,3.3452
6.1,3.5537
6.15,3.7062
6.2,3.8028
6.25,3.9453
6.3,4.0872
6.35,4.2378
6.4,2.1136
6.45,2.031
6.5,2.1594
6.55,2.1816
6.6,2.2665
6.65,2.3652
6.7,2.4363
6.75,2.4876
6.8,2.5808
6.85,2.7686
6.9,2.8015
6.95,2.7389
7,2.9958
7.05,3.1186
7.1,3.1868
7.15,3.1055
7.2,3.3316
7.25,3.3616
7.3,3.5451
7.35,3.5517
7.4,3.7188
7.45,3.8595
7.5,3.9635
7.55,4.1627
7.6,4.3696
7.65,4.4548
7.7,4.7599
7.75,2.3584
7.8,2.3208
7.85,2.5099
7.9,2.6773
7.95,2.8541
8,2.9302
8.05,3.0605
8.1,3.1837
8.15,3.366
8.2,3.3889
8.25,3.5706
8.3,3.6587
8.35,3.7799
8.4,4.058
8.45,4.1202
8.5,4.3695
8.55,4.5191
8.6,2.2346
8.65,2.5166
8.7,2.6245
8.75,2.5001
8.8,2.7623
