div_then_fold,div_and_fold,fold_then_div,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation
,,0.2339740860277011,0.42786736850390594,,0.77331591104143,0.10833333333333323,-1.6463859360638045,-1.725424709262299,0.3953071390470988,1,0
,0.0961774878533403,0.20005527035028337,0.23393079188356503,-0.06066015840047734,0.4087970485237937,0.18333333333333318,-1.1739647919189382,-1.6175224276350688,-0.15421062210527658,1,1
0.05005598396312749,0.15159702918612794,0.15788339003859142,0.21603107181921144,0.02598956179660661,0.8659836129503709,0.1833333333333333,-0.6711670909326979,-0.6575381622222514,-0.18404348887919952,1,2
-0.012083419872831902,0.01630888025921967,-0.11822316136589828,-0.014116594054604858,0.01606083570591632,-0.08217484461712221,-0.041666666666666574,-0.18913309096815833,-1.1236626198252049,-0.059188334063147385,1,3
-0.03669278118729813,0.0003315278019364598,-0.14415129347896205,-0.022918725822333008,-0.0061227508302251765,-0.3820316831824009,-0.11666666666666653,-0.5747239230987455,-1.8091102905210708,0.2504276253371447,1,4
0.41095195098007486,0.2240705791614816,0.42865027392556176,0.41559200880592073,-0.017135550334831162,1.7228896322593394,0.25833333333333347,-0.9958269941799958,-0.1252920461605811,-0.02517214960498171,1,5
-0.15270234943782401,-0.02732372353099463,-0.20374561528291024,-0.09672173454924282,0.021446310167491767,-0.35784143996515905,-0.1916666666666667,0.1428516101786821,-1.0673445140264013,0.4775614378523816,1,6
0.06271577298764852,0.04429402595783649,0.11440078183429425,0.07043903676791641,-0.016022600068242854,0.08684598415263212,-0.041666666666666796,-0.6016459826594356,-1.3671546827467278,0.16629334813024332,1,7
-0.17973419298935378,-0.025334809036932443,-0.18266033279040716,-0.13320954511653926,0.07916299792715742,-0.7460162914963133,-0.11666666666666697,-0.23935852221233844,-1.837729497948576,-0.11720843897687394,1,8
0.2371422358167844,0.09810960725495566,0.09569165773717803,0.13105152743170845,0.017731195158761204,0.21072757592721558,0.10833333333333267,-0.8369550675551993,-1.478582175867908,-0.17005636775708566,1,9
-0.17961691624915443,-0.07898574728662425,-0.16673050788687704,-0.1954970636901252,0.03302222075558625,-1.1691821612489974,-0.11666666666666697,-0.5549530066911039,-2.5764898521800257,-0.32483350088882723,1,10
0.461833318620296,0.2805215324521606,0.41280201473787415,0.3814472600624552,0.06505584359698013,1.421475902018154,0.258333333333333,-1.047934529597398,-0.4788133118191684,-0.07575696255826303,1,11
-0.07920857867888143,-0.0551649196243828,-0.1667183722697363,-0.15488548060336277,0.03452689649575802,-0.7343892242594063,-0.19166666666666715,0.027391464212876304,-1.5593524442864544,0.21905589983407392,1,12
0.6156104688964182,0.3171767517283506,0.2565239541231583,0.4820032952134885,0.04098789785664214,2.9383191747603155,0.3333333333333332,-0.5592972366044018,1.5266672539159893,-0.07560794562446183,1,13
0.14916949676209412,0.029687637507151143,-0.03414378330708134,0.11790718042445847,-0.07765699417080713,1.1097349542129398,-0.19166666666666715,0.2426694881403546,0.50004975811337,1.4314677266243927,1,14
-0.2664749917641852,-0.06382398828939531,-0.20294314258179336,-0.12702587828194195,-0.02782714305043732,-0.5344169950899991,-0.19166666666666626,0.1330395588468818,-1.2537321204830416,0.34287635459593746,1,15
0.37785897231001064,0.24990522472649057,0.4587682386251857,0.4325411958535269,0.0006366306003080524,2.4598741123322823,0.10833333333333356,-0.6065057786489114,1.001013649443447,0.40420966733208985,1,16
-0.16294498688767733,-0.05250364041252975,-0.3044790750741555,-0.14303388906324038,0.023600673955558094,-0.3187200141980373,-0.19166666666666538,0.7919649349450815,-0.37910976349288017,0.27172964001238253,1,17
0.17415831073670052,0.06626250438516551,0.03760627902211788,0.17071532083147467,-0.06011072315928456,0.7388069157330315,-0.041666666666666796,-0.525205330257926,-0.6387530987648189,0.433696772299732,1,18
0.012286224934861978,0.0982696503797742,0.049218630950409015,0.1765030969541419,-0.018296823615232993,0.9103210139978026,-0.041666666666666796,-0.3911783415447996,-0.3332120117869213,0.4491308419601783,1,19
0.13695334909765722,0.12007792325424571,0.07797499096948912,0.21441060054161198,-0.015535094201370336,1.3542491514416333,-0.041666666666666796,-0.21388056861842886,0.2880138985832801,0.5502175181934317,1,20
-0.059960738773245925,0.00976373123255836,-0.1275917629817792,0.009869085390618815,-0.02127892034095169,0.23909472382734132,-0.11666666666666609,0.0710269833293693,-0.5422329770832137,0.35972032938031484,1,21
-0.22483056437822768,-0.0913919613009298,-0.2825683821891777,-0.18321511785226735,-0.02427470541649346,-1.0453624573782676,-0.26666666666666644,-0.37838028137615964,-2.2760974229943516,0.847226565708751,1,22
0.29025356216561804,0.186944927146654,0.45110026374449674,0.35753477237630993,-0.024833569584582604,0.9512038007524564,0.03333333333333427,-1.2749601160080188,-1.1761109994954868,0.5407326589215129,1,23
,,,,0.06431271150434348,,,-0.20495238836195329,,-0.037578216519724705,1,24
-0.20937564672193132,-0.13165091509383461,-0.5404256091765438,-0.3149632567571403,0.10904130306641913,3.7427089052263343,-0.041666666666666796,,25.698978307102376,-0.8614461012699077,1,25
-0.7178825755178936,-0.6502363042425057,-0.5002687937010161,-1.5378470673709446,-0.16182004541459188,-10.195292824466353,0.3333333333333332,8.679168022622253,-2.368479486084026,-2.768741762403706,1,26
-0.6974819048127918,-0.813083011469322,,-0.9144092596985713,,-4.368920483255034,0.03333333333333249,2.5982969150229227,-2.622978252472036,-2.2858096345782197,1,27
,,-0.07944099185082687,-0.013259021731075737,,0.3917782253774291,0.027439024390243705,0.6023009095010936,0.9940791348785218,-0.1540155281487008,2,0
