time division length width area intensity CMx CMy
0 0 33.0082 11.694 386 131.816 362.645 487.598
1 0 33.0466 11.741 388 133.881 362.389 486.943
2 0 35.0784 13.4841 473 129.199 362.715 486.171
3 0 36.0153 12.9945 468 127.91 362.848 486.197
4 0 37.0403 12.5539 465 128.075 363.37 487.4
5 0 37.0408 13.9846 518 124.734 361.998 485.098
6 0 39.1105 13.9605 546 123.088 360.965 486.441
7 0 37.2166 12.8169 477 134.01 360.79 484.553
8 0 40.1239 12.7356 511 131.558 360.955 484.933
9 0 39.1657 16.111 631 121.859 360.751 482.189
10 0 41.241 14.8153 611 122.39 359.949 481.548
11 0 41.1946 14.4194 594 126.16 360.323 481.433
12 0 41.159 14.116 581 127.632 361.933 482.694
13 0 43.1491 14.6005 630 123.184 361.735 482.233
14 0 43.0979 13.8986 599 127.915 361.222 481.873
15 0 44.2086 14.1149 624 127.412 361.128 481.361
16 0 45.1417 15.0415 679 124.669 361.62 481.044
17 0 45.1993 14.2923 646 128.235 360.423 479.941
18 0 45.0951 14.3696 648 129.034 360.312 480.289
19 0 49.1637 15.6009 767 123.24 360.531 480.819
20 0 48.182 14.9226 719 127.36 360.039 479.278
21 0 50.239 15.0481 756 125.885 360.433 479.552
22 0 51.0426 14.9483 763 125.038 361.11 479.048
23 0 52.1379 15.6892 818 123.487 362.029 477.342
24 0 52.1503 16.0689 838 124.589 361.916 476.648
25 0 53.1616 14.898 792 127.857 362.035 476.278
26 0 56.1167 16.1093 904 123.35 364.248 476.097
27 0 57.0761 15.7159 897 124.387 364.585 476.511
28 0 59.0958 15.9741 944 123.464 364.296 475.148
29 0 62.2097 17.0392 1060 118.332 363.473 474.422
30 0 62.083 16.188 1005 121.221 364.646 471.97
31 0 65.1331 16.3511 1065 120.315 364.337 471.531
32 0 66.127 15.9995 1058 121.738 364.776 470.56
33 0 70.252 17.5653 1234 115.394 365.176 469.076
34 0 71.1424 16.3897 1166 119.507 365.1 467.766
35 0 72.087 16.8824 1217 119.474 366.015 467.983
36 0 73.117 16.2343 1187 122.357 364.477 466.705
37 0 77.2014 17.2924 1335 118.775 364.695 464.784
38 0 80.2233 18.5856 1491 114.129 364.907 463.907
39 0 84.3316 17.4075 1468 114.762 364.783 463.844
40 0 85.2363 16.6713 1421 117.819 366.148 462.803
41 0 87.3938 17.1751 1501 116.69 365.871 460.511
42 1 47.041 12.8611 605 120.559 367.445 480.823
43 0 46.0289 12.4052 571 120.588 367.657 481.401
44 0 48.1096 13.0327 627 118.823 367.856 481.668
45 0 48.0164 12.3708 594 119.801 366.835 481.335
46 0 52.0362 14.3554 747 114.991 366.826 480.203
47 0 53.1562 13.3192 708 117.681 366.507 477.599
48 0 55.111 15.2238 839 113.909 366.25 476.26
49 0 56.0662 14.9823 840 114.989 365.269 474.579
50 0 60.0555 14.4533 868 112.06 366.513 474.474
51 0 62.0742 15.0626 935 110.587 366.793 474.779
52 0 64.0689 14.9526 958 110.375 366.416 472.676
53 0 66.0612 13.6994 905 112.134 366.202 472.959
54 0 69.1066 15.382 1063 109.635 365.92 470.416
55 0 69.1066 15.4544 1068 156.879 364.924 470.383
56 0 73.1609 15.4044 1127 110.957 365.929 467.61
57 0 77.2929 16.5992 1283 107.128 366.838 466.107
58 0 78.0775 15.5615 1215 111.277 366.431 464.147
59 0 81.3031 16.1863 1316 109.711 367.106 465.196
60 0 86.1378 16.6245 1432 107.736 367.294 462.09
61 0 88.0935 16.5166 1455 107.696 367.676 460.568
62 0 89.1287 16.4818 1469 109.838 368.21 457.764
63 0 92.2611 16.8327 1553 109.821 368.661 458.205
64 0 94.2647 15.414 1453 112.187 367.778 459.467
65 0 97.3065 16.5251 1608 110.217 367.861 456.3
66 0 101.104 17.0616 1725 107.606 368.364 453.999
67 0 105.303 17.7963 1874 106.055 369.512 452.94
68 0 111.176 17.126 1904 104.67 368.913 451.109
69 0 116.22 17.4583 2029 103.673 369.312 449.409
70 0 117.504 15.4038 1810 110.548 368.05 445.339
71 0 117.504 15.3442 1803 166.357 367.048 445.403
72 1 68.2554 13.303 908 110.656 367.013 468.487
73 0 70.0845 14.4682 1014 109.271 367.641 467.186
74 0 74.1544 14.7125 1091 108.068 367.91 466.787
75 0 75.0817 15.6496 1175 108.174 368.463 464.105
76 0 80.1116 14.6795 1176 108.097 367.864 464.229
77 0 82.186 14.6132 1201 109.104 368.091 459.685
78 0 85.2151 15.4785 1319 106.019 368.092 459.679
79 0 87.1477 15.9729 1392 106.573 368.716 458.999
80 0 91.2417 16.5385 1509 105.554 367.962 456.997
81 0 94.1901 16.3074 1536 106.354 367.359 456.275
82 0 95.0927 15.4586 1470 109.305 366.805 454.733
83 0 99.3172 14.5393 1444 111.614 367.846 454.337
84 0 102.13 15.774 1611 108.606 368.879 450.713
85 0 107.144 16.0158 1716 107.115 368.87 450.981
86 0 111.154 15.7439 1750 107.806 368.115 448.165
87 1 64.1621 13.2009 847 107.994 368.538 471
88 0 67.0604 12.6751 850 106.787 368.509 470.62
89 0 71.0697 15.4356 1097 101.037 368.134 468.184
90 0 72.1614 13.7885 995 104.12 367.613 468.994
91 0 77.0813 15.9831 1232 99.9919 367.939 465.005
92 0 77.1077 13.7989 1064 106.74 368.339 461.273
93 0 81.2592 14.0415 1141 105.66 367.998 463.64
94 0 85.1066 14.006 1192 106.996 369.18 459.171
95 0 88.1825 15.2751 1347 103.89 369.022 458.904
96 0 92.1001 14.5385 1339 105.594 368.213 455.954
97 0 95.1349 15.6199 1486 102.361 368.123 455.629
98 0 98.189 15.7248 1544 101.793 369.289 453.034
99 0 100.178 15.9018 1593 102.829 368.492 450.515
100 0 104.332 15.4123 1608 102.489 367.83 451.452
101 0 106.408 13.8712 1476 106.162 369.297 449.425
102 0 111.18 13.9144 1547 105.576 367.681 445.355
103 0 114.305 14.96 1710 103.388 368.378 447.561
104 0 119.417 14.8387 1772 103.21 368.303 441.689
105 0 122.499 12.9308 1584 107.568 368.725 439.484
106 0 128.769 15.0037 1932 104.266 369.05 437.889
107 0 131.517 12.4014 1631 107.41 369.205 435.853
108 1 69.2825 11.2583 780 105.033 369.401 465.477
109 0 73.3034 11.3501 832 103.983 369.272 466.48
110 0 73.41 10.6253 780 103.792 369.197 467.345
111 0 78.271 12.9805 1016 100.394 369.271 464.266
112 0 79.3696 13.1159 1041 101.161 369.266 460.002
113 0 82.5108 12.6892 1047 102.557 369.281 459.853
114 0 85.4262 14.375 1228 99.7386 369.598 458.529
115 0 88.3404 12.9499 1144 103.096 369.367 455.908
116 0 92.2863 14.1083 1302 100.808 368.1 457.157
117 0 95.2226 13.3267 1269 102.738 368.551 457.333
118 0 98.3221 13.7202 1349 101.517 368.569 455.481
119 1 45.2153 9.68698 438 100.801 369.03 481.071
120 0 46.1911 10.0452 464 100.468 368.821 480.627
121 0 48.0578 10.633 511 100.405 368.636 480.658
122 0 50.1378 13.064 655 96.2412 368.89 479.075
123 0 51.1402 12.5342 641 97.0827 368.12 477.594
124 0 54.0746 12.9821 702 95.9544 367.607 477.343
125 0 53.089 11.961 635 101.028 368.898 475.581
126 0 57.1308 12.1126 692 99.4451 368.788 474.958
127 0 60.1288 14.0698 846 96.3924 367.896 472.851
128 0 60.1162 12.1431 730 102.921 367.523 472.101
129 0 62.1141 12.1229 753 102.94 368.44 471.599
130 0 63.1177 12.1836 769 103.464 369.178 470.879
