div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation
,0.39998329556506057,,2.153748103990834,0.2,4.862888971970201,7.016637075961035,1.9999164778253027,1.0,0.0
0.36279999709959493,0.6674227784198579,0.5435834808613127,3.3763935502244444,0.3333333333333333,3.8141280056914426,7.190521555915887,2.002268335259574,1.0,1.0
0.36257182273585037,0.6810600498421827,0.5323639564820556,3.4696624974160506,0.31666666666666665,3.8279745046768876,7.297637002092938,2.1507159468700507,1.0,2.0
0.2701817076522393,0.5016428596906556,0.5385937473900262,2.3600793030867635,0.2666666666666667,3.9304616600493523,6.290540963136116,1.8811607238399581,1.0,3.0
0.329775104806549,0.6325671360325478,0.5213282290871034,2.7016987982512535,0.33333333333333326,3.2794365803116334,5.981135378562887,1.8977014080976438,1.0,4.0
0.3321231220375779,0.6207368767997653,0.5350465462110974,2.5797169209165904,0.3500000000000001,3.2001858267210768,5.779902747637667,1.7735339337136147,1.0,5.0
0.3513337755968834,0.658751466339578,0.5333328175330015,2.7128821816161794,0.40000000000000013,3.0826118174643344,5.795493999080514,1.6468786658489445,1.0,6.0
0.33923596053072946,0.600000288984768,0.5653929952346098,2.5082651756206804,0.31666666666666643,3.276731711004339,5.784996886625019,1.8947377546887425,1.0,7.0
0.4535050021750758,0.8803162787129549,0.5151614404292418,4.00581855138814,0.5166666666666666,2.980207328992424,6.986025880380565,1.7038379587992678,1.0,8.0
0.3366306316670014,0.6057876395953609,0.5556908224338412,3.0093189135209095,0.3166666666666669,3.8820704670127753,6.891389380533685,1.913013598722191,1.0,9.0
0.3463332359144922,0.6632822485318911,0.5221506179022071,3.1791450977216984,0.3666666666666667,3.598343223250372,6.77748832097207,1.8089515869051573,1.0,10.0
0.31789410689833386,0.574100267216059,0.5537257602053971,2.712144984817815,0.31666666666666643,3.75286987281346,6.465014857631275,1.8129482122612404,1.0,11.0
0.5255099723103073,1.006351866035053,0.5221930718733351,5.590023503445353,0.5666666666666664,3.3759859682132274,8.96600947165858,1.7759150577089178,1.0,12.0
0.5673661610024747,0.9546901959464651,0.5942934822327328,8.065849624824759,0.4833333333333334,5.328440990643642,13.394290615468401,1.9752210950616518,1.0,13.0
0.1818273124479189,0.7146672796001993,0.2544223271976816,3.351757010378743,0.40000000000000036,3.4078065895495375,6.75956359992828,1.7866681990004967,1.0,14.0
0.3156760478327631,0.5893693536073935,0.5356166653399655,2.7172078060870586,0.33333333333333304,3.6205349145469983,6.337742720634057,1.7681080608221822,1.0,15.0
0.34567768384464803,0.6196729278062895,0.5578389313672055,2.8340983575135077,0.3333333333333339,3.535439626558788,6.369537984072296,1.8590187834188652,1.0,16.0
0.30077188371429386,0.5554112719251239,0.5415300317398699,2.39701505388558,0.33333333333333304,3.4492961066829775,5.846311160568558,1.666233815775373,1.0,17.0
0.37292432823811433,0.740965472124833,0.5032951497303865,3.042986710088633,0.40000000000000036,2.9424200509287814,5.985406761017415,1.8524136803120808,1.0,18.0
0.43826419644877446,0.8084444892777808,0.5421079644445288,3.8148370409192243,0.4333333333333327,3.2447366755876708,7.059573716506895,1.8656411291025738,1.0,19.0
0.40103174485500176,0.8003072438269387,0.5010972322796097,4.0990921007139,0.43333333333333357,3.537532850415483,7.6366249511293836,1.8468628703698577,1.0,20.0
0.2355178561432695,0.47906040794188265,0.4916245472154347,2.1033509280536515,0.2333333333333334,3.7543522838530743,5.857703211906726,2.0531160340366394,1.0,21.0
0.33780524028707754,0.6340377870747952,0.5327840819166001,2.5876533060805116,0.35000000000000053,3.1208910278956443,5.708544333976156,1.811536534499412,1.0,22.0
0.46627406536426513,0.8433028432891311,0.5529141388230805,3.961448756515922,0.4666666666666668,3.1563348743538016,7.117783630869724,1.807077521333852,1.0,23.0
0.2945325334189117,0.6077721372598519,0.4846101283069922,2.662360271030107,0.2833333333333332,3.4493500386171854,6.111710309647292,2.1450781315053606,1.0,24.0
0.32230147470981946,0.6233897298980777,0.5170144120958085,2.561632633995889,0.34999999999999964,3.159842312642186,5.721474946638075,1.7811135139945096,1.0,25.0
0.37436788325731324,0.6824751559242269,0.5485443389515532,2.8732668002393273,0.34999999999999964,3.138482692431456,6.011749492670783,1.9499290169263646,1.0,26.0
0.3524676902010684,0.6841752933904296,0.5151716140675225,2.8537848680785136,0.36666666666666714,3.097082689508817,5.950867557587331,1.8659326183375329,1.0,27.0
0.3649244673136443,0.7104672839379786,0.5136400726166315,2.989131185928381,0.4166666666666661,3.0566040444111127,6.045735230339494,1.705121481451151,1.0,28.0
0.38383401944522805,0.724137389423781,0.5300568994934192,3.182238543966005,0.34999999999999964,3.2045836713518843,6.386822215317889,2.0689639697822337,1.0,29.0
0.38709502568482557,0.7861616949034204,0.4923860170169955,3.5354286461879907,0.40000000000000036,3.1447819519960394,6.68021059818403,1.9654042372585492,1.0,30.0
0.27173604538733204,0.5129671284198138,0.5297338373794245,2.1591541825839795,0.23333333333333428,3.538733594678727,5.697887777262706,2.1984305503706216,1.0,31.0
0.29318126251136734,0.5629435315164535,0.520800481926842,2.098294549842194,0.33333333333333215,2.9674627003634804,5.0657572502056745,1.6888305945493665,1.0,32.0
0.3067364693767132,0.6026835356426127,0.508951134776985,1.9924010265396173,0.3333333333333339,2.578222900996917,4.570623927536534,1.8080506069278348,1.0,33.0
0.39005390131360435,0.7544410459203168,0.5170104455780119,2.4996540026902476,0.38333333333333286,2.363060313345186,4.862714316035434,1.9681070763138724,1.0,34.0
