fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,dataset,trap_ID,trace,generation
0.6053699499355523,0.5428043494285923,2.415433016297539,0.45,3.0325277321448936,5.447960748442434,1.3452665554123384,NC,0,A,0
0.809564720946918,0.5204799889042269,3.6873916629476313,0.6084343016091287,2.9571767897708026,6.644568452718434,1.3305704803392229,NC,0,A,1
0.6212259222465704,0.5549586235625709,2.9783727090242387,0.4954004007507848,3.4583649145442665,6.436737623568505,1.2539875246469232,NC,0,A,2
0.5698402339723595,0.4519524762110355,2.743335368061387,0.5567626967715343,3.5721230518089913,6.315458419870378,1.0234885298110974,NC,0,A,3
0.6719406377055854,0.5271824651319226,2.734502545977418,0.6412613580138493,2.854287071268251,5.588789617245669,1.0478420838997031,NC,0,A,4
0.5942328033449912,0.5180514314705226,2.391346133431377,0.5345835258007554,2.9463118875232657,5.337658020954643,1.1115808375405636,NC,0,A,5
0.5606494954352931,0.5244460783846783,2.0788908004049342,0.47935431075171253,2.765181378455669,4.844072178860603,1.1695931023465613,NC,0,A,6
0.889723725592452,0.49329801766070325,3.644172916532433,0.7004495635317373,2.540454657615767,6.1846275741482,1.2702181169281845,NC,0,A,7
0.8178962077994412,0.4658516039235341,3.861565256318376,0.7092855452045621,3.050864522297031,6.912429778615407,1.1531268518429416,NC,0,A,8
0.507516035579386,0.5229434598355452,2.1290446519161987,0.47303753711687535,3.220166499376787,5.349211151292986,1.0728874470991334,NC,0,A,9
0.6272697543744447,0.5172816382277301,2.4406502515383672,0.5275953574533533,2.797334986848034,5.237985238386401,1.1889220507970524,NC,0,A,10
0.672896169955098,0.4940520048842959,2.6008765262255853,0.5982112018839854,2.709513585125185,5.31039011135077,1.1248471573850547,NC,0,A,11
0.5718248839262251,0.4622748779967005,2.0241060653902596,0.48216213265224184,2.6236088812305876,4.647714946620847,1.1859597533733581,NC,0,A,12
0.6742913207661054,0.5591139556773033,2.0682565201373393,0.6094762049863334,2.1485218599125933,4.2167783800499326,1.1063456050449507,NC,0,A,13
0.920170261837039,0.5383076457728381,3.559400401574047,0.6804880663869304,2.3576596402842487,5.917060041858296,1.3522210120784448,NC,0,A,14
1.0757834965406623,0.5412834961518563,6.1547257350439715,0.7797375980952734,3.1851986610292697,9.339924396073242,1.379673750718913,NC,0,A,15
1.0161262905067696,0.5020073148509078,8.910264930560139,0.8125874990951034,5.055546930900539,13.96581186146068,1.2504823069987254,NC,0,A,16
0.5687507123838891,0.5395352735249698,2.3661307317604434,0.35,3.1082841448021346,5.474414876562578,1.6250020353825405,NC,0,B,0
0.6154115275609936,0.5030432284851281,2.511828385493428,0.5128731019909999,2.9536399278153542,5.465468313308782,1.199929427322147,NC,0,B,1
0.479665195238525,0.5209147033059238,1.6923271741630357,0.47026798560686706,2.749366825510017,4.441693999673053,1.0199826692848997,NC,0,B,2
0.6765572437094866,0.4828853894283561,2.23760728336517,0.49544040123566646,2.3137437120153903,4.55135099538056,1.3655673659679364,NC,0,B,3
0.88680192256393,0.5028225579161228,3.1370121418319696,0.7620968389333173,2.197780897829478,5.334793039661448,1.1636341699109505,NC,0,B,4
0.8595656032841176,0.5390992659937299,3.653863166687143,0.6967538166045363,2.6824542821556974,6.33631744884284,1.233671897877798,NC,0,B,5
0.6830143505895301,0.5089090447147565,3.347028078929821,0.6559226465325028,3.4159040857744385,6.762932164704259,1.041303199699303,NC,0,B,6
0.948515605783788,0.442148716082396,5.444364199612082,0.6217083113195638,3.441717347410345,8.886081547022426,1.52566016653466,NC,0,B,7
0.6295731427229935,0.5162581507484562,3.444956953998014,0.5191549388099956,3.928969547019437,7.373926501017451,1.2126883434184368,NC,0,B,8
0.6909468422775604,0.5315037961049158,3.7901153623980743,0.6228507256488841,3.806849659170303,7.596965021568377,1.1093297540237013,NC,0,B,9
0.6992278759025731,0.5456073815264202,4.087070803391406,0.5381877388802363,4.037815747839856,8.124886551231262,1.2992266924501104,NC,0,B,10
0.25934289093425295,0.49999969157950747,1.3125138343499172,0.34644694531069975,4.432998076416515,5.7455119107664325,0.7485789511051097,NC,0,B,11
0.400791108257487,0.4597757874761412,1.4162832087231068,0.3791302422696465,2.872754183349603,4.28903739207271,1.0571330470979279,NC,0,B,12
0.8875904497279479,0.4483647072337136,2.8185123905014895,0.576120470774842,1.971995544454845,4.790507934956334,1.5406334174069538,NC,0,B,13
0.9455108659694317,0.5254242578619631,3.3810613348203855,0.7584958244064007,2.1478946877574785,5.528956022577864,1.2465604101504304,NC,0,B,14
0.7777154006031567,0.4568115670089889,3.41777156487209,1.0018606984905714,2.9050476149144058,6.322819179786496,0.7762709943357219,NC,0,B,15
0.6120848618774214,0.5310858093320278,2.2373767773078264,0.4,2.6768345034602485,4.9142112807680745,1.5302121546935534,NC,1,A,0
0.8434492038250121,0.507277792585884,3.456431744675318,0.4981647321518964,2.6098678752752935,6.066299619950612,1.69311303949922,NC,1,A,1
0.3430211853476979,0.48151409241792814,1.2592265246232723,0.24571947306704228,3.0772990803731335,4.336525604996406,1.395986980869472,NC,1,A,2
0.8120435638823382,0.555538461861157,2.6153564048819824,0.5678276878624963,2.088098190936951,4.7034545958189335,1.430088002469828,NC,1,A,3
1.0096964086854467,0.4940957270068571,4.558990383448521,0.6727614631071481,2.61294993159504,7.171940315043561,1.500823789790463,NC,1,A,4
0.8942443427407574,0.49439925884789826,5.122264462438357,0.574141781465018,3.5436250640112363,8.665889526449593,1.5575322535471021,NC,1,A,5
