timeA	lengthA	cellareaA	meanfluorescenceA	fluorescenceA
5.8	3.200258679	2.28125	18211.06849	41544
5.85	3.169286945	2.21875	20092.39437	44580
5.9	3.221361338	2.34375	20430.50667	47884
5.95	3.342329458	2.3125	21526.48649	49780
6	3.240276689	2.21875	22592.90141	50128
6.05	3.374884715	2.515625	19656.34783	49448
6.1	3.488954206	2.484375	22869.33333	56816
6.15	3.514139638	2.5625	22737.17073	58264
6.2	3.785875085	2.703125	23932.30058	64692
6.25	3.871924137	2.671875	24710.73684	66024
6.3	3.809543755	2.6875	22876.27907	61480
6.35	4.015593011	2.78125	25553.97753	71072
6.4	4.292657035	3.015625	25052.18653	75548
6.45	1.967262942	1.40625	23842.13333	33528
6.5	2.063688405	1.453125	24463.13978	35548
6.55	2.271954268	1.625	24672	40092
6.6	2.217458638	1.515625	24868.94845	37692
6.65	2.51271502	1.703125	24817.90826	42268
6.7	2.647314506	1.71875	25560.43636	43932
6.75	2.723232428	1.828125	24917.33333	45552
6.8	2.749736246	2.015625	24482.72868	49348
6.85	2.762908258	2.03125	24229.41538	49216
6.9	2.618505566	1.921875	24615.54472	47308
6.95	2.914213328	2.25	21681.77778	48784
7	3.090200367	2.359375	23611.33775	55708
7.05	3.151145631	2.359375	23324.82119	55032
7.1	3.319469125	2.484375	22882.21384	56848
7.15	3.310483584	2.375	23284.21053	55300
7.2	3.348465621	2.515625	21081.04348	53032
7.25	3.506905292	2.5	22843.2	57108
7.3	3.410420395	2.640625	22923.36095	60532
7.35	3.715848664	2.84375	20361.84615	57904
7.4	3.824512794	2.765625	23296	64428
7.45	3.766087482	2.890625	22209.72973	64200
7.5	3.949393421	2.96875	24418.35789	72492
7.55	3.953725011	3.0625	24275.59184	74344
7.6	4.074580241	3.078125	24864.48731	76536
7.65	4.231275934	3.1875	24778.03922	78980
7.7	4.301534414	3.1875	25559.84314	81472
7.75	4.464847359	3.40625	25078.6055	85424
7.8	4.511287677	3.109375	26072.1206	81068
7.85	4.735408955	3.34375	25718.42991	85996
7.9	4.845865321	3.4375	26077.09091	89640
7.95	2.384537257	1.90625	25341.90164	48308
8	2.483463056	1.84375	25521.89831	47056
8.05	2.486535496	1.828125	26483.96581	48416
8.1	2.571726564	2	23584	47168
8.15	2.691812673	2.046875	26143.26718	53512
