lineage_ID,dataset,kind,variable1,variable2,lag,r
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,0,1.0
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,8,0.5497583347900601
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,16,0.13811435024658145
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,24,-0.12278192580962345
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,32,-0.0021349960330018553
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,40,-0.17983589438004888
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,48,-0.28956043736621284
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,56,-0.48961647391326757
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,64,-0.4995990544455869
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,72,-0.14408727925584872
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,80,-0.21405779727943364
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,88,-0.16236562530128798
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,96,-0.2259872398005697
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,104,0.23671459960789482
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,112,0.2937506209866765
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,120,0.6577087110846396
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,128,0.441750261012239
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,136,0.4868473622121965
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,144,0.094121193873179
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,152,0.2203604304399631
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,160,-0.24474840501443768
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,168,-0.19826124211320736
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,176,-0.33111223055654165
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,184,-0.03441199446305335
0.0,Trace,normalized_cumsum,fold_growth,fold_growth,192,-0.2418814043525338
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,0,1.0
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,8,0.8472710160514182
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,16,0.7837114028679063
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,24,0.5885985195035963
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,32,0.44873400335124725
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,40,0.3280453032952736
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,48,0.17580914260315378
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,56,-0.08330764009820336
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,64,-0.1401158731937945
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,72,-0.35378608462060845
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,80,-0.25941415401087464
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,88,-0.37220812168345324
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,96,-0.2255776706812022
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,104,-0.3446097050968464
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,112,0.07682505727304635
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,120,0.056256411277436184
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,128,-0.2100906974167407
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,136,-0.25855456123294707
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,144,-0.06252592008005001
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,152,-0.19622980195742665
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,160,0.06419676299233668
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,168,0.10132023759243035
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,176,0.03465184734984616
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,184,0.04376344579082609
0.0,Artificial,normalized_cumsum,fold_growth,fold_growth,192,0.36441264865254125
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,0,0.9999999999999999
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,8,0.7481876799327831
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,16,0.5932008110174499
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,24,0.31481052603569815
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,32,0.30025007016287664
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,40,0.2258314518208781
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,48,0.1874911637784102
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,56,0.09437022695481483
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,64,0.1655962348986281
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,72,0.19023581035711892
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,80,0.05552090719653866
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,88,0.19340634227866907
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,96,-0.011677342763581308
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,104,-0.0016028663076284111
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,112,-0.042824707746072554
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,120,-0.3469522561040586
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,128,-0.5771213444814057
0.0,Shuffled,normalized_cumsum,fold_growth,fold_growth,136,0.07605540339301547
