lineage_ID,dataset,variable,ws,length,num_of_ind_means,ebp,cv_means,var_means
0.0,Trace,$\phi$,3,249,83,0.1908495661058089,0.009069281469797094,0.006301316147365862
0.0,Trace,$\phi$,4,248,62,0.1433574296961969,0.006831218251838111,0.004748544048396083
0.0,Trace,$\phi$,5,250,50,0.10507689816175739,0.0049748584090306275,0.0034580980834292463
0.0,Trace,$\phi$,6,246,41,0.07284470596509121,0.0034433624624012203,0.002390369909247939
0.0,Trace,$\phi$,7,245,35,0.05384279066459852,0.002554970663641479,0.0017729022978976612
0.0,Trace,$\phi$,8,248,31,0.04780972762868575,0.0022782124699404476,0.0015836402624387744
0.0,Trace,$\phi$,9,243,27,0.04354078221135554,0.0020376003613434414,0.0014101375297674924
0.0,Trace,$\phi$,10,250,25,0.04490783319560709,0.0021261582280492227,0.001477924211900736
0.0,Trace,$\phi$,11,242,22,0.04056936264585238,0.0019051453764609779,0.0013188794988337393
0.0,Trace,$\phi$,12,240,20,0.0362516164686619,0.0017159308895988588,0.0011878365964232065
0.0,Trace,$\phi$,13,247,19,0.0243286651038939,0.0011484398766543045,0.0007966575954539299
0.0,Trace,$\phi$,14,238,17,0.020792501464166935,0.0009656117746922591,0.0006676342827123829
0.0,Trace,$\phi$,15,240,16,0.025402000372639826,0.001202376096378891,0.0008323332475687329
0.0,Trace,$\phi$,16,240,15,0.010134595899903601,0.0004797100888805809,0.00033207467893942505
0.0,Trace,$\phi$,17,238,14,0.013527176666269135,0.0006282072933746066,0.00043434922470835647
0.0,Trace,$\phi$,18,234,13,0.01359280105904229,0.0005978230439788678,0.0004144082514687025
0.0,Trace,$\phi$,19,247,13,0.0336069267998218,0.001586422218559793,0.0011004801694054764
0.0,Trace,$\phi$,20,240,12,0.01603371575247361,0.0007589385195692164,0.000525367865013673
0.0,Trace,$\phi$,21,231,11,0.012232046008052154,0.0005423327846846293,0.00037560741879095734
0.0,Trace,$\phi$,22,242,11,0.008783920086637297,0.0004124946424804293,0.00028555864243640523
0.0,Trace,$\phi$,23,230,10,0.004862161064491468,0.00021443130391938934,0.0001482461024395826
0.0,Trace,$\phi$,24,240,10,0.013866350668151147,0.0006563486474612531,0.00045435101622863657
0.0,Trace,$\phi$,25,250,10,0.009791718128723126,0.00046358821133592166,0.0003222470617879395
0.0,Trace,$\phi$,26,234,9,0.002239612273489055,9.850006785606511e-05,6.827980503746422e-05
0.0,Trace,$\phi$,27,243,9,0.00427060078786717,0.00019985349978949812,0.00013831020344084514
0.0,Trace,$\phi$,28,224,8,0.007685871188236683,0.0003333878238805968,0.0002311893773372511
0.0,Trace,$\phi$,29,232,8,0.010544712079921364,0.00046664412434329076,0.0003235010322593029
0.0,Trace,$\phi$,30,240,8,0.008209486638022227,0.0003885871329933386,0.0002689956922312672
0.0,Trace,$\phi$,31,248,8,0.002436324687928268,0.00011609489449447692,8.070035240823748e-05
0.0,Trace,$\phi$,32,224,7,0.0023365084261897213,0.00010135005396373051,7.028167854553534e-05
0.0,Trace,$\phi$,33,231,7,0.004490183698731981,0.0001990814805205776,0.00013787933007018837
0.0,Trace,$\phi$,34,238,7,0.006349676573295654,0.00029488142517283854,0.00020388416332559403
0.0,Trace,$\phi$,35,245,7,0.003073211493736993,0.00014583131952754572,0.00010119281805269042
0.0,Trace,$\phi$,36,216,6,0.004470009590683825,0.00018996696996267858,0.00013193176165640335
0.0,Trace,$\phi$,37,222,6,0.006737208620874887,0.00029105936526357344,0.00020183089257293774
0.0,Trace,$\phi$,38,228,6,0.00816095664641649,0.00036281856342205055,0.0002509326770016749
0.0,Trace,$\phi$,39,234,6,0.0017306678303585664,7.611625491811312e-05,5.2763446351988224e-05
0.0,Trace,$\phi$,40,240,6,0.003668099624687413,0.00017362551150148595,0.00012019058453011283
0.0,Trace,$\phi$,41,246,6,0.0030750519913988533,0.00014535742106213162,0.00010090660195862827
0.0,Trace,$\phi$,42,210,5,0.006000385109220178,0.00024643914942158463,0.0001710010200341845
0.0,Trace,$\phi$,43,215,5,0.0035849091356820657,0.00015285260140062408,0.00010607310125362126
0.0,Trace,$\phi$,44,220,5,0.0012620664713364706,5.4708016762787046e-05,3.7957319192806886e-05
