time division length width area intensity CMx CMy
0 0 68.0492 13.0494 888 100.107 839.329 489.454
1 0 72.067 13.3626 963 98.5649 839.857 486.983
2 0 74.0482 12.3838 917 99.9869 839.619 487.965
3 1 38.0345 11.6999 445 102.616 839.6 505.083
4 0 39.0361 12.0914 472 100.396 840.159 504.644
5 0 39.0467 12.5491 490 101.951 840.086 504.471
6 0 42.0143 12.7338 535 95.5327 839.873 504.766
7 0 41.0135 12.4593 511 96.4501 840.219 503.91
8 0 45.0334 13.0792 589 92.9389 840.318 503.615
9 0 47.0295 12.8855 606 93.9142 840.167 503.078
10 0 48.0388 13.0936 629 93.0986 839.025 500.61
11 0 49.048 12.8649 631 93.8051 839.979 501.61
12 0 53.0236 13.2583 703 100.541 839.797 499.65
13 0 52.0194 13.2835 691 101.327 838.823 499.051
14 0 56.0528 13.3446 748 100.651 839.041 497.04
15 0 58.0516 13.0229 756 100.811 838.685 495.713
16 0 59.0368 13.3307 787 99.0165 839.563 497.149
17 0 62.0595 12.8103 795 99.5698 838.686 493.003
18 0 64.0437 13.4752 863 96.117 839.138 494.023
19 0 66.0286 13.1912 871 96.504 838.377 491.032
20 0 67.0376 13.0076 872 97.9048 838.135 490.393
21 0 71.0723 13.1978 938 96.9115 837.265 489.277
22 0 71.1099 12.4877 888 98.4032 838.221 487.868
23 0 76.0749 12.7637 971 95.3522 837.86 486.628
24 0 76.1012 13.0221 991 94.4339 837.933 486.768
25 0 81.0462 13.19 1069 91.8316 838.137 485.857
26 1 41.0341 11.3564 466 87.897 838.013 506.637
27 0 42.0358 11.7281 493 85.8925 838.016 505.836
28 0 43.0702 11.609 500 85.076 838.322 506.534
29 0 47.0729 12.0451 567 84.157 837.501 505.975
30 0 47.0156 12.2512 576 82.9479 838.392 506.484
31 0 48.0358 12.3866 595 82.9126 838.166 504.874
32 0 48.0287 12.0553 579 83.3575 837.278 505.102
33 0 49.0056 11.8354 580 83.769 837.533 503.638
34 0 53.0449 11.971 635 81.7417 837.38 503.417
35 0 54.1006 11.2383 608 83.5378 837.836 501.558
36 0 56.0398 11.3134 634 84.3391 836.762 500.104
37 0 57.0258 11.6088 662 85.7764 837.23 498.076
38 0 61.0295 11.6993 714 86.2787 836.969 495.986
39 0 64.0228 12.3862 793 85.9723 837.451 495.322
40 0 65.041 12.0078 781 88.2945 837.471 494.068
41 0 68.0403 12.2721 835 88.2347 837.049 492.18
42 0 69.0846 11.9129 823 89.7983 837.016 492.273
43 0 72.0378 13.3957 965 87.3254 836.687 490.407
44 0 76.0837 13.0251 991 87.4753 836.647 489.673
45 0 78.1665 13.1002 1024 87.6699 836.744 487.197
46 0 81.1137 12.6119 1023 88.696 836.734 486.879
47 0 84.1458 13.0725 1100 88.1418 836.788 485.779
48 1 43.0402 11.8261 509 91.4853 837.523 505.764
49 0 46.0319 12.1872 561 90.5062 837.872 504.706
50 0 43.035 12.6176 543 87.8269 836.901 504.214
51 0 45.0145 12.3738 557 89.6104 837.397 505.914
52 0 47.0566 12.6231 594 89.5875 837.056 504.044
53 0 47.0153 12.1663 572 92.0262 836.71 503.425
