time division length width area intensity CMx CMy
0 0 38.1836 12.8327 490 117.986 1018.61 503.265
1 0 38.1253 12.5376 478 118.464 1018.29 502.056
2 0 40.0737 13.001 521 113.94 1018.62 503.852
3 0 41.1924 12.7936 527 113.994 1018.7 503.315
4 0 42.1337 12.4129 523 113.868 1018.06 502.989
5 0 42.1337 12.4841 526 131.77 1018.07 502.838
6 0 43.1159 12.362 533 112.94 1018.33 502.426
7 0 44.1143 13.0343 575 110.252 1018.07 501.767
8 0 45.0927 12.7515 575 109.623 1018.12 501.586
9 0 46.0786 13.1731 607 109.315 1017.57 499.43
10 0 48.1173 12.4695 600 108.692 1017.58 500.532
11 0 49.0821 12.9986 638 108.257 1017.22 499.171
12 0 51.1233 13.1838 674 106.328 1016.51 498.481
13 0 53.1239 13.3273 708 103.764 1016.61 497.864
14 0 54.1323 12.5618 680 105.206 1016.55 495.388
15 0 55.1834 13.4642 743 103.015 1017.35 495.515
16 0 58.0921 13.2032 767 101.92 1016.66 496.696
17 0 61.2093 13.6254 834 100.013 1016.41 492.866
18 0 61.1496 13.1481 804 101.082 1016.29 495.223
19 0 63.1554 13.4272 848 99.7972 1015.72 492.324
20 0 66.1622 13.1797 872 99.3073 1015.85 491.489
21 0 67.181 13.1287 882 99.4048 1016.41 489.819
22 0 68.1992 13.4459 917 98.8222 1015.88 486.39
23 0 69.3015 13.3619 926 98.378 1015.91 485.932
24 0 70.1433 12.9164 906 98.713 1015.42 485.347
25 0 73.3199 12.6159 925 98.6432 1015.36 485.441
26 0 77.2191 12.9243 998 94.49 1015.63 480.671
27 0 81.1605 13.1221 1065 94.4535 1015.55 479.486
28 0 83.1371 13.2793 1104 93.5163 1014.87 480.277
29 0 84.2191 12.9306 1089 93.8678 1015.02 480.949
30 0 89.2611 12.6819 1132 94.0972 1015.36 479.307
31 0 90.3242 13.1415 1187 92.4052 1015.69 479.639
32 0 93.3987 12.2272 1142 93.2522 1015.2 478.107
33 0 97.3996 12.8851 1255 89.6064 1014.93 475.047
34 1 53.2186 11.0863 590 83.2932 1015.12 498.068
35 0 56.0921 13.05 732 85.1434 1015.06 500.195
36 0 58.2362 13.3422 777 83.9035 1015.51 498.176
37 0 61.1303 13.4794 824 84.233 1015.26 496.393
38 0 63.1848 12.9936 821 85.877 1015.38 494.348
39 0 65.1919 12.793 834 86.9556 1015.29 493.255
40 0 68.178 13.5087 921 86.1813 1015.35 491.574
41 0 69.1961 13.6279 943 86.8929 1014.98 490.979
42 0 71.1468 13.2965 946 88.4218 1015.29 489.887
43 0 75.158 13.2521 996 89.1938 1014.69 486.734
44 0 77.1293 13.3672 1031 89.0873 1014.91 484.958
45 0 81.1451 13.137 1066 87.0947 1014.59 483.38
46 0 82.2038 13.3692 1099 94.2093 1014.89 482.352
47 0 86.2151 13.1531 1134 94.9921 1014.19 478.615
48 0 88.1698 12.7141 1121 95.3488 1014 478.996
49 0 91.1288 13.3437 1216 91.5033 1013.71 478.665
50 0 96.211 13.169 1267 89.4538 1013.98 476.286
51 0 97.1245 12.4788 1212 91.6601 1014.16 474.614
52 0 101.114 12.6392 1278 90.0063 1013.77 473.696
53 1 51.06 10.7325 548 88.0547 1013.87 499.308
54 0 53.1471 10.9319 581 87.6162 1014.23 496.256
55 0 54.1087 11.366 615 84.6179 1014.69 497.125
56 0 57.1016 12.1713 695 78.7468 1015.31 495.164
57 0 56.0757 11.3775 638 80.4592 1015.6 494.359
58 0 57.0624 11.5312 658 80.5669 1014.93 493.249
59 0 59.0237 11.4361 675 82.2089 1015.32 490.467
60 0 63.0489 10.8646 685 81.5022 1016.11 488.991
61 0 66.098 11.7704 778 77.4846 1015.08 487.508
62 0 68.0974 11.836 806 76.9901 1015.17 487.703
63 0 71.1252 11.8805 845 77.5314 1014.91 486.876
64 0 73.1872 11.8327 866 78.4492 1014.58 487.271
65 0 75.1048 11.3841 855 79.5193 1015.25 485.11
66 0 81.1791 12.3677 1004 77.2849 1015.58 484.16
67 0 83.1321 12.438 1034 79.0338 1015.53 483.336
68 0 85.1575 12.4945 1064 78.8318 1015.35 481.715
69 0 90.2992 13.2338 1195 77.0636 1015.97 479.581
70 0 92.1149 12.517 1153 78.5143 1015.3 477.479
71 0 95.1318 12.4564 1185 77.6203 1015.35 478.713
72 1 49.0796 11.3693 558 78.2903 1016.03 501.297
73 0 51.146 11.8093 604 74.0149 1014.66 500.531
74 0 52.1753 11.4422 597 73.6884 1014.87 499.462
75 0 54.1701 11.9808 649 72.3205 1014.85 498.661
76 0 56.1966 11.7623 661 72.4539 1014.28 497.676
77 0 55.1097 10.9237 602 74.5498 1014.31 497.296
78 0 58.1602 11.5027 669 72.3453 1014.93 497.32
79 0 63.1027 12.4083 783 70.4994 1015.09 495
80 0 64.1537 12.6259 810 70.7333 1015.39 495.201
81 0 66.058 12.5798 831 71.0277 1015.43 493.596
82 0 67.1373 11.5584 776 73.5116 1015.27 492.101
83 0 69.1953 11.7204 811 72.7053 1015.23 491.333
84 0 73.194 12.3371 903 73.2879 1015.6 489.288
85 0 76.1238 12.0593 918 74.1656 1015.38 489.472
86 0 77.2206 13.1571 1016 72.501 1015.7 487.251
