variable,kind,value
fold_growth,Trace,0.021802678585898277
division_ratio,Trace,0.07564978948445501
added_length,Trace,0.05519827134543932
generationtime,Trace,0.04781001152084629
length_birth,Trace,0.1069568703092725
length_final,Trace,0.1294316189763993
growth_rate,Trace,0.06555577019960239
fold_growth,Artificial,0.04714658229957538
division_ratio,Artificial,0.024428679977727935
added_length,Artificial,0.030903027547235482
generationtime,Artificial,0.04249288164907342
length_birth,Artificial,0.03585409094921545
length_final,Artificial,0.020514937889885773
growth_rate,Artificial,0.019243235351256913
