fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,dataset,trap_ID,trace,generation
-0.08922994934490136,-0.018640538673117102,0.03369530230969087,0.1293103448275863,0.01633691875924237,0.050032221068931904,-0.4574101260371714,CTRL,130,A,14
0.10050102021551777,0.006635329686284774,0.6304388627552981,-0.020689655172413668,-0.05112276861039789,0.5793160941449012,0.2644461270416512,CTRL,130,A,15
0.008555879910676967,0.022298282859569585,0.5641049886661871,-0.07068965517241366,0.3826396511692649,0.946744639835452,0.2374022615186109,CTRL,130,A,16
-0.06380161113066662,-0.002302284224155571,-0.12159840836763405,-0.020689655172413668,0.6869694421592499,0.5653710337916165,-0.10067083150542544,CTRL,130,A,17
0.09094057105024443,0.03441389674075923,1.0459974115824764,0.17931034482758634,0.3190317370469469,1.365029148629424,-0.2495089891856912,CTRL,130,A,18
-0.18817106559873406,-0.027310124747670358,-0.5090997701490161,-0.1706896551724137,1.0070453591249249,0.4979455889759086,0.1134817819503926,CTRL,130,A,19
-0.06555446384289809,-0.03353444084272239,-0.3586352646139805,-0.1206896551724137,0.12786488435594826,-0.2307703802580319,0.2535881388497472,CTRL,130,A,20
-0.0679904078480873,-0.04899009137098026,-0.5074198330410447,-0.1206896551724137,-0.2785046311259918,-0.7859244641670369,0.2466282988349211,CTRL,130,A,21
0.00034746149149866845,-0.028984433869530982,-0.6789166715629666,-0.020689655172413668,-0.6346623063721659,-1.3135789779351326,0.04188266321049738,CTRL,130,A,22
0.13629349998357398,-0.0024737103655714248,-0.2990813776928989,0.07931034482758638,-0.8050338125739773,-1.1041151902668762,0.03451392990857216,CTRL,130,A,23
0.20289236982474712,-0.07307524330675808,0.5146929866794872,0.1293103448275863,-0.5764879215433258,-0.0617949348638378,0.02946040591224275,CTRL,130,A,24
0.1157992431502708,-0.030346822920838238,0.2694260698980848,-0.020689655172413668,-0.4162158424846281,-0.14678977258654324,0.2984421780077693,CTRL,130,A,25
0.19262004395752647,-0.01347069663719136,0.8194134342509525,0.07931034482758638,-0.2184137427779853,0.6009996914729667,0.13692582804303122,CTRL,130,A,26
-0.10077603292511828,0.031029787559486263,-0.5088094424322294,-0.1206896551724137,0.26773887282540265,-0.2410705696068272,0.1529550843291183,CTRL,130,A,27
-0.16076188510874595,-0.009617540443092931,-0.8668499902994848,-0.1206896551724137,0.06883658273223814,-0.7980134075672467,-0.018433064766960827,CTRL,130,A,28
-0.1223695412071083,-0.06779608766265155,-0.3091642919102555,-0.017241379310344862,0.08394570902931164,-0.2252185828809443,-0.21402274015880507,CTRL,130,B,14
0.15932031258470247,0.0017734106011202397,0.5894491212559645,0.08275862068965513,-0.4951840711176767,0.09426505013828734,0.08982515374328104,CTRL,130,B,15
-0.029142882185021257,-0.012538940436253254,-0.044707413928097406,-0.06724137931034485,0.04467536665478988,-3.204727330707868e-05,0.10357107705756508,CTRL,130,B,16
-0.1360766385179812,0.0271383692759174,-0.6571734847882901,-0.16724137931034488,-0.08499045982732856,-0.7421639446156183,0.17273319945538226,CTRL,130,B,17
-0.09617228299800618,-0.004362752831304273,-0.6336978299248555,-0.017241379310344862,-0.2845399069842189,-0.9182377369090746,-0.16162822374060082,CTRL,130,B,18
0.033249508043936234,0.005078638790142698,-0.3126892183996315,0.08275862068965513,-0.528532050933634,-0.8412212693332668,-0.12029285382466234,CTRL,130,B,19
-0.008594464176707173,0.043421289857681684,-0.4756816834696642,-0.06724137931034485,-0.4434374243041868,-0.9191191077738514,0.14923422818715193,CTRL,130,B,20
-0.028909914366828663,-0.03419199369899695,-0.4590096148365781,-0.017241379310344862,-0.3094738138580109,-0.7684834286945881,-0.027103486478245564,CTRL,130,B,21
0.03547689352304228,-0.00394896006306089,-0.2693632028247337,0.03275862068965518,-0.590374469152283,-0.859737671977018,-0.017375692877221294,CTRL,130,B,22
0.1397647928279383,0.02428048444412612,0.2681644389920508,0.13275862068965516,-0.4954759142635852,-0.2273114752715353,-0.0400801896061771,CTRL,130,B,23
-0.05774683429336136,-0.009543742530995549,-0.4682312791937613,-0.017241379310344862,-0.009451800528197385,-0.4776830797219596,-0.08477732633131119,CTRL,130,B,24
0.004776299107930536,0.05495805199476833,-0.2598888890296638,-0.017241379310344862,-0.32018228065491217,-0.5800711696845751,0.04026894047127283,CTRL,130,B,25
0.09539527383025226,-0.021056936991022512,0.3483080349144143,0.08275862068965513,-0.05593677197803215,0.29237126293638216,-0.016716577514135578,CTRL,130,B,26
0.09971565270813963,-0.04303452195175456,0.7673278571921549,0.03275862068965518,0.01876739731252597,0.78609525450468,0.09942205109568293,CTRL,130,B,27
-0.1536659021046845,0.001341795545144575,-0.6777876825867761,-0.11724137931034485,0.134813097636306,-0.5429745849504712,-0.04381084877634822,CTRL,130,B,28
0.1688873285506537,0.00257297828477876,0.5830743416580941,0.08235294117647074,-0.3518473001360896,0.2312270415220059,0.09444803725994676,CTRL,133,A,14
0.12112222400906858,0.013101625747964585,0.7449266893836124,0.032352941176470695,0.15707562240153994,0.9020023117851528,0.12691117377778105,CTRL,133,A,15
-0.12379501106680325,0.03304179820524944,-0.17743814510006214,-0.11764705882352927,0.5629694103076197,0.3855312652075584,0.041758273241468524,CTRL,133,A,16
0.04985529834403046,-0.0036198043834734244,0.1311080545064498,0.13235294117647067,-0.07661276863730483,0.05449528586914632,-0.1662090759797601,CTRL,133,B,14
-0.0436795242432757,-0.02295866920137496,-0.3737686055589342,0.032352941176470695,-0.001374882794819232,-0.3751434883537517,-0.1518534369574378,CTRL,133,B,15
