distance,correlations,dataset
0.0,0.39420699515104246,physical units
1.0,-0.3723978172487566,physical units
2.0,-0.19140253565710177,physical units
3.0,-0.09269845408933472,physical units
4.0,-0.038244893371555025,physical units
5.0,-0.026443238534083535,physical units
6.0,-0.0029952103906266377,physical units
7.0,-0.0010610039567075851,physical units
8.0,-0.001263391954196747,physical units
9.0,0.006806509594159351,physical units
10.0,0.008947673456311532,physical units
11.0,0.011299417224513046,physical units
12.0,0.004821382464410746,physical units
13.0,-0.014341902327181274,physical units
14.0,0.010210386334343893,physical units
15.0,0.028332107204895596,physical units
0.0,0.46952254378310815,trace centered
1.0,-0.4641697563367608,trace centered
2.0,-0.2438704000838579,trace centered
3.0,-0.11620735500752295,trace centered
4.0,-0.05191482523862215,trace centered
5.0,-0.033128976905132446,trace centered
6.0,-0.008134917604102265,trace centered
7.0,-0.004772108944237763,trace centered
8.0,-0.003664144706896132,trace centered
9.0,0.008758042524581108,trace centered
10.0,0.006688095253404022,trace centered
11.0,0.007580085042360167,trace centered
12.0,0.00044914164063441733,trace centered
13.0,-0.02303522011991862,trace centered
14.0,0.007366292275774548,trace centered
15.0,0.03345602314822344,trace centered
