distance,correlations,dataset
0.0,-0.071269959120187,physical units
1.0,0.014832139818084933,physical units
2.0,0.014957895280038103,physical units
3.0,0.0010328087833525088,physical units
4.0,-0.00805558232946993,physical units
5.0,-0.00708270733042775,physical units
6.0,-0.039409617854031694,physical units
7.0,-0.03459452868572064,physical units
8.0,-0.028621344738087674,physical units
9.0,-0.03223143562287702,physical units
10.0,-0.013087043991033566,physical units
11.0,-0.036829806955430894,physical units
12.0,-0.02520434942244837,physical units
13.0,-0.010413837921581862,physical units
14.0,-0.032779736131787814,physical units
15.0,-0.027359798283894763,physical units
0.0,-0.07285927485983343,trace centered
1.0,0.03707368757778665,trace centered
2.0,0.039525363318193896,trace centered
3.0,0.029116823939845316,trace centered
4.0,0.016519157541997256,trace centered
5.0,0.014859037544764054,trace centered
6.0,-0.023934555736541387,trace centered
7.0,-0.01770224838158093,trace centered
8.0,-0.01141989708124623,trace centered
9.0,-0.012378391760951079,trace centered
10.0,0.012206244289460993,trace centered
11.0,-0.022026679339389905,trace centered
12.0,-0.010109409562506158,trace centered
13.0,0.005533268248425986,trace centered
14.0,-0.02508795388174928,trace centered
15.0,-0.017033502196990548,trace centered
