div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,dataset,trap_ID,trace,lineage_ID,generation
0.01637668660716607,0.08678121366527713,-0.028210112990211367,0.3244665953018304,0.023529411764705688,-0.044558754228355646,0.16773562267437736,0.03985157706091025,SL,24,A,47,3
-0.05021592391767088,-0.07811896547726604,0.007103868629758536,-0.2630960206954074,-0.07647058823529396,0.14059075752420425,-0.23467748157030055,0.03443609220876165,SL,24,A,47,4
0.03854470061061166,0.2311902503066009,-0.08941605838918332,0.5051666386295388,0.12352941176470578,-0.4938462106384123,-0.10085179040797065,0.006041171964604741,SL,24,A,47,5
-0.20910874038591618,-0.26746595971980136,-0.13180322414372025,-1.2900691218978004,-0.2264705882352943,-0.6168585908868685,,0.30617520318916447,SL,24,A,47,6
0.25316657790761427,-0.10624734605907182,,-0.370609652605314,-0.17647058823529405,0.3607192145040803,-0.1220626565003311,0.5717754137178463,SL,24,A,47,7
-0.03912033271599413,-0.09738460907002822,0.04697261435509981,-0.284746116338358,-0.026470588235294135,0.15135085078310828,-0.24556748395434713,-0.21680703047198913,SL,24,A,47,8
0.09610950812979507,0.13730227028547726,0.0396159810997182,0.5742728010021694,-0.02647058823529458,0.04607865020291513,0.5081792328059871,0.3699101679167769,SL,24,A,47,9
-0.07205292824511889,-0.06153685732169201,-0.04610545973863256,-0.17235064939461364,0.023529411764705244,0.066710839731559,-0.21781202806215205,-0.2897441362434645,SL,24,A,47,10
0.08909080067974606,0.21662168497526235,-0.023033958641126673,0.7934680437201356,0.12352941176470578,-0.20379867737050494,0.4774971479505332,-0.020447128637828937,SL,24,A,47,11
-0.024028528945164274,0.04289278752344183,-0.053349713329617354,0.1976917458733547,0.023529411764706132,0.01529811781225332,0.1008176452865106,-0.05767825880983635,SL,24,A,47,12
-0.06065400908713109,-0.1569011282705433,0.07600931354406049,-0.3948869177969938,-0.0764705882352944,0.41795316134430616,-0.08910597485178506,-0.19065580148631445,SL,24,A,47,13
0.05185608705170186,0.04992115778510464,0.050527351173011326,0.411543536916253,0.07352941176470595,0.18672096119662918,0.48609227971378477,-0.19687329414372723,SL,24,A,47,14
-0.07876390641262226,-0.13630930036884603,0.015121150767134384,-0.27797385861235413,0.023529411764706132,0.35889194585926143,-0.03125413115219011,-0.45590512079269807,SL,24,A,47,15
-0.17122892740027532,-0.3487869776292157,0.11051169403340877,-0.9351135378334814,,0.48788994296220256,-0.5593958132703762,,SL,24,A,47,16
0.0664839000791822,-0.019433722965243483,0.1406621384989758,0.13026103158002633,0.02352941176470702,0.25491149559906434,0.27300030877999326,-0.19618161545136203,SL,24,A,47,17
,0.07758069961830272,,0.18944650707166555,-0.01388888888888884,-0.07378452516534839,0.11566198190631738,0.1965237172249239,SL,24,B,48,0
-0.12288379628689708,-0.16993625320093048,-0.062068266077316414,-0.5927644614558105,-0.01388888888888884,-0.1428693104391363,-0.7356337718949466,-0.3535139557067055,SL,24,B,48,1
0.030798878107258676,-0.02139792780070382,0.06731063033203666,-0.18491702551284472,0.08611111111111125,-0.21108627377051303,-0.39600329928335753,-0.2585787505954835,SL,24,B,48,2
0.21248765671358338,0.3009137236300846,0.034028233692013576,1.1378711314991639,0.18611111111111112,-0.0972395097409553,1.0406316217582088,0.07448920068238118,SL,24,B,48,3
-0.06197794786870264,-0.07323240371282225,-0.043442647400828815,-0.1015669324767765,-0.16388888888888853,0.43317926352814107,0.3316123310513648,0.45045202219892544,SL,24,B,48,4
0.05808276808518803,0.17247927266149587,-0.06171816610052627,0.6060889398800102,0.036111111111111205,-0.0275062090799314,0.578582730800079,0.23499313342909267,SL,24,B,48,5
-0.022742108555081908,-0.023656483859934796,-0.022483307745974734,0.09452899106067592,-0.013888888888889062,0.27001687993563683,0.36454587099631297,-0.02844780161560334,SL,24,B,48,6
-0.033382225945815025,-0.017622169405777655,-0.046491514077013574,-0.033016561925556465,-0.013888888888888618,0.05147870629275042,0.018462144367194178,-0.01503821393969984,SL,24,B,48,7
-0.10164305819377689,-0.2287635857878953,0.07749407489315374,-0.5769442871464878,-0.06388888888888933,0.32208847993422296,-0.25485580721226464,-0.3801773339377985,SL,24,B,48,8
-0.016898347715383455,-0.04900714776579507,0.01399839300209127,-0.21712582356048293,-0.013888888888889506,-0.07780852327523213,-0.29493434683571484,-0.08478261029529177,SL,24,B,48,9
0.09319670102469307,0.21308889121025976,-0.04497592848252718,0.5579018168503034,0.2361111111111105,-0.30167463644162984,0.25622718040867376,-0.15034933008019835,SL,24,B,48,10
-0.05228841244993665,-0.0853249272264599,-0.0119872513103495,-0.2628378735689887,-0.11388888888888915,0.12846853559999039,-0.13436933796899808,0.16344401161765298,SL,24,B,48,11
-0.05019889344009976,-0.10392178816314018,0.013708978328914156,-0.4296394682822131,-0.16388888888888897,-0.0060883489925509515,-0.43572781727476384,0.3481540740312017,SL,24,B,48,12
-0.006112048305363382,0.03922979223001466,-0.052119294918792636,-0.14995174698498914,0.08611111111111103,-0.4015581317210264,-0.5515098787060153,-0.14834653235781303,SL,24,B,48,13
-0.03882559821595677,-0.16458377821976566,0.12305423559974171,-0.4903519704459651,-0.06388888888888844,0.08432603434332187,-0.40602593610264304,-0.21972781501747662,SL,24,B,48,14
-0.005332995825404641,0.02068240589522874,-0.03489198683313599,-0.1871478445261172,-0.013888888888888618,-0.3291765286539148,-0.5163243731800318,0.07008306450698099,SL,24,B,48,15
0.2029466817595137,0.26839211642967586,0.046354769990810785,0.9285996657163531,0.13611111111111263,-0.1332915200900917,0.7953081456262616,0.13622342053833214,SL,24,B,48,16
-0.08522725288781852,-0.1549204365318375,0.004229047107703332,-0.2881730561919402,-0.11388888888888915,0.5125256177362725,0.22435256154433247,-0.035400300683426256,SL,24,B,48,17
,-0.006088108322334085,,0.020501677785709216,0.002941176470589113,0.042217282892042185,0.06271896067775007,-0.026004121622436482,NL,25,A,49,0
-0.04683443356953099,-0.08164468564973304,-0.007709405336380315,-0.3870004247188592,-0.0470588235294116,-0.006875320199251078,-0.3938757449181116,-0.05712910080292444,NL,25,A,49,1
-0.007338913965024341,-0.0744235528599686,0.05246633563451786,-0.3267759093083269,-0.0470588235294116,0.03445307713305956,-0.29232283217526867,-0.04268683522339556,NL,25,A,49,2
