centered,distance,r,var_old,var_young
1.0,0.0,1.0,div_and_fold,div_and_fold
1.0,1.0,-0.20894710583539763,div_and_fold,div_and_fold
1.0,2.0,-0.09672716674958633,div_and_fold,div_and_fold
1.0,3.0,-0.04041708151635229,div_and_fold,div_and_fold
1.0,4.0,-0.035164514940287925,div_and_fold,div_and_fold
1.0,5.0,0.01943243069771359,div_and_fold,div_and_fold
1.0,6.0,-0.010354073095412954,div_and_fold,div_and_fold
1.0,7.0,0.001975504263479232,div_and_fold,div_and_fold
1.0,8.0,0.0008476433219757487,div_and_fold,div_and_fold
1.0,9.0,0.0038801324816487093,div_and_fold,div_and_fold
1.0,10.0,-0.011206668138775066,div_and_fold,div_and_fold
0.0,0.0,1.0,div_and_fold,div_and_fold
0.0,1.0,-0.22394325517996946,div_and_fold,div_and_fold
0.0,2.0,-0.10601447735900334,div_and_fold,div_and_fold
0.0,3.0,-0.050037926696392204,div_and_fold,div_and_fold
0.0,4.0,-0.04768120432563018,div_and_fold,div_and_fold
0.0,5.0,0.007951660592608293,div_and_fold,div_and_fold
0.0,6.0,-0.023560893969384468,div_and_fold,div_and_fold
0.0,7.0,-0.012776352084196547,div_and_fold,div_and_fold
0.0,8.0,-0.014609808835282307,div_and_fold,div_and_fold
0.0,9.0,-0.007592143322919046,div_and_fold,div_and_fold
0.0,10.0,-0.021423883447561153,div_and_fold,div_and_fold
1.0,0.0,0.7920530063858302,div_and_fold,fold_growth
1.0,1.0,-0.16186817588418512,div_and_fold,fold_growth
1.0,2.0,-0.07865060507322515,div_and_fold,fold_growth
1.0,3.0,-0.049016025825748835,div_and_fold,fold_growth
1.0,4.0,-0.03854220531725152,div_and_fold,fold_growth
1.0,5.0,-0.006809696488494044,div_and_fold,fold_growth
1.0,6.0,-0.021052757720216326,div_and_fold,fold_growth
1.0,7.0,-0.003528919435130652,div_and_fold,fold_growth
1.0,8.0,-0.007297267743844767,div_and_fold,fold_growth
1.0,9.0,-0.00831754114593413,div_and_fold,fold_growth
1.0,10.0,-0.0024463668458971598,div_and_fold,fold_growth
0.0,0.0,0.8098007936811303,div_and_fold,fold_growth
0.0,1.0,-0.1650946409549741,div_and_fold,fold_growth
0.0,2.0,-0.07976561530965089,div_and_fold,fold_growth
0.0,3.0,-0.04934725555874652,div_and_fold,fold_growth
0.0,4.0,-0.040172379436210846,div_and_fold,fold_growth
0.0,5.0,-0.006067395591900938,div_and_fold,fold_growth
0.0,6.0,-0.02169949419553269,div_and_fold,fold_growth
0.0,7.0,-0.004094898679170457,div_and_fold,fold_growth
0.0,8.0,-0.009231459250602845,div_and_fold,fold_growth
0.0,9.0,-0.010655929097852792,div_and_fold,fold_growth
0.0,10.0,-0.003291255769802595,div_and_fold,fold_growth
1.0,0.0,0.1750748290464987,div_and_fold,division_ratio
1.0,1.0,-0.050107831805490555,div_and_fold,division_ratio
1.0,2.0,-0.01793385115266562,div_and_fold,division_ratio
1.0,3.0,0.02649882699493906,div_and_fold,division_ratio
1.0,4.0,0.0017599917145083243,div_and_fold,division_ratio
1.0,5.0,0.02377074155570025,div_and_fold,division_ratio
1.0,6.0,0.0236681773903138,div_and_fold,division_ratio
1.0,7.0,0.016020090620772892,div_and_fold,division_ratio
1.0,8.0,0.008393768363799205,div_and_fold,division_ratio
1.0,9.0,0.018493607610001902,div_and_fold,division_ratio
1.0,10.0,-0.02213501879853394,div_and_fold,division_ratio
0.0,0.0,0.17870542274359913,div_and_fold,division_ratio
0.0,1.0,-0.06836165459487291,div_and_fold,division_ratio
0.0,2.0,-0.03037363139270051,div_and_fold,division_ratio
0.0,3.0,0.01899435450155848,div_and_fold,division_ratio
0.0,4.0,-0.009703037969687897,div_and_fold,division_ratio
0.0,5.0,0.014337342525428343,div_and_fold,division_ratio
0.0,6.0,0.014358354849189315,div_and_fold,division_ratio
0.0,7.0,0.006417857428611044,div_and_fold,division_ratio
0.0,8.0,0.0020516009901425524,div_and_fold,division_ratio
0.0,9.0,0.009883555673209135,div_and_fold,division_ratio
0.0,10.0,-0.03244897626775949,div_and_fold,division_ratio
1.0,0.0,0.695362000345925,div_and_fold,added_length
1.0,1.0,-0.009480811025473304,div_and_fold,added_length
1.0,2.0,0.00033334437300715767,div_and_fold,added_length
1.0,3.0,-0.010713180112314043,div_and_fold,added_length
1.0,4.0,-0.02006527741755576,div_and_fold,added_length
1.0,5.0,-0.007627827533281121,div_and_fold,added_length
1.0,6.0,-0.022443803706124036,div_and_fold,added_length
