div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation
,0.17384574389645746,,-0.05735778678167813,0.0835748792270532,-1.0547447709398123,-1.1121025577214905,-0.12537799142141304,1.0,0.0
-0.0031385314657072505,-0.02408832899695934,0.00884710857832205,-0.6994550536126516,-0.0497584541062801,-0.4485865017858668,-1.1480415553985184,0.010184654325108511,1.0,1.0
0.013913936249206504,0.031086269613582296,-0.008736223303102642,-0.45249337571797543,0.00024154589371983004,-0.5798992181845977,-1.032392593902573,-0.10140006323175443,1.0,2.0
0.013386746390504134,-0.01188733056859348,0.023881617766034147,-0.4909335298721369,-0.033091787439613385,-0.3083775690379311,-0.799311098910068,-0.0482398647754394,1.0,3.0
0.06754482313019128,0.14594498972722436,-0.01574663191815706,0.5090693440699874,0.08357487922705309,-0.44668528308232647,0.062384060987660916,-0.18516532178405498,1.0,4.0
-0.11210206117806215,-0.21922930102604538,-0.0012275739241057737,-1.5376520653695676,-0.14975845410628008,0.10304419215600058,-1.434607873213567,0.013426834263361442,1.0,5.0
0.20153882781365606,0.38933711024808704,-0.006531667868096891,2.109381374646445,0.21690821256038662,-0.7146782011334936,1.3947031735129514,-0.1714284166280149,1.0,6.0
-0.15034751518379968,-0.2983149193677629,0.007348962014918081,-1.6915639246192398,-0.19975845410628035,0.8785573721724664,-0.8130065524467733,0.11720082151355204,1.0,7.0
-0.005122826009313852,0.0002323665704648814,-0.013284020948020836,-0.5030667433186475,0.016908212560386437,-0.4371477378171922,-0.9402144811358397,-0.2555094078919058,1.0,8.0
-0.09764467437449492,-0.1884851664901387,-0.004652037444495605,-1.6526665757486163,-0.11642512077294687,-0.44553317751611443,-2.0981997532647307,-0.11655978457095073,1.0,9.0
0.11309977798407794,0.2608913639372844,-0.02969714773243265,0.3571447007159825,0.20024154589372,-1.1849960358615128,-0.8278513351455308,-0.3408393607076674,1.0,10.0
-0.04099194673774731,-0.10301684908146469,0.016430395948580312,-0.9965624454582791,-0.016425120772946333,-0.24581246015767544,-1.2423749056159545,-0.3831635647065854,1.0,11.0
0.002806200098379674,-0.06124655913302435,0.050765820760798164,-0.7570925075541286,-0.03309178743961383,-0.2549698691687414,-1.01206237672287,-0.18926623210238258,1.0,12.0
-0.022438120311330634,-0.02865722631931622,-0.017148880947022493,-0.8161642175475827,-0.03309178743961383,-0.5643508753655122,-1.380515092913095,-0.09615385263464504,1.0,13.0
0.005317229622839426,-0.005472872114154925,0.006615479705464389,-0.6913394011807572,0.01690821256038688,-0.6058269319173952,-1.2971663330981524,-0.26977250460345714,1.0,14.0
-0.07352298723342804,-0.11908822519839357,-0.026249565558391696,-1.464517012674647,-0.03309178743961383,-0.7660575930819027,-2.2305746057565496,-0.3545281351462948,1.0,15.0
0.01230009382945263,0.034632179558287346,-0.01358039298151903,-1.001518488511052,0.00024154589372027413,-1.1653825774426538,-2.166901065953706,-0.0921498633760045,1.0,16.0
0.4089560224911287,0.9995514943478377,-0.071846010819339,6.536384409631095,0.5335748792270535,-1.444842756157244,5.0915416534738505,-0.11973768818003694,1.0,17.0
-0.14350441574201203,0.06726160587589103,-0.24535727980509298,0.016623157175217784,-0.01642512077294722,-0.3379065233166054,-0.32128336614138764,0.0812322215407526,1.0,18.0
0.09319247898557892,0.1862199892149643,-0.009837586001411158,1.1717657456491817,0.06690821256038582,-0.16026264436610616,1.0115031012830755,-0.03034588474817501,1.0,19.0
0.06056657355265288,0.00541169065555025,0.07907521048532573,1.142799570873978,0.050241545893720096,1.2863707129478015,2.4291702838217795,-0.3738094865106665,1.0,20.0
-0.06289408766797705,-0.17349520030962473,0.048838694502807534,-0.19498770172003566,-0.11642512077294598,1.8431009741145234,1.6481132723944878,-0.06034741139402966,1.0,21.0
-0.18872483666075623,-0.3872800231906688,0.0386226714239114,-2.0857087277952906,-0.1997584541062799,1.3005050878026103,-0.7852036399926803,-0.36806338115684833,1.0,22.0
-0.045409864418660684,-0.03633927645085522,-0.04690117125940063,-0.9324578210443306,-0.03309178743961383,-0.6494038889785587,-1.5818617100228893,-0.11810256729618507,1.0,23.0
0.06465040769937896,0.15147308916745217,-0.02264370069118693,0.05060739093146527,0.20024154589372045,-0.8868821664339652,-0.8362747755025,-0.5284135460273809,1.0,24.0
-0.03444828360923846,-0.10646632087741315,0.031176648276829866,-0.9753682377151134,-0.06642512077294704,-0.15177536263651925,-1.1271436003516326,-0.14685243546508864,1.0,25.0
0.05901463395481665,0.10207755877646685,0.002027533855072261,0.11960557558485396,0.050241545893720096,-0.5002472302180707,-0.38064165463321675,-0.15073440623162848,1.0,26.0
-0.015887453436254473,-0.0689633975524927,0.027343293502033905,-0.5461568104589878,-0.03309178743961383,0.07466713230370381,-0.471489678155284,-0.21131434187229203,1.0,27.0
-0.1039757486609944,-0.23401809531006618,0.034626488807702804,-1.6219775983448277,-0.13309178743961347,0.07576432262604227,-1.5462132757187854,-0.17654280865616823,1.0,28.0
0.07738436595623255,0.12441944312422026,0.010230738810906748,0.120165546795997,0.16690821256038546,-0.6724556389301437,-0.5522900921341467,-0.49151856268410343,1.0,29.0
-0.07112346855428242,-0.11986529323423656,-0.02124650226364877,-1.2206821217569792,-0.09975845410628026,-0.35900545127254224,-1.5796875730295215,0.017849746454740023,1.0,30.0
0.042498711481421536,0.11294502808788132,-0.026140114628400934,-0.2675609280208118,0.050241545893720096,-0.9065685947904543,-1.174129522811266,-0.12565563089759513,1.0,31.0
