dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,22.0,0.20938861359496466,-3.9404486850740197,0.04025513175668443,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,22.0,0.49343166688532675,-4.550440138626958,0.0161628207703394,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,22.0,0.39391654550361094,-3.9776357887044202,0.038970349424923244,$f_n e^{\phi_{n}}$,mean (short)
Trace,23.0,0.21707119541109404,-3.351085002710367,0.08395618747884707,$f_n e^{\phi_{n}}$,dfa (short)
Trace,23.0,-0.027333799216166254,-2.7034545358866042,0.019488271269124474,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,23.0,0.30170123964307105,-3.5741842645903543,0.15445949559815988,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,23.0,0.3506658748072789,-3.384554306525849,0.21380503808162,$f_n e^{\phi_{n}}$,mean (short)
Trace,24.0,0.9432602965072737,-4.4126014844549495,0.4122119668018738,$f_n e^{\phi_{n}}$,dfa (short)
Trace,24.0,0.10646157510075892,-2.4535845027361516,0.11473005235688351,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,24.0,0.2651212223861005,-3.2320124736942666,0.008906250555024602,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,24.0,0.4759599482185164,-3.2396281816590053,0.012803195762779537,$f_n e^{\phi_{n}}$,mean (short)
Trace,25.0,0.15290217263900155,-4.014355240682396,0.08370163622050765,$f_n e^{\phi_{n}}$,dfa (short)
Trace,25.0,0.07976710308880218,-3.726564094157851,0.020596043656803193,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,25.0,0.6642172156556625,-5.0635610999343115,0.05349734908936453,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,25.0,0.43437663421555955,-3.8907647508248524,0.03411800012614653,$f_n e^{\phi_{n}}$,mean (short)
Trace,26.0,0.1268282119643481,-3.438357330882431,0.02611467491923638,$f_n e^{\phi_{n}}$,dfa (short)
Trace,26.0,0.09379194471446191,-3.3247925863675705,0.033844724017653635,$f_n e^{\phi_{n}}$,mean (short)
