dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,3.0,[ 5  7  9 11 13 15 17 19],"[0.1834582901593245, 0.21630610785040275, 0.26403607392305484, 0.32306716459827717, 0.3432077804631986, 0.379889893569888, 0.4207576838694906, 0.4351924939458956]","[0.17969725 0.22598111 0.26817149 0.30744846 0.34449904 0.37976785
 0.41356357 0.44611164]",$\phi$,mean (short)
Artificial,3.0,[ 5  7  9 11 13 15 17 19],"[0.1110443690143237, 0.1512555994610016, 0.1764521588211512, 0.20459404050240515, 0.23185417563024435, 0.25110475116304576, 0.26272432708239063, 0.2750312491540219]","[0.11688873 0.14687541 0.17419069 0.1996059  0.22356983 0.24637277
 0.2682162  0.28924721]",$\phi$,dfa (short)
Artificial,3.0,[ 5  7  9 11 13 15 17 19],"[0.1875233921896528, 0.23669878447266862, 0.25614728068573095, 0.2701114156013808, 0.2828491489050275, 0.2887103180663265, 0.29420849331951654, 0.30325256972722486]","[0.20207662 0.22578157 0.24528384 0.26205881 0.27689539 0.29027079
 0.30249822 0.31379563]",$\phi$,mean (short)
White Noise,3.0,[ 5  7  9 11 13 15 17 19],"[0.4497397712825975, 0.6085385704447689, 0.7200440772752648, 0.7395487375371608, 0.8076922082552033, 0.8710966800584177, 0.9143802748340518, 0.957478861505392]","[0.4862893  0.5813637  0.66431362 0.73896789 0.80747618 0.87119006
 0.93102567 0.98763837]",$\phi$,dfa (short)
White Noise,3.0,[ 5  7  9 11 13 15 17 19],"[0.695947882641026, 0.8650919077401577, 0.9225037390761568, 1.0012466541421046, 1.0500176694677281, 1.0877519477824598, 1.130718889056855, 1.1438478911507501]","[0.73524817 0.82933194 0.90737671 0.97493537 1.03499759 1.08938161
 1.13928629 1.18554907]",$\phi$,mean (short)
Trace,4.0,[ 5  7  9 11 13 15 17],"[0.0764401580392387, 0.10333998195988747, 0.10598227376374031, 0.12186316889880744, 0.12636828712038692, 0.12575853468235945, 0.1310538116099168]","[0.08299633 0.09535141 0.10576501 0.11489093 0.12308584 0.13056899
 0.13748616]",$\phi$,dfa (short)
Trace,4.0,[ 5  7  9 11 13 15 17],"[0.1193434610552463, 0.12969653061557304, 0.13310306809948094, 0.13748544154637973, 0.14034451112767546, 0.1425438852329159, 0.14560454249914592]","[0.12115896 0.12758712 0.13260991 0.13676213 0.14031776 0.14343698
 0.14622201]",$\phi$,mean (short)
Artificial,4.0,[ 5  7  9 11 13 15 17],"[0.09910248307041676, 0.12965650931919173, 0.14588346540337221, 0.15665096537931714, 0.17457771389435278, 0.18367326995760927, 0.19460963072480347]","[0.1037736  0.1240648  0.14176865 0.15770218 0.17232412 0.1859229
 0.19869402]",$\phi$,dfa (short)
Artificial,4.0,[ 5  7  9 11 13 15 17],"[0.1699155411627515, 0.20708380503147847, 0.2387707264852161, 0.27562662116910747, 0.2981107265480415, 0.3134673309607419, 0.33349970153813185]","[0.17196859 0.20751152 0.23877282 0.26708326 0.29319501 0.31758348
 0.34057239]",$\phi$,mean (short)
White Noise,4.0,[ 5  7  9 11 13 15 17],"[0.44754135229993997, 0.5356362422985378, 0.7195153879680412, 0.7994891422051736, 0.885773878724087, 0.9048719725514157, 0.9249167389497036]","[0.45884671 0.56828563 0.66673598 0.75745792 0.84232886 0.92255321
 0.9989612 ]",$\phi$,dfa (short)
