value,variable,lineage_ID,kind
0.12165617678126639,fold_growth,0.0,Trace
0.12731081086341556,fold_growth,0.0,Trace
0.07870292449088023,fold_growth,1.0,Trace
0.05729281594868374,fold_growth,1.0,Trace
0.24084131717467439,fold_growth,2.0,Trace
0.1375877738095055,fold_growth,2.0,Trace
0.1411407573154031,fold_growth,3.0,Trace
0.2358950978768951,fold_growth,3.0,Trace
0.08173965222373947,fold_growth,4.0,Trace
0.05967308149513495,fold_growth,4.0,Trace
0.006795801278203117,fold_growth,5.0,Trace
0.007565913932171986,fold_growth,5.0,Trace
0.020570699254205294,fold_growth,6.0,Trace
0.01742780452185566,fold_growth,6.0,Trace
0.597321671085451,fold_growth,7.0,Trace
2.420383492187878,fold_growth,7.0,Trace
0.08993932002368998,fold_growth,8.0,Trace
0.13296607796712512,fold_growth,8.0,Trace
0.11302617320683828,fold_growth,9.0,Trace
0.08705273967001426,fold_growth,9.0,Trace
0.017373033505110214,fold_growth,10.0,Trace
0.015315705277339053,fold_growth,10.0,Trace
0.05811375908476435,fold_growth,11.0,Trace
0.04315453892563137,fold_growth,11.0,Trace
0.10866822586352853,fold_growth,12.0,Trace
0.0775985299943972,fold_growth,12.0,Trace
0.16811986576602211,fold_growth,13.0,Trace
0.10830754153283584,fold_growth,13.0,Trace
0.002638222624329889,fold_growth,14.0,Trace
0.002758697149602529,fold_growth,14.0,Trace
0.05811375908476435,fold_growth,15.0,Trace
0.04315453892563137,fold_growth,15.0,Trace
0.005811876290897411,fold_growth,16.0,Trace
0.005267729398670373,fold_growth,16.0,Trace
0.08994123145883004,fold_growth,17.0,Trace
0.0662344361517948,fold_growth,17.0,Trace
0.0757485953195407,fold_growth,18.0,Trace
0.08487315146769692,fold_growth,18.0,Trace
0.07744773120469262,fold_growth,19.0,Trace
0.06943301974910165,fold_growth,19.0,Trace
0.018443811085244177,fold_growth,20.0,Trace
0.015657773473886416,fold_growth,20.0,Trace
0.2438039535041222,fold_growth,21.0,Trace
0.1385347163564321,fold_growth,21.0,Trace
0.031455167512475346,fold_growth,22.0,Trace
0.026075625709412242,fold_growth,22.0,Trace
0.11728953044126134,fold_growth,23.0,Trace
0.0784525816338495,fold_growth,23.0,Trace
0.28507526381943593,fold_growth,24.0,Trace
0.15961056360669368,fold_growth,24.0,Trace
0.10739290470700358,fold_growth,25.0,Trace
0.07554957379793636,fold_growth,25.0,Trace
0.00648190064075016,fold_growth,26.0,Trace
0.007218303053599162,fold_growth,26.0,Trace
0.05366763708788813,fold_growth,27.0,Trace
0.046266546334904346,fold_growth,27.0,Trace
0.15795718562922068,fold_growth,28.0,Trace
0.1044392793494322,fold_growth,28.0,Trace
0.16593015619170692,fold_growth,29.0,Trace
0.10545502105926419,fold_growth,29.0,Trace
0.0038031346954642276,fold_growth,30.0,Trace
0.003535899068877746,fold_growth,30.0,Trace
0.033256734120937215,fold_growth,31.0,Trace
0.04280374025609612,fold_growth,31.0,Trace
0.12717438463289454,fold_growth,32.0,Trace
0.08371863209824393,fold_growth,32.0,Trace
0.07778165076726928,fold_growth,33.0,Trace
0.11725563995248223,fold_growth,33.0,Trace
0.11744870020736031,fold_growth,34.0,Trace
0.07952129929059648,fold_growth,34.0,Trace
0.21500302730642318,fold_growth,35.0,Trace
0.12574836813601786,fold_growth,35.0,Trace
0.025617869185467157,fold_growth,36.0,Trace
0.02097054883397531,fold_growth,36.0,Trace
0.0548089488754262,fold_growth,37.0,Trace
0.0410245243361782,fold_growth,37.0,Trace
0.020061474180408934,fold_growth,38.0,Trace
0.018950799263905305,fold_growth,38.0,Trace
0.15434025244282945,fold_growth,39.0,Trace
0.0978361051355563,fold_growth,39.0,Trace
0.08029271613752309,fold_growth,40.0,Trace
0.0663767821175314,fold_growth,40.0,Trace
0.07602813914293027,fold_growth,41.0,Trace
0.08379393293577764,fold_growth,41.0,Trace
0.009755067035625009,fold_growth,42.0,Trace
0.011176639717439651,fold_growth,42.0,Trace
0.44351986798708365,fold_growth,43.0,Trace
0.21427036985052283,fold_growth,43.0,Trace
0.21944097800611895,fold_growth,44.0,Trace
0.12827551999878084,fold_growth,44.0,Trace
0.046832086273824736,fold_growth,45.0,Trace
0.035775395330731374,fold_growth,45.0,Trace
0.0046774829699558484,fold_growth,46.0,Trace
0.004830566159912841,fold_growth,46.0,Trace
0.049409301130696415,fold_growth,47.0,Trace
0.0388355918323513,fold_growth,47.0,Trace
0.11853287277384217,fold_growth,48.0,Trace
0.07985711793274541,fold_growth,48.0,Trace
0.4059846943811709,fold_growth,49.0,Trace
0.20072367201498176,fold_growth,49.0,Trace
0.016421307644692518,fold_growth,50.0,Trace
0.01948622450000126,fold_growth,50.0,Trace
0.01940547644284152,fold_growth,51.0,Trace
0.019167039716364243,fold_growth,51.0,Trace
0.03572716766586326,fold_growth,52.0,Trace
0.030942608117702664,fold_growth,52.0,Trace
0.008016917805881318,fold_growth,53.0,Trace
0.007139471448392776,fold_growth,53.0,Trace
0.028040849094094766,fold_growth,54.0,Trace
0.025055518049289627,fold_growth,54.0,Trace
0.0182895005225292,fold_growth,55.0,Trace
0.01867845751469932,fold_growth,55.0,Trace
0.21267987611727524,fold_growth,56.0,Trace
0.4289144751860453,fold_growth,56.0,Trace
0.03848335596751129,fold_growth,57.0,Trace
0.045373694612449667,fold_growth,57.0,Trace
1.038416919111254,fold_growth,58.0,Trace
2.1684819552128545,fold_growth,58.0,Trace
0.28409586799012465,division_ratio,0.0,Trace
0.3744402300594286,division_ratio,0.0,Trace
0.32208557159801243,division_ratio,1.0,Trace
