fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation
0.6678911153402888,,2.5652834094917267,0.6,2.6999561358752873,5.265239545367014,1.1131518589004814,1.0,0.0
0.5513314388782182,0.524339074618589,2.030718873924771,0.40000000000000013,2.76077083086294,4.791489704787711,1.3783285971955452,1.0,1.0
0.7499166078515974,0.5198652252727538,2.781927861314472,0.6000000000000001,2.4909288747715443,5.272856736086016,1.2498610130859955,1.0,2.0
0.7624274578006325,0.5064747308022907,3.0537234677853458,0.6000000000000001,2.67056869596821,5.724292163753556,1.2707124296677206,1.0,3.0
0.8746237673957485,0.4576311773824506,3.662150241926719,0.6999999999999997,2.6196145625796756,6.281764804506395,1.2494625248510698,1.0,4.0
0.5249811957333703,0.5191884442357919,2.251772414807545,0.3999999999999999,3.2614196959068287,5.513192110714374,1.312452989333426,1.0,5.0
0.5792149886566825,0.49381050335230153,2.1361521805985557,0.5000000000000004,2.7224721712698026,4.858624351868358,1.158429977313364,1.0,6.0
0.6923274561832508,0.4691683148968585,2.275776987088318,0.5,2.279512599882919,4.555289586971237,1.3846549123665015,1.0,7.0
0.6938649478973334,0.5129583735380433,2.3400295181075226,0.7000000000000002,2.336673937527551,4.6767034556350735,0.9912356398533332,1.0,8.0
0.49147855147420166,0.5956830677934327,1.7682559104816562,0.39999999999999947,2.7858330616128484,4.554088972094505,1.2286963786855059,1.0,9.0
0.6313979415797353,0.5388675054122588,2.160146608414836,0.5999999999999996,2.4540505638180434,4.614197172232879,1.0523299026328927,1.0,10.0
0.545494173484264,0.5754504041932815,1.9262738448670982,0.5,2.6552416277889073,4.5815154726560054,1.090988346968528,1.0,11.0
0.9849371174422347,0.552670999730246,4.247912017920108,0.8999999999999995,2.5320707365523853,6.779982754472494,1.094374574935817,1.0,12.0
0.2396043412144143,0.6364589893963731,1.1683191478834871,0.20000000000000107,4.315180972036401,5.4835001199198885,1.198021706072065,1.0,13.0
0.5907671153444896,0.5727013857975519,2.529199321356261,0.5,3.1404081176991623,5.669607439055423,1.1815342306889791,1.0,14.0
0.5125788922537919,0.5844747047349697,2.2188530488990543,0.40000000000000036,3.3137421339051056,5.53259518280416,1.2814472306344786,1.0,15.0
0.5188669861795654,0.5375234389790058,2.02261741612359,0.40000000000000036,2.973899589139573,4.996517005263163,1.2971674654489123,1.0,16.0
0.44128383310661595,0.5700243845029173,1.5798667894005742,0.40000000000000036,2.848136530583494,4.428003319984068,1.103209582766539,1.0,17.0
0.809134087668236,0.563338332748065,3.108008206900411,0.7000000000000011,2.4944640076827214,5.602472214583132,1.1559058395260497,1.0,18.0
0.8960835323345893,0.47260773747025425,3.8392398493206126,0.6999999999999993,2.647771717574099,6.4870115668947115,1.2801193319065574,1.0,19.0
0.6081467100407786,0.5259641292166559,2.8558707994746433,0.40000000000000036,3.411935390000152,6.267806189474795,1.5203667751019452,1.0,20.0
0.4845129417316905,0.5330797450850924,2.0828763302593996,0.3000000000000007,3.341240525727988,5.424116855987387,1.6150431391056312,1.0,21.0
0.5851713642113848,0.536425031297285,2.3140263260493596,0.40000000000000036,2.9096320542331653,5.223658380282525,1.4629284105284608,1.0,22.0
0.5523324723259111,0.5140207978860736,1.9797027548298756,0.40000000000000036,2.6850690485170983,4.664771803346974,1.3808311808147764,1.0,23.0
0.5874290617424923,0.47245867206514536,1.7617111404386123,0.40000000000000036,2.2039118916962446,3.965623032134857,1.4685726543562296,1.0,24.0
1.0117597232947175,0.5080678443319554,3.5267897042165166,0.8000000000000007,2.0148055453699096,5.541595249586426,1.2646996541183957,1.0,25.0
0.5335866183902632,0.5010852220232943,1.9577539259349641,0.3999999999999986,2.7768114860022473,4.734565411937211,1.3339665459756629,1.0,26.0
0.6915690778669766,0.5409319583787959,2.553000827768787,0.5,2.561077740351706,5.114078568120493,1.3831381557339533,1.0,27.0
0.42997975291889573,0.556846905714982,1.5298912191162923,0.3999999999999986,2.8477588262412024,4.377650045357495,1.0749493822972431,1.0,28.0
0.834180920031082,0.48203948876692193,2.7494367905354777,0.5999999999999979,2.1102001898646194,4.859636980400097,1.3903015333851416,1.0,29.0
0.7342079605801022,0.44947807405251594,2.3674120462353656,0.5,2.18430027054462,4.551712316779986,1.4684159211602044,1.0,30.0
0.6271784188506634,0.5137544723536848,2.039888164531823,0.5,2.3384625596130695,4.378350724144893,1.2543568377013268,1.0,31.0
0.7750485396439486,,2.2647142962968108,1.3,1.9345000024263925,4.199214298723203,0.5961911843414989,2.0,0.0
0.7954622474220868,0.6847271967153323,3.494845825299613,0.6000000000000001,2.875316235171679,6.370162060471292,1.3257704123701446,2.0,1.0
0.49639514635277915,0.5321829120577736,2.179112005429007,0.3999999999999999,3.390091395621559,5.569203401050566,1.2409878658819482,2.0,2.0
0.6261945512069887,0.49119739895834674,2.381263415044486,0.5,2.7355782248660163,5.116841639910502,1.2523891024139775,2.0,3.0
0.5941051261296503,0.48952640936060293,2.032441480375018,0.5,2.5048291152522073,4.537270595627225,1.1882102522593005,2.0,4.0
0.7704316808934524,0.507525137417791,2.6728326508073064,0.6000000000000005,2.3027788825474103,4.975611533354717,1.2840528014890862,2.0,5.0
0.6346996731546125,0.5127884411958047,2.261734555973996,0.5,2.5514360821848325,4.813170638158828,1.269399346309225,2.0,6.0
0.5287431859660975,0.551302719689451,1.8489643745128155,0.40000000000000036,2.6535140631463725,4.502478437659188,1.3218579649152424,2.0,7.0
0.647283690296578,0.5535006524011985,2.268692528511531,0.40000000000000036,2.4921247526666894,4.760817281178221,1.6182092257414435,2.0,8.0
