index division length width area intensity CMx CMy
3637 0 81.178 14.5729 1183 80.8284 1327.66 286.664
3638 0 82.1762 14.6514 1204 78.7118 1327.46 289.735
3639 0 86.2436 14.5982 1259 75.8618 1327.34 291.766
3640 0 89.1864 14.2062 1267 74.1129 1327.2 294.021
3641 0 93.1787 14.821 1381 77.2744 1327.05 296.145
3642 0 95.161 14.7434 1403 74.1575 1327.46 294.671
3643 0 100.118 14.2931 1431 70.5318 1327.11 295.606
3644 0 102.293 14.1163 1444 79.9044 1326.88 297.812
3645 0 102.293 14.1163 1444 143.039 1325.88 297.812
3646 1 18.0367 3.49288 63 75.8413 1325.22 346.302
3647 0 25.0113 6.71696 168 73.7202 1327.19 348.345
3648 1 61.1027 13.2727 811 74.3231 1326.97 336.538
3649 0 62.1235 13.8273 859 74.1315 1326.87 339.001
3650 0 66.1086 13.614 900 74.0644 1327.24 342.301
3651 0 69.0624 13.6254 941 73.3029 1326.87 344.957
3652 0 70.0751 14.2847 1001 72.041 1326.79 348.21
3653 0 72.1117 13.7287 990 70.4323 1326.71 350.766
3654 0 75.1148 13.4993 1014 74.9418 1326.39 354.803
3655 0 78.0818 13.6396 1065 74.6038 1326.65 358.681
3656 0 81.0427 13.2153 1071 74.0383 1326.86 361.556
3657 0 84.0679 13.7865 1159 78.0104 1326.58 365.274
3658 0 87.0849 13.6878 1192 78.0646 1325.89 366.861
3659 0 90.1298 13.6803 1233 79.472 1326.29 370.864
3660 1 46.0178 11.3869 524 73.3931 1326.98 394.891
3661 0 47.069 12.4073 584 71.6849 1326.47 397.842
3662 0 49.1523 12.8783 633 72.2543 1325.64 401.076
3663 0 50.1779 12.5354 629 63.9825 1325.48 403.868
3664 0 52.1742 12.6691 661 66.2632 1325.67 408.797
3665 0 54.1176 12.5098 677 68.0103 1324.98 412.777
3666 0 56.1403 12.4331 698 68.2622 1325.01 416.295
3667 0 57.0854 13.1557 751 68.6618 1324.31 419.83
3668 0 60.1213 13.4728 810 66.9951 1324.77 423.927
3669 0 63.1489 13.9828 883 69.2242 1324.06 428.399
3670 0 65.196 13.7125 894 67.9038 1323.88 430.309
3671 0 64.1909 13.2573 851 72.2996 1323.69 432.012
3672 0 68.1033 14.0375 956 68.9467 1323.61 435.595
3673 0 71.1524 13.6889 974 69.6961 1323.51 439.388
3674 0 72.1086 13.6045 981 71.2966 1323.93 443.516
3675 0 73.3206 13.3932 982 74.2729 1323.82 448.309
3676 0 76.3102 12.7113 970 69.1577 1324.11 451.522
3677 1 41.1432 8.67702 357 70.3501 1324.04 475.992
3678 0 42.1213 8.54674 360 74.5667 1324.01 482.033
3679 0 41.0508 9.89019 406 75.9409 1324.57 487.404
3680 0 44.2161 9.81543 434 75.4171 1324.14 490.53
3681 0 44.2226 10.7185 474 74.8059 1323.24 495.743
3682 0 43.1234 10.5047 453 71.426 1322.81 494.861
3683 0 46.1081 11.4947 530 73.2321 1323.49 494.747
3684 0 49.1512 10.3558 509 74.9175 1323.11 493.613
3685 0 50.1484 10.9276 548 72.5128 1323.62 492.478
3686 0 47.1709 10.5785 499 75.5611 1323.32 493.004
3687 0 51.2403 11.1436 571 71.4028 1323.74 491.268
3688 0 53.1926 11.9377 635 69.2567 1323.53 489.836
3689 0 55.1216 11.7921 650 75.7508 1323.33 489.757
3690 0 58.2112 11.8362 689 74.1524 1324.11 487.612
3691 0 57.2247 11.7781 674 73.6973 1324.17 487.003
3692 0 62.341 12.3514 770 70.1792 1324.63 485.153
3693 0 60.2857 12.4076 748 71.9532 1324.32 484.481
3694 0 64.2844 12.3358 793 74.3897 1324.5 484.547
3695 0 67.3352 11.7472 791 64.9305 1324.95 483.479
3696 0 68.3513 13.1087 896 63.3404 1325.52 481.989
3697 0 71.3439 12.3486 881 66.2327 1325.36 479.787
3698 0 71.4151 12.6584 904 69.9093 1325.71 479.382
3699 0 75.4493 12.4852 942 62.5223 1326.21 477.193
3700 0 74.4938 12.8467 957 75.7544 1325.78 476.456
3701 0 78.413 12.5107 981 72.8726 1326.3 475.973
3702 0 81.475 13.096 1067 70.6176 1326.83 473.804
3703 0 86.4466 13.0717 1130 75.0398 1327.28 472.89
3704 0 88.4357 13.5805 1201 79.7602 1327.26 471.694
3705 1 49.0761 10.5754 519 80.6378 1326.21 492.882
3706 0 48.03 11.8884 571 49.8529 1326.94 492.336
3707 0 52.025 11.8789 618 78.0874 1326.67 492.01
3708 0 51.0279 12.1894 622 80.8521 1326.99 491.317
3709 0 51.0708 11.5918 592 82.3091 1327.36 490.272
3710 0 56.0706 11.9314 669 78.7459 1327.34 488.871
3711 0 56.0352 12.3851 694 75.8919 1327.22 488.295
3712 0 58.0909 12.8592 747 73.9344 1327.73 487.126
3713 0 59.0748 12.5942 744 73.6909 1327.86 486.29
3714 0 61.091 11.9821 732 77.3183 1327.75 485.254
3715 0 66.0975 13.0262 861 76.3635 1328.01 485.022
3716 0 66.061 12.5793 831 78.1841 1327.94 485.078
3717 0 68.1225 12.7858 871 80.5832 1327.76 483.635
3718 0 70.1369 12.8321 900 82.4322 1327.57 481.687
3719 0 70.2145 12.2055 857 78.5473 1326.8 480.889
3720 0 73.0997 12.1888 891 81.5163 1327.06 478.743
3721 0 74.0746 11.9204 883 81.8448 1327.4 477.442
3722 0 77.1474 12.2233 943 80.7147 1327.7 475.275
3723 0 78.1759 11.7555 919 81.3874 1327.48 473.976
