index division length width area intensity CMx CMy
0 0 76.1314 13.6212 1037 135.591 935.671 391.231
1 0 77.1041 13.7347 1059 135.933 935.521 393.02
2 0 79.1581 13.7699 1090 139.825 935.396 395.08
3 0 83.1051 13.7296 1141 136.378 934.477 396.604
4 0 85.0648 13.6719 1163 135.082 933.82 396.966
5 1 44.0223 11.4033 502 141.653 933.647 420.825
6 0 47.0276 12.1843 573 131.33 933.031 423.075
7 0 50.032 12.1722 609 134.105 932.65 425.759
8 0 51.0935 12.6631 647 137.414 932.804 429.168
9 0 52.0393 13.2016 687 134.876 932.341 431.639
10 0 53.0659 13.8695 736 135.277 932.384 434.446
11 0 54.0472 14.3208 774 128.36 933.039 436.344
12 0 57.041 13.9373 795 135.448 933.092 440.238
13 0 59.0242 13.6724 807 135.466 933.877 441.725
14 0 60.0989 13.9936 841 135.892 934.373 445.043
15 0 63.0525 14.1628 893 133.183 935.464 447.158
16 0 65.0522 13.9119 905 130.699 936.432 450.929
17 0 67.0634 14.1657 950 136.902 937.278 454.739
18 0 70.111 14.3487 1006 140.037 937.936 457.279
19 0 71.0675 14.4792 1029 132.859 938.609 460.852
20 0 75.1167 14.0981 1059 130.762 939.291 464.418
21 0 77.0955 14.3069 1103 139.96 939.835 467.679
22 0 81.1786 14.4127 1170 132.956 940.063 472.122
23 0 82.162 14.4106 1184 134.338 940.648 477.966
24 0 83.0967 14.5373 1208 138.58 940.899 482.354
25 0 88.1775 13.8244 1219 137.203 941.391 480.503
26 0 90.1814 13.9497 1258 135.923 941.422 479.148
27 0 93.1486 14.0958 1313 135.544 941.941 476.331
28 0 97.2171 14.2259 1383 132.393 942.448 475.424
29 0 101.177 14.1336 1430 133.738 941.902 473.697
30 1 53.0612 12.5704 667 135.984 941.807 496.424
31 0 54.1349 13.1339 711 137.713 941.428 494.378
32 0 56.0713 13.1083 735 138.565 941.34 494.872
33 0 57.1004 13.3274 761 140.197 941.022 493.52
34 0 58.0238 13.684 794 138.606 940.922 492.709
35 0 61.0396 13.696 836 134.443 940.785 492.537
36 0 64.0265 13.5413 867 143.303 939.881 491.266
37 0 66.0546 13.4888 891 144.768 938.924 489.857
38 0 70.0882 13.1691 923 139.129 938.704 489.323
39 0 72.1334 13.1562 949 134.279 938.047 486.546
40 0 73.1525 13.547 991 141.647 937.644 486.5
41 0 78.3445 12.7769 1001 147.914 937.696 484.609
42 0 80.2049 13.5777 1089 151.643 937.78 483.081
43 0 83.2543 13.2486 1103 141.65 937.393 482.021
44 0 86.2949 13.477 1163 150.432 937.353 480.868
45 0 90.0938 13.3084 1199 150.037 937.039 479.6
46 1 46.0886 11.2175 517 143.364 938.348 500.828
47 0 48.1178 12.2616 590 142.283 937.192 499.61
48 0 49.0874 12.0805 593 141.949 936.798 499.847
49 0 52.071 12.2717 639 145.768 935.756 496.457
50 0 53.1296 12.6483 672 141.433 935.998 496.981
51 0 56.0584 12.1124 679 144.274 936.085 496.01
52 0 56.0758 12.7149 713 146.178 936.408 494.311
53 0 60.1009 12.4291 747 149.846 936.357 493.598
54 0 60.1046 13.2769 798 142.84 936.298 492.251
55 0 64.0845 12.7332 816 146.254 936.24 490.797
56 0 67.1289 12.2749 824 145.842 936.479 490.106
57 0 67.1447 12.972 871 146.394 936.819 488.854
58 0 70.0624 13.174 923 140.664 936.947 487.776
59 0 73.0954 12.6 921 150.092 937.066 487.143
60 0 75.1352 13.1496 988 148.451 937.829 485.832
61 0 79.0504 13.1688 1041 151.329 937.894 484.798
62 0 79.123 13.0177 1030 149.92 938.618 483.266
63 0 84.2193 13.2155 1113 158.659 938.809 481.037
64 0 86.217 13.4312 1158 152.696 938.393 479.754
65 0 88.1107 13.71 1208 152.228 938.813 478.468
66 0 92.1284 13.6657 1259 156.088 939.303 476.507
67 0 97.1403 13.4033 1302 154.909 939.338 476.062
68 0 99.1768 13.3902 1328 154.978 939.849 473.469
69 1 52.0901 11.7489 612 153.935 940.196 498.556
70 0 50.0418 12.5495 628 149.643 939.594 498.396
71 0 55.1155 12.6099 695 153.147 939.752 496.256
72 0 55.1367 12.5144 690 152.075 939.27 495.041
73 0 56.0874 12.6588 710 152.741 939.197 494.676
74 0 57.0998 12.8372 733 156.9 939.086 493.593
75 0 59.092 12.929 764 157.3 939.149 492.297
76 0 64.0412 12.9292 828 148.731 938.748 490.818
77 0 66.0512 12.7931 845 148.879 938.356 490.912
78 0 66.2169 13.184 873 143.271 937.921 488.598
79 0 69.1139 13.0075 899 149.436 938.248 488.417
80 0 70.196 13.2344 929 143.743 937.971 486.474
81 0 74.0996 13.3334 988 139.72 937.973 485.073
82 0 76.1684 12.9844 989 141.09 938.152 483.325
83 0 80.158 12.7124 1019 146.305 938.104 482.567
84 0 81.114 12.8831 1045 142.273 938.138 481.735
85 0 85.1495 12.5779 1071 149.972 938.057 479.862
86 0 88.1132 13.0741 1152 143.148 937.811 478.363
87 0 91.1136 12.9618 1181 144.942 937.872 477.942
88 0 93.1423 13.0982 1220 140.848 937.352 476.007
89 1 48.0395 10.9077 524 137.126 938.181 498.742
90 0 49.0293 11.381 558 143.398 938.355 497.973
91 0 51.1912 12.0919 619 137.246 938.055 496.443
92 0 53.0695 11.8901 631 141.28 937.133 495.303
93 0 56.3028 11.9355 672 138.501 937.257 494.637
94 0 56.1047 12.3341 692 140.185 936.564 493.01
95 0 59.1882 12.2997 728 135.438 936.816 492.552
96 0 61.1366 12.3167 753 139.942 936.61 491.393
97 0 63.3034 11.9267 755 145.923 936.485 490.718
98 0 64.2944 12.1939 784 143.949 936.429 490.117
99 0 66.1082 12.7216 841 140.741 936.692 489.526
100 0 69.1653 12.4195 859 138.694 936.428 488.254
101 0 71.1779 12.2369 871 143.419 936.654 487.104
102 0 74.1139 12.3863 918 140.081 936.97 485.873
103 0 76.2885 12.7935 976 139.644 937.155 483.345
104 0 80.1392 12.5282 1004 139.981 936.969 482.177
105 0 83.2058 12.5592 1045 143.82 936.712 480.213
106 1 41.0607 9.96086 409 144.086 938.13 502.682
107 0 42.1472 10.1074 426 146.634 937.864 501.627
108 0 44.2644 10.7536 476 143.548 937.401 500.49
109 0 46.1529 11.4402 528 141.267 937.659 499.218
110 0 48.1557 11.8781 572 140.955 937.441 497.647
111 0 50.0162 12.1161 606 145.251 938.033 496.691
112 0 50.0784 11.6817 585 138.559 937.362 496.108
113 0 52.0308 12.1467 632 143.679 937.06 495.9
114 0 54.131 11.8232 640 144.698 936.495 494.225
115 0 56.0932 12.194 684 142.192 936.251 493.947
116 0 57.0846 12.5253 715 141.476 936.347 492.407
117 0 57.068 13.1773 752 142.418 936.315 491.298
118 0 62.1377 12.5045 777 143.076 936.014 490.631
119 0 63.1278 12.7836 807 139.207 936.054 489.943
120 0 65.1939 12.4552 812 147.541 936.086 489.084
121 0 67.163 12.7451 856 145.654 936.5 488.967
122 0 70.2 13.1197 921 143.757 936.324 486.584
123 0 73.2095 12.8126 938 142.721 936.926 485.397
124 0 74.1281 13.0315 966 143.908 936.556 484.066
125 0 78.0972 12.6893 991 144.932 936.936 483.157
126 0 79.1931 13.2714 1051 146.078 936.692 480.744
127 0 82.0991 13.0696 1073 146.993 937.397 480.173
128 1 42.0157 11.2815 474 148.327 936.924 498.656
129 0 44.038 11.6717 514 145.856 936.436 498.035
130 0 45.0997 11.397 514 151.998 937.2 498.053
131 0 47.0426 12.0317 566 148.597 937.373 496.786
132 0 49.0537 11.8645 582 146.754 937.667 496.349
133 0 50.0473 12.1285 607 150.558 937.649 495.418
134 0 52.0581 12.0827 629 145.44 937.58 494.854
135 0 53.0276 12.0881 641 152.415 937.763 493.156
136 0 54.0636 12.3373 667 153.828 937.822 492.01
137 0 55.107 12.3033 678 155.559 937.786 491.91
138 0 58.0845 12.499 726 152.541 938.056 490.846
139 0 59.0572 12.5302 740 151.67 937.941 489.192
140 0 63.0521 12.45 785 145.371 938.372 487.755
141 0 65.0786 13.015 847 153.25 938.387 486.856
142 0 66.2045 12.5822 833 160.161 939.158 486.459
143 0 69.1413 13.1181 907 155.933 940.018 486.036
144 0 72.2762 12.895 932 158.502 939.807 483.937
145 0 73.2046 13.3188 975 162.563 940.042 482.149
146 0 78.2479 13.061 1022 161.11 940.256 479.191
147 0 80.1226 13.0675 1047 166.695 940.977 478.633
148 0 81.1868 13.3396 1083 169.375 941.33 477.905
149 0 84.1772 13.3053 1120 165.196 942.093 475.211
150 0 87.1138 12.9715 1130 165.336 941.984 473.963
151 0 90.1563 13.1438 1185 164.138 942.134 471.67
152 0 93.2851 12.9603 1209 164.775 942.153 470.258
153 1 48.2764 10.5642 510 161.237 941.98 489.906
154 0 49.2111 11.6844 575 159.414 942.049 489.325
155 0 50.0721 12.0626 604 163.877 942.036 491.225
156 0 52.0682 11.9459 622 145.87 942.053 490.132
157 0 54.059 11.8574 641 157.061 942.142 489.674
158 0 56.0942 11.8551 665 159.57 942.78 487.827
159 0 56.0777 12.3757 694 159.503 943.169 487.875
160 0 58.0366 12.4577 723 164.039 943.007 486.647
161 0 59.1322 12.4467 736 159.473 942.935 485.467
162 0 62.125 12.6358 785 158.213 943.107 484.836
163 0 64.1015 12.2306 784 160.649 943.355 483.982
164 0 66.1069 12.3134 814 159.946 943.387 482.382
165 0 67.0518 12.6619 849 153.902 942.994 481.951
166 0 68.0864 12.9982 885 157.247 943.209 480.296
167 0 72.1513 12.4599 899 159.448 943.642 478.575
168 0 73.3276 12.901 946 160.685 943.925 478.112
169 0 75.2053 12.898 970 162.322 944.11 475.815
170 0 78.1769 12.5613 982 157.025 943.892 474.771
171 0 81.1764 12.2573 995 153.254 943.923 473.173
172 0 83.135 12.8105 1065 152.047 944.212 470.791
173 0 86.325 12.731 1099 150.334 943.658 467.944
174 0 91.3404 12.4151 1134 150.639 943.506 466.034
175 0 91.5137 12.5009 1144 149.582 943.222 464.583
176 0 94.468 12.4487 1176 150.717 943.415 463.013
177 0 98.461 12.3602 1217 147.366 943.229 461.132
178 0 100.454 12.5828 1264 149.475 943.744 459.905
179 0 104.59 12.7545 1334 153.134 944.045 457.9
180 1 55.3321 11.1509 617 149.582 943.329 481.496
181 0 58.2916 11.2538 656 150.738 944.081 481.099
182 0 60.228 11.5893 698 148.98 944.742 479.666
183 0 60.4287 12.2789 742 147.253 944.137 476.943
184 0 64.0906 12.3107 789 147.953 944.564 479.873
185 0 65.0559 11.8821 773 151.098 944.847 478.814
186 0 68.1322 12.1969 831 145.274 945.434 477.824
187 0 69.1955 12.0817 836 149.147 945.986 477.439
188 0 72.2229 12.4614 900 143.268 945.842 475.478
189 0 75.1997 12.3804 931 140.541 945.821 475.085
190 0 75.1844 12.6223 949 150.298 945.969 473.822
191 0 77.1672 12.6738 978 149.301 945.938 473.274
192 0 81.1791 12.651 1027 145.583 945.083 470.971
193 0 82.1755 12.6558 1040 149.259 945.04 470.213
194 0 86.148 12.9661 1117 141.71 944.856 469.01
195 0 88.1136 12.7903 1127 141.075 944.899 468.784
196 0 91.1453 12.9244 1178 151.813 944.972 466.614
197 0 95.3306 13.0598 1245 150.155 945.04 464.022
198 0 97.3187 13.0807 1273 152.932 944.561 462.197
199 0 101.407 13.0169 1320 142.298 944.702 460.778
200 0 103.403 13.0653 1351 155.434 944.625 460.761
201 1 57.1113 11.6264 664 154.262 944.426 483.357
202 0 60.21 12.1907 734 145.661 944.612 482.602
203 0 62.2416 12.1301 755 146.303 944.781 481.877
204 0 63.1646 12.317 778 157.022 944.757 481.265
205 0 65.1517 12.2176 796 154.283 944.846 480.992
206 0 68.1777 12.6874 865 151.709 944.149 478.18
207 0 69.2142 12.4252 860 155.97 943.927 477.096
208 0 71.1901 12.3894 882 153.415 943.934 476.872
209 0 73.2091 12.4575 912 158.031 944.049 475.85
210 0 75.1964 12.5006 940 159.596 943.716 474.305
211 0 77.1684 12.8161 989 156.768 943.949 473.233
212 0 80.2725 12.8064 1028 159.641 943.624 471.587
213 0 82.3294 12.4378 1024 158.548 943.719 470.434
214 0 86.2059 12.5049 1078 155.884 943.357 468.222
215 0 87.3387 12.9038 1127 146.163 943.389 468.265
216 0 91.156 12.4951 1139 143.889 942.88 465.529
217 0 94.2317 12.586 1186 151.542 942.719 464.71
218 0 97.3163 12.6392 1230 156.955 942.164 465.192
219 1 53.1492 11.797 627 150.775 942.27 487.372
220 0 56.1143 11.833 664 154.289 942.632 485.756
221 0 56.0766 11.4486 642 149.212 941.475 486.593
222 0 58.0912 12.205 709 147.76 942.147 484.743
223 0 61.0547 12.153 742 145.29 941.984 483.811
224 0 61.0664 12.2981 751 143.433 941.739 483.648
225 0 63.0673 12.4946 788 134.175 941.53 483.288
226 0 64.0456 12.5848 806 134.442 941.318 481.636
227 0 68.1509 13.3821 912 132.875 942.504 479.276
228 0 69.1588 12.3918 857 137.203 942.386 479.979
229 0 71.1169 12.5287 891 130.196 942.284 478.242
230 0 73.0885 12.2044 892 129.089 942.732 477.085
231 0 76.1689 12.3804 943 127.875 942.721 474.76
232 0 77.1489 12.8194 989 135.767 942.369 473.81
233 0 80.1896 12.6949 1018 132.45 942.653 473.031
234 0 83.0844 12.9507 1076 136.172 942.302 473.258
235 0 84.1115 13.28 1117 139.093 941.819 472.832
236 0 87.208 13.2098 1152 137.493 942.678 470.519
237 0 91.1638 12.8889 1175 136.507 942.181 468.845
238 0 95.1211 12.6681 1205 139.806 942.639 467.237
239 0 95.1211 12.6681 1205 162.105 942.639 467.237
240 0 102.104 13.1532 1343 142.219 942.289 463.407
241 1 55.0313 11.0301 607 136.748 942.957 488.717
242 0 56.171 12.1415 682 130.924 942.714 486.946
243 0 57.1405 12.1805 696 140.948 942.753 485.681
244 0 62.0943 11.9335 741 136.271 942.283 485.264
245 0 62.1708 11.7418 730 140.966 942.404 484.153
246 0 64.1149 12.3372 791 136.982 942.25 483.558
247 0 65.1321 12.0064 782 146.643 942.263 482.927
248 0 69.197 12.1537 841 144.718 942.306 481.781
249 0 70.0818 12.4141 870 141.479 942.3 480.417
250 0 72.1185 12.3685 892 143.472 942.424 479.081
251 0 74.1408 12.3279 914 144.887 942.406 477.456
252 0 76.1715 12.5506 956 147.324 942.592 477.06
253 0 79.0728 12.6719 1002 143.688 943.084 474.93
254 0 80.2146 12.878 1033 146.748 942.932 474.923
255 0 84.115 12.9347 1088 147.383 943.503 472.883
256 0 86.1978 12.9818 1119 149.164 943.248 471.181
257 0 88.2192 12.5823 1110 148.653 943.526 469.301
258 0 90.1937 13.2049 1191 137.558 943.484 467.753
259 0 93.1568 12.7312 1186 147.917 943.906 467.386
260 0 98.1688 12.723 1249 149.961 943.918 465.196
261 0 101.251 12.7604 1292 143.611 943.812 464.616
262 1 54.1285 10.7891 584 144.409 944.519 487.793
263 0 56.2313 11.0259 620 141.747 944.234 487.09
264 0 57.1337 11.1143 635 139.729 944.439 485.244
265 0 59.3268 11.5799 687 144.397 944.329 484.434
266 0 62.2277 11.8597 738 139.877 944.715 483.864
267 0 63.2936 11.8653 751 139.059 945.061 482.169
268 0 66.1927 11.8895 787 135.395 945.042 482.062
269 0 67.1688 11.8359 795 145.835 944.687 480.586
270 0 70.135 12.3191 864 140.628 945.1 478.976
271 0 72.137 11.9633 863 138.287 945.217 477.043
272 0 74.1806 11.9169 884 148.388 945.037 475.426
273 0 76.1813 12.7328 970 144.095 945.03 472.609
274 0 81.0976 12.3185 999 141.763 944.986 472.902
275 0 82.1782 11.974 984 151.582 944.989 471.549
276 0 84.1309 12.4092 1044 143.986 944.952 470.415
277 0 87.2098 12.4871 1089 149.84 944.997 469.753
278 0 90.1353 12.57 1133 145.79 944.803 467.403
279 0 95.1542 12.3169 1172 143.817 944.764 466.172
280 0 98.1417 12.5635 1233 142.311 945.245 464.646
281 1 50.0472 11.0696 554 131.87 945.682 487.747
282 0 51.1048 10.997 562 144.69 945.47 486.792
283 0 53.0614 11.8919 631 149.068 945.989 485.669
284 0 53.0927 11.7342 623 153.393 945.517 484.761
285 0 55.1122 11.8486 653 152.594 945.806 485.095
286 0 55.0752 11.8565 653 147.256 945.565 484.394
287 0 58.0813 11.7938 685 151.616 945.726 484.431
288 0 59.2098 11.9744 709 150.96 945.299 481.976
289 0 62.0605 11.8433 735 153.844 945.653 481.74
290 0 64.1152 12.306 789 144.082 945.446 481.283
291 0 63.1159 12.5008 789 146.57 945.698 479.55
292 0 67.1112 11.9205 800 152.768 945.472 478.886
293 0 68.1386 12.5626 856 150.766 945.137 477.579
294 0 70.1307 12.7334 893 149.601 945.073 476.037
295 0 74.1593 12.4597 924 143.74 945.301 473.754
296 0 77.2861 12.9778 1003 145.601 944.882 473.549
297 0 77.273 12.7988 989 141.015 944.624 472.81
298 0 81.2618 11.9121 968 147.968 944.214 471.616
299 0 84.2228 12.4076 1045 145.969 944.586 469.933
300 0 87.2269 12.5993 1099 142.867 944.367 466.493
301 1 47.0161 10.6134 499 141.673 944.679 488.585
302 0 51.026 10.9552 559 139.589 944.92 486.458
303 0 51.0475 11.4011 582 139.747 945.033 486.349
304 0 53.0815 11.2845 599 140.659 943.745 485.965
305 0 55.0941 11.7617 648 135.992 943.56 483.941
306 0 55.2107 11.9361 659 141.994 943.144 484.08
307 0 58.0864 12.1027 703 141.484 943.004 482.428
308 0 60.0479 12.3069 739 141.456 943.189 483.089
309 0 61.0942 12.538 766 133.927 942.944 481.836
310 0 61.1071 12.1753 744 144.204 942.683 481.63
311 0 64.1348 12.1931 782 142.436 943.367 480.307
312 0 65.1311 12.6668 825 146.045 943.533 479.04
313 0 65.1719 12.935 843 146.042 943.92 479.276
314 0 68.0995 12.6433 861 153.161 943.978 478.568
315 0 70.2486 12.5269 880 147.042 943.79 478.23
316 0 74.1141 12.1164 898 150.834 943.592 476.598
317 0 75.1138 12.541 942 149.964 943.344 475.676
318 0 79.0824 12.2025 965 141.974 943.332 473.679
319 0 81.0813 12.728 1032 150.681 943.623 471.817
320 0 84.1296 12.4451 1047 152.973 943.379 470.891
321 0 86.0945 12.6837 1092 149.029 943.592 470.675
322 1 43.0264 11.2721 485 147.575 944.48 491.445
323 0 48.0842 11.0639 532 146.639 944.141 489.573
324 0 50.0141 11.5368 577 147.281 943.955 488.442
325 0 49.0821 11.328 556 136.299 942.867 489.585
326 0 52.1231 11.6839 609 136.392 942.757 488.36
327 0 52.119 12.3371 643 133.4 942.714 488.26
328 0 53.1011 11.9583 635 141.57 942.931 487.15
329 0 55.0826 12.0909 666 133.905 942.943 487.065
330 0 58.0705 11.7444 682 138.738 942.896 485.604
331 0 58.1072 12.236 711 139.982 943.045 484.615
332 0 60.092 12.3145 740 143.826 942.904 484.12
333 0 61.0534 12.4973 763 139.322 942.118 482.59
334 0 65.1138 12.578 819 142.231 942.121 481.164
335 0 66.1345 12.2629 811 136.485 942.598 481.042
336 0 68.1474 12.2382 834 143.764 941.974 479.506
337 0 71.1159 12.5007 889 137.703 941.936 478.94
338 0 71.0827 12.6894 902 143.33 941.84 477.322
339 0 74.0548 13.3685 990 135.97 941.986 476.898
340 0 75.0864 13.0383 979 142.142 941.67 475.772
341 0 79.2194 12.5727 996 134.211 941.974 475.275
342 0 80.0552 12.9411 1036 129.18 941.574 474.444
343 0 83.1552 12.9757 1079 136.85 941.425 473.359
344 0 85.1817 12.7727 1088 141.071 941.396 472.83
345 0 88.2023 12.8341 1132 137.93 941.793 470.385
346 0 89.3848 13.179 1178 134.285 942.289 470.026
347 0 91.2785 13.0151 1188 146.698 942 468.19
348 0 94.3198 13.2846 1253 147.336 941.547 466.678
349 0 97.2459 12.9466 1259 151.431 941.203 465.778
350 0 102.325 13.203 1351 144.14 941.415 464.407
351 0 107.307 12.8137 1375 146.972 941.602 462.097
352 1 57.1162 11.2402 642 150.051 941.419 487.182
353 0 57.05 12.1648 694 144.477 941.816 486.133
354 0 59.0844 12.1352 717 145.89 942.013 485.583
355 0 62.1019 11.8837 738 150.924 941.596 485.84
356 0 64.1332 12.1622 780 144.368 942.183 483.641
357 0 65.1773 12.489 814 146.343 942.22 484.332
358 0 67.0587 12.4965 838 145.042 942.08 482.261
359 0 68.0649 12.6938 864 152.182 942.14 481.943
360 0 72.0819 12.5135 902 144.579 942.662 480.425
361 0 73.1147 12.4872 913 138.096 943.114 477.533
362 0 77.152 12.4041 957 148.148 942.979 478.012
363 0 78.2878 12.5435 982 150.852 942.56 477.411
364 0 80.2383 12.8866 1034 148.85 942.646 474.08
365 0 84.1813 12.2949 1035 150.156 942.774 473.642
366 1 43.0557 9.82448 423 146.383 943.695 495.383
367 0 43.0374 10.5722 455 149.771 943.884 495.262
368 0 45.1119 10.751 485 145.538 943.963 494.619
369 0 47.1171 11.1 523 141.518 944.136 492.792
370 0 48.055 11.2787 542 143.197 943.186 491.823
371 0 49.0999 11.5479 567 138.256 943.266 491.838
372 0 50.0975 11.3778 570 134.493 943.267 491.002
373 0 52.1703 11.2516 587 136.094 943.838 490.085
374 0 53.2231 11.2733 600 144.447 944.052 488.635
375 0 54.184 11.8485 642 138.93 943.919 487.698
376 0 57.1802 11.6999 669 143.1 943.77 486.567
377 0 58.1982 11.8904 692 144.27 943.961 486.296
378 0 61.2806 11.8145 724 143.826 943.924 485.392
379 0 62.2228 12.166 757 140.325 944.129 484.341
380 0 64.2976 12.3644 795 141.374 944.247 482.791
381 0 66.206 12.5517 831 144.516 943.765 482.67
382 0 68.1842 12.6716 864 147.422 944.007 481.623
383 0 70.4615 12.4607 878 149.743 944.058 478.978
384 0 71.2606 12.77 910 145.829 944.043 478.611
385 0 72.2639 13.0771 945 154.279 944.136 477.003
386 0 76.5109 12.7825 978 150.92 944.014 475.365
387 0 78.4942 13.2112 1037 154.977 943.968 472.702
388 0 79.4946 13.6236 1083 159.152 943.898 472.285
389 0 82.5212 13.1845 1088 157.803 944.076 470.27
390 0 87.6779 13.4241 1177 159.847 943.926 469.454
391 0 88.7065 13.4376 1192 159.707 943.81 467.102
392 0 92.7344 13.598 1261 147.73 944.149 465.606
393 0 92.6209 13.9601 1293 155.076 944.054 464.349
394 0 96.668 14.017 1355 169.119 943.672 462.916
395 0 100.609 13.7066 1379 165.567 943.722 460.368
396 0 105.641 13.5837 1435 162.679 944.107 458.932
397 1 54.5206 11.8304 645 155.831 943.784 483.656
398 0 57.4706 12.1454 698 168.787 943.954 482.819
399 0 59.5473 12.4775 743 165.07 943.987 483.444
