index division length width area intensity CMx CMy
0 0 50.1389 13.9014 697 161.244 74.4362 470.385
1 0 51.0577 14.0429 717 164.17 75.2162 470.6
2 0 53.0923 14.1828 753 162.036 75.8313 468.802
3 0 55.0398 14.4441 795 159.785 75.2616 466.894
4 0 57.0752 14.2619 814 158.747 75.1155 466.213
5 0 59.0474 14.2597 842 155.122 75.0226 464.768
6 0 61.0314 14.4352 881 156.64 74.3053 463.201
7 0 63.1375 14.0804 889 159.685 73.7807 462.556
8 0 64.2278 14.215 913 157.881 73.5411 460.875
9 0 69.1334 13.8283 956 153.215 73.295 460.39
10 0 71.1008 13.9942 995 156.58 73.6432 459.06
11 0 74.101 14.0349 1040 152.186 74.1279 457.869
12 0 74.127 14.3672 1065 156.627 74.5822 456.593
13 0 79.0869 14.0984 1115 159.911 75.5865 454.058
14 0 80.0944 14.1458 1133 159.411 76.2515 452.413
15 1 40.0661 12.9286 518 165.002 77.1583 470.432
16 0 43.0174 12.9715 558 157.181 78.4337 468.638
17 0 43.0292 13.363 575 157.765 78.2191 467.953
18 0 46.0371 13.033 600 161.75 79.0433 467.56
19 0 47.0338 13.1395 618 162.036 79.9061 465.906
20 0 48.0377 13.2812 638 162.251 80.4201 465.216
21 0 49.041 13.5601 665 159.409 80.8361 463.663
22 0 53.0563 13.6647 725 160.837 81.4097 463.233
23 0 55.0481 13.7698 758 166.19 82.5013 461.36
24 0 57.0416 13.534 772 164.328 83.1464 462.236
25 0 57.0564 13.5655 774 165.866 83.7997 461.022
26 0 61.0988 13.2408 809 160.135 83.733 459.967
27 0 63.1394 13.3514 843 165.995 83.694 458.323
28 0 65.0541 13.312 866 164.288 84.3256 457.836
29 0 67.1026 13.5762 911 159.276 84.6114 455.585
30 0 70.103 13.5658 951 158.906 83.9022 454.196
31 0 73.0356 13.7604 1005 156.168 83.5313 453.068
32 0 75.1014 13.5417 1017 157.105 83.3815 452.362
33 0 77.0875 13.8025 1064 157.955 83.0555 451.141
34 0 80.0752 13.4623 1078 157.935 81.9156 450.135
35 1 42.0409 12.0121 505 151.287 81.3861 467.129
36 0 43.066 12.8175 552 151.277 80.7337 466.188
37 0 44.1674 13.3583 590 149.015 80.4678 466.397
